Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,64.232816,[ 64 116] ; [114  28],[99.50310559 80.49689441] ; [78.49689441 63.50310559],1
p8,1,1e-06,24.466901,[ 65 117] ; [90 52],[87.06790123 94.93209877] ; [67.93209877 74.06790123],1
p6,1,6e-06,20.355376,[ 43 138] ; [67 73],[ 62.02492212 118.97507788] ; [47.97507788 92.02492212],1
p7,1,2.2e-05,17.973407,[80 96] ; [97 43],[98.58227848 77.41772152] ; [78.41772152 61.58227848],1
s7,1,0.000232,13.550013,[ 61 115] ; [73 58],[76.82084691 99.17915309] ; [57.17915309 73.82084691],1
s2,1,0.000764,11.326522,[ 70 110] ; [82 60],[84.9689441 95.0310559] ; [67.0310559 74.9689441],1
p5,1,0.000911,11.001192,[ 11 170] ; [ 25 115],[ 20.29906542 160.70093458] ; [ 15.70093458 124.29906542],1
p10,1,0.002578,9.084407,[122  59] ; [116  25],[133.7826087  47.2173913] ; [104.2173913  36.7826087],0
p9,1,0.00367,8.440449,[129  49] ; [122  20],[139.61875  38.38125] ; [111.38125  30.61875],0
p2,1,0.004705,7.989608,[132  49] ; [122  20],[142.33436533  38.66563467] ; [111.66563467  30.33436533],0
s6,1,0.004822,7.944957,[100  80] ; [98 40],[112.0754717  67.9245283] ; [85.9245283 52.0754717],0
p1,1,0.006107,7.518447,[  7 173] ; [ 17 125],[ 13.41614907 166.58385093] ; [ 10.58385093 131.41614907],0
n4,1,0.006702,7.351104,[120  62] ; [113  29],[130.88271605  51.11728395] ; [102.11728395  39.88271605],0
s5,1,0.011081,6.45231,[ 49 129] ; [56 80],[ 59.52229299 118.47770701] ; [45.47770701 90.52229299],0
s8,1,0.011658,6.362149,[ 58 123] ; [65 77],[ 68.92569659 112.07430341] ; [54.07430341 87.92569659],0
d1,1,0.01185,6.333112,[102  80] ; [99 43],[112.90740741  69.09259259] ; [88.09259259 53.90740741],0
s4,1,0.012203,6.281174,[ 26 153] ; [ 36 104],[ 34.78996865 144.21003135] ; [ 27.21003135 112.78996865],0
v1,1,0.012728,6.206573,[ 56 123] ; [62 76],[ 66.63091483 112.36908517] ; [51.36908517 86.63091483],0
d5,1,0.022618,5.197616,[141  41] ; [124  18],[148.85802469  33.14197531] ; [116.14197531  25.85802469],0
u1,1,0.027858,4.836806,[ 22 160] ; [ 30 112],[ 29.20987654 152.79012346] ; [ 22.79012346 119.20987654],0
v3,1,0.032125,4.591812,[ 25 155] ; [ 32 106],[ 32.26415094 147.73584906] ; [ 24.73584906 113.26415094],0
s3,1,0.03688,4.355938,[88 92] ; [86 56],[97.26708075 82.73291925] ; [76.73291925 65.26708075],0
n6,1,0.062191,3.477964,[136  45] ; [118  23],[142.77639752  38.22360248] ; [111.22360248  29.77639752],0
p12,1,0.07606,3.147147,[  6 174] ; [ 11 130],[  9.53271028 170.46728972] ; [  7.46728972 133.53271028],0
b5,1,0.08782,2.913893,[117  65] ; [78 64],[109.53703704  72.46296296] ; [85.46296296 56.53703704],0
u3,1,0.094626,2.793868,[36 27] ; [28 10],[39.92079208 23.07920792] ; [24.07920792 13.92079208],0
a8,1,0.110435,2.54799,[ 24 153] ; [ 10 119],[ 19.66666667 157.33333333] ; [ 14.33333333 114.66666667],0
a5,1,0.120438,2.411617,[120  62] ; [105  37],[126.38888889  55.61111111] ; [98.61111111 43.38888889],0
a4,1,0.131142,2.278932,[ 74 107] ; [70 72],[ 80.69349845 100.30650155] ; [63.30650155 78.69349845],0
a3,1,0.131701,2.27234,[118  63] ; [103  38],[124.22670807  56.77329193] ; [96.77329193 44.22670807],0
v4,1,0.145647,2.11726,[162  20] ; [133   9],[165.70987654  16.29012346] ; [129.29012346  12.70987654],0
r2,1,0.189805,1.719133,[160  19] ; [131   9],[163.28840125  15.71159875] ; [127.71159875  12.28840125],0
n5,1,0.192729,1.696636,[120  61] ; [103  38],[125.35093168  55.64906832] ; [97.64906832 43.35093168],0
n2,1,0.223398,1.482409,[45 18] ; [17 12],[42.45652174 20.54347826] ; [19.54347826  9.45652174],0
p11,1,0.223807,1.479793,[126  56] ; [107  35],[130.88271605  51.11728395] ; [102.11728395  39.88271605],0
r4,1,0.24763,1.336626,[149  33] ; [123  19],[152.79012346  29.20987654] ; [119.20987654  22.79012346],0
a1,1,0.304627,1.053827,[  6 176] ; [  8 134],[  7.86419753 174.13580247] ; [  6.13580247 135.86419753],0
d3,1,0.349262,0.876137,[130  52] ; [108  34],[133.69135802  48.30864198] ; [104.30864198  37.69135802],0
d2,1,0.353483,0.860914,[83 98] ; [72 69],[87.12732919 93.87267081] ; [67.87267081 73.12732919],0
r1,1,0.370706,0.801298,[131  50] ; [109  33],[134.48916409  46.51083591] ; [105.51083591  36.48916409],0
b1,1,0.395484,0.722013,[ 76 106] ; [66 76],[ 79.7654321 102.2345679] ; [62.2345679 79.7654321],0
r3,1,0.459652,0.546743,[162  20] ; [129  12],[163.96904025  18.03095975] ; [127.03095975  13.96904025],0
u2,1,0.626896,0.236293,[39 24] ; [26 13],[40.14705882 22.85294118] ; [24.85294118 14.14705882],0
n3,1,0.672468,0.178728,[35 26] ; [18 11],[35.92222222 25.07777778] ; [17.07777778 11.92222222],0
b2,1,0.736609,0.113129,[43 63] ; [34 55],[41.85641026 64.14358974] ; [35.14358974 53.85641026],0
b3,1,0.736609,0.113129,[43 63] ; [34 55],[41.85641026 64.14358974] ; [35.14358974 53.85641026],0
a2,1,0.741953,0.108418,[ 37 145] ; [ 31 111],[ 38.19753086 143.80246914] ; [ 29.80246914 112.19753086],0
u4,1,0.802303,0.062684,[  2 180] ; [  2 140],[  2.24691358 179.75308642] ; [  1.75308642 140.24691358],0
s1,1,0.81803,0.052937,[  8 173] ; [  7 134],[  8.43167702 172.56832298] ; [  6.56832298 134.43167702],0
a6,1,0.844559,0.038442,[116  66] ; [92 50],[116.83950617  65.16049383] ; [91.16049383 50.83950617],0
b4,1,0.890836,0.018837,[105  77] ; [83 59],[105.60493827  76.39506173] ; [82.39506173 59.60493827],0
n1,1,0.971558,0.001271,[25 36] ; [12 17],[25.07777778 35.92222222] ; [11.92222222 17.07777778],0
a7,1,0.990395,0.000145,[127  55] ; [99 43],[126.95061728  55.04938272] ; [99.04938272 42.95061728],0
