Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.788129,[274  71] ; [64 48],[255.16411379  89.83588621] ; [82.83588621 29.16411379],1
p9,1,5.9e-05,16.149073,[285  58] ; [73 39],[269.87692308  73.12307692] ; [88.12307692 23.87692308],1
p2,1,0.000138,14.530869,[282  65] ; [75 42],[266.98060345  80.01939655] ; [90.01939655 26.98060345],1
n6,1,0.000903,11.017606,[289  58] ; [80 36],[276.55075594  70.44924406] ; [92.44924406 23.55075594],1
n4,1,0.001471,10.114943,[253  95] ; [66 50],[239.25 108.75] ; [79.75 36.25],0
n5,1,0.001487,10.094983,[244 101] ; [64 53],[230. 115.] ; [78. 39.],0
p8,1,0.003461,8.54673,[141 200] ; [30 85],[127.875 213.125] ; [43.125 71.875],0
s1,1,0.004057,8.258048,[  7 332] ; [  9 107],[ 11.92087912 327.07912088] ; [  4.07912088 111.92087912],0
b1,1,0.004195,8.197377,[102 247] ; [51 66],[114.58583691 234.41416309] ; [38.41416309 78.58583691],0
p7,1,0.062081,3.480893,[176 158] ; [49 66],[167.37193764 166.62806236] ; [57.62806236 57.37193764],0
b4,1,0.080549,3.053792,[214 135] ; [61 56],[205.95493562 143.04506438] ; [69.04506438 47.95493562],0
v1,1,0.098923,2.722823,[161 177] ; [45 71],[153.36563877 184.63436123] ; [52.63436123 63.36563877],0
r4,1,0.138191,2.197983,[313  36] ; [99 18],[308.55793991  40.44206009] ; [103.44206009  13.55793991],0
a2,1,0.143667,2.138236,[ 62 287] ; [28 89],[ 67.40343348 281.59656652] ; [22.59656652 94.40343348],0
n2,1,0.161975,1.955688,[70 21] ; [33 17],[66.4751773 24.5248227] ; [36.5248227 13.4751773],0
b5,1,0.169117,1.89075,[217 132] ; [81 36],[223.18025751 125.81974249] ; [74.81974249 42.18025751],0
u3,1,0.171089,1.873376,[64 52] ; [18 24],[60.20253165 55.79746835] ; [21.79746835 20.20253165],0
d1,1,0.197928,1.6576,[191 158] ; [56 61],[184.98497854 164.01502146] ; [62.01502146 54.98497854],0
p4,1,0.207456,1.589088,[134 212] ; [37 78],[128.34273319 217.65726681] ; [42.65726681 72.34273319],0
n3,1,0.209187,1.577046,[68 23] ; [31 17],[64.81294964 26.18705036] ; [34.18705036 13.81294964],0
u1,1,0.209369,1.575782,[ 41 308] ; [19 98],[ 44.93562232 304.06437768] ; [ 15.06437768 101.93562232],0
v4,1,0.216199,1.529422,[323  21] ; [105  11],[320.06956522  23.93043478] ; [107.93043478   8.06956522],0
v2,1,0.247428,1.337767,[175 154] ; [52 59],[169.73409091 159.26590909] ; [57.26590909 53.73409091],0
s5,1,0.256144,1.289479,[ 85 253] ; [34 77],[ 89.58129176 248.41870824] ; [29.41870824 81.58129176],0
u2,1,0.261328,1.26171,[65 50] ; [20 23],[61.86708861 53.13291139] ; [23.13291139 19.86708861],0
p6,1,0.275348,1.189911,[ 86 258] ; [23 92],[ 81.69063181 262.30936819] ; [27.30936819 87.69063181],0
s4,1,0.27731,1.180226,[ 50 293] ; [22 95],[ 53.68695652 289.31304348] ; [18.31304348 98.68695652],0
d2,1,0.280139,1.166415,[148 200] ; [56 60],[153. 195.] ; [51. 65.],0
d4,1,0.281719,1.15878,[286  63] ; [89 26],[282.05818966  66.94181034] ; [92.94181034 22.05818966],0
s2,1,0.300315,1.072793,[154 189] ; [59 58],[158.82391304 184.17608696] ; [54.17608696 62.82391304],0
s8,1,0.341172,0.906023,[128 220] ; [37 79],[123.75 224.25] ; [41.25 74.75],0
b2,1,0.375047,0.786875,[ 69 133] ; [15 39],[ 66.28125 135.71875] ; [17.71875 36.28125],0
b3,1,0.375047,0.786875,[ 69 133] ; [15 39],[ 66.28125 135.71875] ; [17.71875 36.28125],0
a3,1,0.451093,0.567904,[233 116] ; [73 43],[229.66451613 119.33548387] ; [76.33548387 39.66451613],0
r1,1,0.48913,0.478439,[274  74] ; [87 28],[271.33477322  76.66522678] ; [89.66522678 25.33477322],0
d3,1,0.515577,0.422731,[241 108] ; [75 39],[238.19438445 110.80561555] ; [77.80561555 36.19438445],0
r2,1,0.518344,0.417186,[317  27] ; [109   7],[318.57391304  25.42608696] ; [107.42608696   8.57391304],0
a6,1,0.522843,0.408281,[231 118] ; [73 43],[228.16344086 120.83655914] ; [75.83655914 40.16344086],0
a8,1,0.568818,0.324665,[ 50 273] ; [14 92],[ 48.18648019 274.81351981] ; [15.81351981 90.18648019],0
a7,1,0.605398,0.266931,[247 102] ; [85 31],[249.17849462  99.82150538] ; [82.82150538 33.17849462],0
n1,1,0.611226,0.258394,[32 58] ; [15 33],[30.65217391 59.34782609] ; [16.34782609 31.65217391],0
s3,1,0.635468,0.224718,[176 164] ; [63 53],[178.20175439 161.79824561] ; [60.79824561 55.20175439],0
