Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001087,10.673329,[23 15] ; [14 39],[15.45054945 22.54945055] ; [21.54945055 31.45054945],0
v3,1,0.013051,6.162172,[17 20] ; [11 41],[11.64044944 25.35955056] ; [16.35955056 35.64044944],0
s6,1,0.013735,6.071937,[33  6] ; [33 21],[27.67741935 11.32258065] ; [38.32258065 15.67741935],0
r3,1,0.018724,5.527091,[38  1] ; [44 10],[34.38709677  4.61290323] ; [47.61290323  6.38709677],0
s8,1,0.0234,5.138565,[19 20] ; [14 40],[13.83870968 25.16129032] ; [19.16129032 34.83870968],0
u3,1,0.031807,4.608886,[4 9] ; [15  7],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
s1,1,0.033208,4.535045,[ 1 37] ; [ 9 45],[ 4.13043478 33.86956522] ; [ 5.86956522 48.13043478],0
p5,1,0.073382,3.205704,[ 1 38] ; [ 7 46],[ 3.39130435 35.60869565] ; [ 4.60869565 48.39130435],0
s2,1,0.077152,3.1239,[28 11] ; [29 25],[23.90322581 15.09677419] ; [33.09677419 20.90322581],0
p9,1,0.099726,2.709926,[21 18] ; [19 33],[17.14285714 21.85714286] ; [22.85714286 29.14285714],0
d1,1,0.107158,2.595637,[21 18] ; [20 34],[17.19354839 21.80645161] ; [23.80645161 30.19354839],0
n3,1,0.116189,2.467949,[11  3] ; [11 10],[8.8 5.2] ; [13.2  7.8],0
a5,1,0.155131,2.021059,[28 11] ; [31 23],[24.74193548 14.25806452] ; [34.25806452 19.74193548],0
u4,1,0.170715,1.876657,[ 3 36] ; [ 1 53],[ 1.67741935 37.32258065] ; [ 2.32258065 51.67741935],0
v4,1,0.202693,1.622863,[36  3] ; [45  9],[33.96774194  5.03225806] ; [47.03225806  6.96774194],0
s5,1,0.212235,1.556112,[13 24] ; [12 40],[10.39325843 26.60674157] ; [14.60674157 37.39325843],0
d4,1,0.249948,1.323592,[32  7] ; [38 15],[29.67391304  9.32608696] ; [40.32608696 12.67391304],0
p6,1,0.262531,1.255361,[14 24] ; [14 40],[11.56521739 26.43478261] ; [16.43478261 37.56521739],0
r2,1,0.27953,1.169372,[36  3] ; [45  8],[34.33695652  4.66304348] ; [46.66304348  6.33695652],0
p1,1,0.297544,1.085171,[ 2 37] ; [ 6 47],[ 3.39130435 35.60869565] ; [ 4.60869565 48.39130435],0
b1,1,0.302136,1.064745,[16 23] ; [28 26],[18.4516129 20.5483871] ; [25.5483871 28.4516129],0
s7,1,0.303477,1.058853,[23 16] ; [24 26],[20.59550562 18.40449438] ; [26.40449438 23.59550562],0
a2,1,0.328656,0.954186,[ 8 31] ; [ 7 47],[ 6.29032258 32.70967742] ; [ 8.70967742 45.29032258],0
b3,1,0.345308,0.890625,[10 15] ; [ 9 23],[ 8.33333333 16.66666667] ; [10.66666667 21.33333333],0
b2,1,0.345308,0.890625,[10 15] ; [ 9 23],[ 8.33333333 16.66666667] ; [10.66666667 21.33333333],0
r4,1,0.363923,0.824311,[32  7] ; [40 14],[30.19354839  8.80645161] ; [41.80645161 12.19354839],0
a7,1,0.365676,0.818307,[26 13] ; [31 23],[23.90322581 15.09677419] ; [33.09677419 20.90322581],0
d3,1,0.366251,0.816344,[25 14] ; [29 24],[22.89130435 16.10869565] ; [31.10869565 21.89130435],0
b4,1,0.408015,0.684579,[25 14] ; [30 24],[23.06451613 15.93548387] ; [31.93548387 22.06451613],0
a8,1,0.41573,0.662355,[ 7 28] ; [ 7 45],[ 5.63218391 29.36781609] ; [ 8.36781609 43.63218391],0
a6,1,0.444732,0.584042,[23 16] ; [27 26],[21.19565217 17.80434783] ; [28.80434783 24.19565217],0
u1,1,0.460985,0.543502,[ 5 34] ; [10 44],[ 6.29032258 32.70967742] ; [ 8.70967742 45.29032258],0
n6,1,0.471646,0.518116,[26 12] ; [33 21],[24.36956522 13.63043478] ; [34.63043478 19.36956522],0
p4,1,0.472393,0.516373,[21 18] ; [25 29],[19.29032258 19.70967742] ; [26.70967742 27.29032258],0
s4,1,0.511903,0.430176,[ 8 31] ; [14 39],[ 9.32608696 29.67391304] ; [12.67391304 40.32608696],0
p11,1,0.514592,0.424718,[20 19] ; [24 30],[18.4516129 20.5483871] ; [25.5483871 28.4516129],0
n5,1,0.525271,0.403531,[25 13] ; [32 22],[23.54347826 14.45652174] ; [33.45652174 20.54347826],0
n4,1,0.529721,0.394928,[27 11] ; [35 19],[25.60869565 12.39130435] ; [36.39130435 17.60869565],0
a3,1,0.536833,0.381441,[26 13] ; [32 21],[24.58695652 14.41304348] ; [33.41304348 19.58695652],0
b5,1,0.58304,0.301346,[26 13] ; [33 21],[24.74193548 14.25806452] ; [34.25806452 19.74193548],0
p8,1,0.613277,0.25543,[16 23] ; [19 34],[14.83695652 24.16304348] ; [20.16304348 32.83695652],0
u2,1,0.631259,0.230358,[7 6] ; [10 12],[6.31428571 6.68571429] ; [10.68571429 11.31428571],0
a1,1,0.678951,0.171309,[ 3 36] ; [ 3 51],[ 2.51612903 36.48387097] ; [ 3.48387097 50.51612903],0
d5,1,0.690115,0.158961,[28 11] ; [36 17],[27.13043478 11.86956522] ; [36.86956522 16.13043478],0
d2,1,0.696588,0.152046,[20 19] ; [25 28],[19.07608696 19.92391304] ; [25.92391304 27.07608696],0
p7,1,0.7816,0.076859,[20 18] ; [30 24],[20.65217391 17.34782609] ; [29.34782609 24.65217391],0
p3,1,0.812633,0.056183,[15 23] ; [20 34],[14.45652174 23.54347826] ; [20.54347826 33.45652174],0
r1,1,0.818596,0.052602,[29 10] ; [39 15],[28.51612903 10.48387097] ; [39.48387097 14.51612903],0
n1,1,0.825887,0.048391,[6 7] ; [11 11],[6.31428571 6.68571429] ; [10.68571429 11.31428571],0
p2,1,0.850473,0.035538,[26 13] ; [37 17],[26.41935484 12.58064516] ; [36.58064516 17.41935484],0
a4,1,0.879888,0.022835,[16 23] ; [23 31],[16.35483871 22.64516129] ; [22.64516129 31.35483871],0
n2,1,0.968457,0.001564,[9 5] ; [14  8],[8.94444444 5.05555556] ; [14.05555556  7.94444444],0
