Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-05,15.811765,[ 9 27] ; [21  7],[16.875 19.125] ; [13.125 14.875],1
d4,1,0.006928,7.291667,[29  7] ; [13 14],[24. 12.] ; [18.  9.],0
a8,1,0.007661,7.111111,[ 1 35] ; [ 7 21],[ 4.5 31.5] ; [ 3.5 24.5],0
r3,1,0.009516,6.723291,[28  8] ; [13 15],[23.0625 12.9375] ; [17.9375 10.0625],0
u3,1,0.013255,6.134785,[10  5] ; [1 7],[7.17391304 7.82608696] ; [3.82608696 4.17391304],0
a6,1,0.016364,5.763357,[13 23] ; [18  9],[17.71428571 18.28571429] ; [13.28571429 13.71428571],0
b5,1,0.017657,5.629838,[21 15] ; [ 8 20],[16.3125 19.6875] ; [12.6875 15.3125],0
u2,1,0.025944,4.959744,[11  4] ; [2 6],[8.47826087 6.52173913] ; [4.52173913 3.47826087],0
a1,1,0.026433,4.927497,[ 2 34] ; [ 7 21],[ 5.0625 30.9375] ; [ 3.9375 24.0625],0
s4,1,0.095888,2.772646,[ 6 30] ; [ 1 27],[ 3.9375 32.0625] ; [ 3.0625 24.9375],0
d5,1,0.09653,2.761957,[26 10] ; [14 13],[22.85714286 13.14285714] ; [17.14285714  9.85714286],0
p6,1,0.097342,2.748569,[ 6 29] ; [ 1 26],[ 3.9516129 31.0483871] ; [ 3.0483871 23.9516129],0
a7,1,0.11458,2.489885,[16 20] ; [18 10],[19.125 16.875] ; [14.875 13.125],0
d1,1,0.151289,2.059202,[18 18] ; [ 9 19],[15.1875 20.8125] ; [11.8125 16.1875],0
n1,1,0.169327,1.888889,[ 7 11] ; [10  6],[9. 9.] ; [8. 8.],0
s6,1,0.176875,1.823684,[13 22] ; [ 6 22],[10.55555556 24.44444444] ; [ 8.44444444 19.55555556],0
a3,1,0.194646,1.682095,[21 15] ; [20  7],[23.42857143 12.57142857] ; [17.57142857  9.42857143],0
r4,1,0.196354,1.669289,[20 16] ; [11 17],[17.4375 18.5625] ; [13.5625 14.4375],0
a2,1,0.259444,1.271723,[ 4 32] ; [ 6 22],[ 5.625 30.375] ; [ 4.375 23.625],0
s1,1,0.274689,1.193182,[ 6 30] ; [ 2 25],[ 4.57142857 31.42857143] ; [ 3.42857143 23.57142857],0
p7,1,0.280406,1.165119,[ 8 28] ; [ 9 17],[ 9.87096774 26.12903226] ; [ 7.12903226 18.87096774],0
s5,1,0.286476,1.136109,[ 5 26] ; [ 2 26],[ 3.6779661 27.3220339] ; [ 3.3220339 24.6779661],0
p4,1,0.290565,1.117001,[ 9 27] ; [ 4 24],[ 7.3125 28.6875] ; [ 5.6875 22.3125],0
p8,1,0.322864,0.977308,[ 9 27] ; [ 4 23],[ 7.42857143 28.57142857] ; [ 5.57142857 21.42857143],0
s8,1,0.339976,0.910523,[ 7 29] ; [ 3 25],[ 5.625 30.375] ; [ 4.375 23.625],0
v1,1,0.341431,0.905051,[13 23] ; [ 7 21],[11.25 24.75] ; [ 8.75 19.25],0
v2,1,0.358035,0.844774,[14 19] ; [ 8 18],[12.30508475 20.69491525] ; [ 9.69491525 16.30508475],0
s2,1,0.388633,0.743214,[14 22] ; [ 8 20],[12.375 23.625] ; [ 9.625 18.375],0
p3,1,0.389284,0.741176,[ 8 27] ; [ 4 24],[ 6.66666667 28.33333333] ; [ 5.33333333 22.66666667],0
b3,1,0.436275,0.606061,[10 12] ; [ 6 12],[ 8.8 13.2] ; [ 7.2 10.8],0
b2,1,0.436275,0.606061,[10 12] ; [ 6 12],[ 8.8 13.2] ; [ 7.2 10.8],0
r1,1,0.544591,0.367097,[22 14] ; [15 13],[20.8125 15.1875] ; [16.1875 11.8125],0
s3,1,0.571925,0.319473,[15 20] ; [14 14],[16.11111111 18.88888889] ; [12.88888889 15.11111111],0
n2,1,0.580758,0.305011,[10  8] ; [11  6],[10.8  7.2] ; [10.2  6.8],0
v4,1,0.583184,0.301115,[23 13] ; [16 12],[21.9375 14.0625] ; [17.0625 10.9375],0
n3,1,0.61093,0.258824,[10  7] ; [8 8],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
b4,1,0.614295,0.253968,[19 17] ; [13 15],[18. 18.] ; [14. 14.],0
a5,1,0.628257,0.234432,[21 15] ; [18 10],[21.9375 14.0625] ; [17.0625 10.9375],0
p9,1,0.678084,0.172291,[15 20] ; [13 14],[15.80645161 19.19354839] ; [12.19354839 14.80645161],0
a4,1,0.703239,0.145125,[15 21] ; [13 15],[15.75 20.25] ; [12.25 15.75],0
s7,1,0.766486,0.088194,[ 7 24] ; [ 7 20],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
d2,1,0.77038,0.085193,[16 20] ; [13 14],[16.57142857 19.42857143] ; [12.42857143 14.57142857],0
r2,1,0.842708,0.039375,[27  8] ; [21  7],[26.66666667  8.33333333] ; [21.33333333  6.66666667],0
u1,1,0.856348,0.03277,[ 1 35] ; [ 1 27],[ 1.125 34.875] ; [ 0.875 27.125],0
b1,1,0.874313,0.025022,[20 16] ; [15 13],[19.6875 16.3125] ; [15.3125 12.6875],0
p11,1,0.891896,0.01847,[11 25] ; [ 9 19],[11.25 24.75] ; [ 8.75 19.25],0
v3,1,0.935144,0.006622,[ 8 24] ; [ 7 20],[ 8.13559322 23.86440678] ; [ 6.86440678 20.13559322],0
d3,1,0.941948,0.005303,[17 19] ; [13 14],[17.14285714 18.85714286] ; [12.85714286 14.14285714],0
p1,1,0.959757,0.002546,[ 4 32] ; [ 3 25],[ 3.9375 32.0625] ; [ 3.0625 24.9375],0
p10,1,0.993176,7.3e-05,[13 22] ; [10 17],[12.98387097 22.01612903] ; [10.01612903 16.98387097],0
