Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003022,8.794241,[ 9 28] ; [17 11],[14.8 22.2] ; [11.2 16.8],0
a4,1,0.003318,8.623667,[ 5 32] ; [13 15],[10.24615385 26.75384615] ; [ 7.75384615 20.24615385],0
p10,1,0.01374,6.071222,[23 14] ; [25  3],[27.32307692  9.67692308] ; [20.67692308  7.32307692],0
b1,1,0.016521,5.746593,[14 23] ; [19  9],[18.78461538 18.21538462] ; [14.21538462 13.78461538],0
a2,1,0.023516,5.129974,[ 2 35] ; [ 7 21],[ 5.12307692 31.87692308] ; [ 3.87692308 24.12307692],0
a3,1,0.023596,5.124114,[16 21] ; [20  8],[20.49230769 16.50769231] ; [15.50769231 12.49230769],0
p2,1,0.024175,5.082046,[26 11] ; [26  2],[29.6  7.4] ; [22.4  5.6],0
r1,1,0.024175,5.082046,[26 11] ; [26  2],[29.6  7.4] ; [22.4  5.6],0
s2,1,0.031035,4.651051,[18 19] ; [ 6 21],[13.875 23.125] ; [10.125 16.875],0
p4,1,0.031758,4.611486,[18 19] ; [21  7],[22.2 14.8] ; [16.8 11.2],0
d2,1,0.034197,4.48485,[ 8 29] ; [13 15],[11.95384615 25.04615385] ; [ 9.04615385 18.95384615],0
p7,1,0.03463,4.46333,[23 12] ; [24  3],[26.53225806  8.46774194] ; [20.46774194  6.53225806],0
p11,1,0.035617,4.415327,[23 14] ; [24  4],[26.75384615 10.24615385] ; [20.24615385  7.75384615],0
p9,1,0.035617,4.415327,[23 14] ; [24  4],[26.75384615 10.24615385] ; [20.24615385  7.75384615],0
v1,1,0.040424,4.2,[12 24] ; [16 11],[16. 20.] ; [12. 15.],0
v2,1,0.081455,3.035625,[15 20] ; [17  9],[18.36065574 16.63934426] ; [13.63934426 12.36065574],0
s7,1,0.0966,2.760801,[ 9 26] ; [12 14],[12.04918033 22.95081967] ; [ 8.95081967 17.04918033],0
n1,1,0.134802,2.23631,[3 5] ; [4 1],[4.30769231 3.69230769] ; [2.69230769 2.30769231],0
v3,1,0.15027,2.069505,[ 9 27] ; [11 15],[11.61290323 24.38709677] ; [ 8.38709677 17.61290323],0
a5,1,0.153935,2.032819,[20 17] ; [20  8],[22.76923077 14.23076923] ; [17.23076923 10.76923077],0
p3,1,0.267016,1.232011,[16 21] ; [16 12],[18.21538462 18.78461538] ; [13.78461538 14.21538462],0
r3,1,0.27809,1.1764,[33  4] ; [27  1],[34.15384615  2.84615385] ; [25.84615385  2.15384615],0
b3,1,0.314889,1.010059,[ 7 15] ; [ 3 14],[ 5.64102564 16.35897436] ; [ 4.35897436 12.64102564],0
b2,1,0.314889,1.010059,[ 7 15] ; [ 3 14],[ 5.64102564 16.35897436] ; [ 4.35897436 12.64102564],0
r4,1,0.316378,1.003861,[28  9] ; [24  4],[29.6  7.4] ; [22.4  5.6],0
d4,1,0.317418,0.999554,[28  9] ; [18 10],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
a6,1,0.380656,0.768581,[24 13] ; [21  7],[25.61538462 11.38461538] ; [19.38461538  8.61538462],0
d5,1,0.384902,0.754987,[27 10] ; [23  5],[28.46153846  8.53846154] ; [21.53846154  6.46153846],0
u1,1,0.398196,0.713767,[ 1 36] ; [ 2 26],[ 1.70769231 35.29230769] ; [ 1.29230769 26.70769231],0
b5,1,0.434325,0.61123,[23 14] ; [20  8],[24.47692308 12.52307692] ; [18.52307692  9.47692308],0
s8,1,0.526293,0.401544,[13 24] ; [12 16],[14.23076923 22.76923077] ; [10.76923077 17.23076923],0
s3,1,0.585044,0.298152,[19 18] ; [12 15],[17.921875 19.078125] ; [13.078125 13.921875],0
s4,1,0.630782,0.231002,[ 5 32] ; [ 5 23],[ 5.69230769 31.30769231] ; [ 4.30769231 23.69230769],0
u2,1,0.664617,0.187963,[14  7] ; [6 2],[14.48275862  6.51724138] ; [5.51724138 2.48275862],0
p6,1,0.6821,0.167772,[12 23] ; [11 17],[12.77777778 22.22222222] ; [10.22222222 17.77777778],0
b4,1,0.694238,0.154536,[18 19] ; [15 13],[18.78461538 18.21538462] ; [14.21538462 13.78461538],0
p1,1,0.719258,0.129205,[ 3 34] ; [ 3 25],[ 3.41538462 33.58461538] ; [ 2.58461538 25.41538462],0
a8,1,0.719886,0.128602,[ 2 32] ; [ 1 25],[ 1.7 32.3] ; [ 1.3 24.7],0
s1,1,0.750427,0.101172,[ 2 35] ; [ 1 26],[ 1.734375 35.265625] ; [ 1.265625 25.734375],0
p5,1,0.772858,0.083312,[ 2 35] ; [ 2 26],[ 2.27692308 34.72307692] ; [ 1.72307692 26.27692308],0
d3,1,0.781863,0.076669,[25 12] ; [18 10],[24.47692308 12.52307692] ; [18.52307692  9.47692308],0
a7,1,0.834655,0.04357,[26 11] ; [19  9],[25.61538462 11.38461538] ; [19.38461538  8.61538462],0
a1,1,0.84083,0.040334,[ 1 36] ; [ 1 27],[ 1.13846154 35.86153846] ; [ 0.86153846 27.13846154],0
r2,1,0.878801,0.023253,[31  6] ; [23  4],[31.21875  5.78125] ; [22.78125  4.21875],0
u3,1,0.900744,0.015556,[13  7] ; [5 3],[12.85714286  7.14285714] ; [5.14285714 2.85714286],0
s6,1,0.918551,0.010457,[22 15] ; [17 11],[22.2 14.8] ; [16.8 11.2],0
n3,1,0.928177,0.008125,[5 3] ; [3 2],[4.92307692 3.07692308] ; [3.07692308 1.92307692],0
d1,1,0.969169,0.001494,[17 20] ; [13 15],[17.07692308 19.92307692] ; [12.92307692 15.07692308],0
s5,1,0.985042,0.000351,[ 8 29] ; [ 6 22],[ 7.96923077 29.03076923] ; [ 6.03076923 21.96923077],0
