Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.239082,[92  6] ; [30 20],[80.78378378 17.21621622] ; [41.21621622  8.78378378],1
r4,1,1e-06,25.168199,[82 16] ; [23 29],[68.6 29.4] ; [36.4 15.6],1
r3,1,5e-06,20.897679,[89  8] ; [31 20],[78.64864865 18.35135135] ; [41.35135135  9.64864865],1
n6,1,4.5e-05,16.640618,[79 19] ; [24 26],[68.2027027 29.7972973] ; [34.7972973 15.2027027],1
p10,1,6e-05,16.098741,[67 28] ; [18 32],[55.68965517 39.31034483] ; [29.31034483 20.68965517],1
p9,1,0.000116,14.850139,[73 23] ; [22 28],[62.46575342 33.53424658] ; [32.53424658 17.46575342],1
r1,1,0.000748,11.366484,[70 28] ; [22 29],[60.51006711 37.48993289] ; [31.48993289 19.51006711],1
v2,1,0.001823,9.719845,[42 52] ; [ 9 40],[33.52447552 60.47552448] ; [17.47552448 31.52447552],0
b4,1,0.006722,7.345792,[64 34] ; [22 30],[56.18666667 41.81333333] ; [29.81333333 22.18666667],0
a6,1,0.01214,6.290341,[60 37] ; [21 31],[52.73154362 44.26845638] ; [28.26845638 23.73154362],0
r2,1,0.020317,5.384418,[86 12] ; [37 14],[80.89932886 17.10067114] ; [42.10067114  8.89932886],0
n3,1,0.023614,5.122727,[18  4] ; [12 12],[14.34782609  7.65217391] ; [15.65217391  8.34782609],0
s5,1,0.032673,4.562856,[23 71] ; [ 5 46],[18.15172414 75.84827586] ; [ 9.84827586 41.15172414],0
b1,1,0.043743,4.066459,[36 62] ; [28 24],[41.81333333 56.18666667] ; [22.18666667 29.81333333],0
p2,1,0.052838,3.749051,[66 31] ; [27 25],[60.54362416 36.45637584] ; [32.45637584 19.54362416],0
u2,1,0.053452,3.729719,[26 23] ; [10 22],[21.77777778 27.22222222] ; [14.22222222 17.77777778],0
s6,1,0.065403,3.394787,[46 49] ; [17 35],[40.71428571 54.28571429] ; [22.28571429 29.71428571],0
a7,1,0.06737,3.345964,[59 38] ; [23 28],[53.74324324 43.25675676] ; [28.25675676 22.74324324],0
u3,1,0.113499,2.504814,[25 24] ; [11 22],[21.51219512 27.48780488] ; [14.48780488 18.51219512],0
a3,1,0.114586,2.489807,[49 48] ; [18 31],[44.51369863 52.48630137] ; [22.48630137 26.51369863],0
p8,1,0.143864,2.136131,[40 56] ; [15 36],[35.91836735 60.08163265] ; [19.08163265 31.91836735],0
p6,1,0.189601,1.720719,[26 69] ; [ 9 42],[22.7739726 72.2260274] ; [12.2260274 38.7739726],0
s4,1,0.210101,1.57073,[19 78] ; [ 6 46],[16.27516779 80.72483221] ; [ 8.72483221 43.27516779],0
d2,1,0.223486,1.481845,[18 80] ; [14 38],[20.90666667 77.09333333] ; [11.09333333 40.90666667],0
p12,1,0.231793,1.429828,[ 6 89] ; [ 1 51],[ 4.52380952 90.47619048] ; [ 2.47619048 49.52380952],0
a1,1,0.291601,1.112217,[ 5 93] ; [ 5 47],[ 6.53333333 91.46666667] ; [ 3.46666667 48.53333333],0
n1,1,0.305885,1.048359,[ 6 16] ; [10 14],[ 7.65217391 14.34782609] ; [ 8.34782609 15.65217391],0
s1,1,0.308835,1.03565,[ 5 89] ; [ 5 46],[ 6.48275862 87.51724138] ; [ 3.51724138 47.48275862],0
a5,1,0.352165,0.865642,[45 52] ; [20 32],[42.31543624 54.68456376] ; [22.68456376 29.31543624],0
p4,1,0.367051,0.813622,[35 60] ; [15 36],[32.53424658 62.46575342] ; [17.46575342 33.53424658],0
d4,1,0.462333,0.54024,[48 49] ; [22 29],[45.87837838 51.12162162] ; [24.12162162 26.87837838],0
n4,1,0.463686,0.536982,[63 34] ; [30 21],[60.9527027 36.0472973] ; [32.0472973 18.9527027],0
p7,1,0.467144,0.528724,[46 47] ; [22 29],[43.91666667 49.08333333] ; [24.08333333 26.91666667],0
p5,1,0.471957,0.51739,[ 9 88] ; [ 3 48],[ 7.86486486 89.13513514] ; [ 4.13513514 46.86486486],0
p1,1,0.480572,0.497566,[11 86] ; [ 4 48],[ 9.76510067 87.23489933] ; [ 5.23489933 46.76510067],0
b3,1,0.492037,0.472068,[15 38] ; [11 20],[16.4047619 36.5952381] ; [ 9.5952381 21.4047619],0
b2,1,0.492037,0.472068,[15 38] ; [11 20],[16.4047619 36.5952381] ; [ 9.5952381 21.4047619],0
u1,1,0.51366,0.426604,[ 2 96] ; [ 2 50],[ 2.61333333 95.38666667] ; [ 1.38666667 50.61333333],0
a4,1,0.544902,0.36653,[21 75] ; [ 9 42],[19.59183673 76.40816327] ; [10.40816327 40.59183673],0
s3,1,0.55337,0.351315,[39 54] ; [24 27],[40.6875 52.3125] ; [22.3125 28.6875],0
a2,1,0.554874,0.348658,[ 6 92] ; [ 2 50],[ 5.22666667 92.77333333] ; [ 2.77333333 49.22666667],0
n5,1,0.634456,0.226067,[64 32] ; [32 19],[62.69387755 33.30612245] ; [33.30612245 17.69387755],0
n2,1,0.679125,0.171113,[17  5] ; [18  7],[16.38297872  5.61702128] ; [18.61702128  6.38297872],0
a8,1,0.724821,0.12392,[ 8 83] ; [ 5 42],[ 8.57246377 82.42753623] ; [ 4.42753623 42.57246377],0
d1,1,0.728553,0.120445,[ 5 93] ; [ 2 50],[ 4.57333333 93.42666667] ; [ 2.42666667 49.57333333],0
p3,1,0.791935,0.06959,[30 67] ; [15 37],[29.29530201 67.70469799] ; [15.70469799 36.29530201],0
v3,1,0.81071,0.057365,[29 68] ; [14 36],[28.37414966 68.62585034] ; [14.62585034 35.37414966],0
b5,1,0.853502,0.034096,[55 43] ; [30 22],[55.53333333 42.46666667] ; [29.46666667 22.53333333],0
v1,1,0.878461,0.023384,[37 59] ; [19 32],[36.57142857 59.42857143] ; [19.42857143 31.57142857],0
s2,1,0.919367,0.010248,[30 65] ; [16 36],[29.72789116 65.27210884] ; [16.27210884 35.72789116],0
d3,1,0.932128,0.007253,[38 59] ; [20 32],[37.75838926 59.24161074] ; [20.24161074 31.75838926],0
s7,1,0.950407,0.003868,[18 74] ; [10 40],[18.14084507 73.85915493] ; [ 9.85915493 40.14084507],0
