Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,39.854751,[157   7] ; [3 5],[152.55813953  11.44186047] ; [7.44186047 0.55813953],1
r4,1,0.0,36.205351,[147  18] ; [1 7],[141.15606936  23.84393064] ; [6.84393064 1.15606936],1
r1,1,0.001883,9.660314,[135  29] ; [3 5],[131.58139535  32.41860465] ; [6.41860465 1.58139535],0
n6,1,0.004741,7.975767,[125  39] ; [2 5],[121.80116959  42.19883041] ; [5.19883041 1.80116959],0
s1,1,0.010132,6.611535,[  7 157] ; [2 6],[  8.58139535 155.41860465] ; [0.41860465 7.58139535],0
d5,1,0.013698,6.076654,[126  39] ; [3 5],[123.03468208  41.96531792] ; [5.96531792 2.03468208],0
b1,1,0.025209,5.009502,[ 59 106] ; [6 2],[ 61.99421965 103.00578035] ; [3.00578035 4.99421965],0
p9,1,0.042241,4.125534,[129  32] ; [4 4],[126.70414201  34.29585799] ; [6.29585799 1.70414201],0
n4,1,0.046834,3.951343,[116  48] ; [3 5],[113.46511628  50.53488372] ; [5.53488372 2.46511628],0
r3,1,0.058638,3.575486,[151  13] ; [5 2],[149.61403509  14.38596491] ; [6.38596491 0.61403509],0
b5,1,0.075481,3.159622,[112  53] ; [3 5],[109.68208092  55.31791908] ; [5.31791908 2.68208092],0
v3,1,0.07842,3.097337,[70 89] ; [1 7],[67.5988024 91.4011976] ; [3.4011976 4.5988024],0
s3,1,0.087411,2.921414,[91 72] ; [2 6],[88.64912281 74.35087719] ; [4.35087719 3.64912281],0
s8,1,0.109232,2.5653,[67 97] ; [1 7],[64.8372093 99.1627907] ; [3.1627907 4.8372093],0
s6,1,0.11111,2.538363,[105  56] ; [3 5],[102.88757396  58.11242604] ; [5.11242604 2.88757396],0
p2,1,0.128037,2.316147,[122  42] ; [4 4],[120.13953488  43.86046512] ; [5.86046512 2.13953488],0
a6,1,0.139906,2.17899,[104  60] ; [3 5],[102.02325581  61.97674419] ; [4.97674419 3.02325581],0
n2,1,0.158716,1.986419,[37  9] ; [2 2],[35.88 10.12] ; [3.12 0.88],0
p7,1,0.162382,1.951898,[78 77] ; [2 6],[76.07361963 78.92638037] ; [3.92638037 4.07361963],0
s2,1,0.188512,1.729209,[80 84] ; [2 6],[78.18604651 85.81395349] ; [3.81395349 4.18604651],0
p8,1,0.203926,1.614034,[ 55 106] ; [1 7],[ 53.34911243 107.65088757] ; [2.65088757 5.34911243],0
b4,1,0.206422,1.596344,[99 66] ; [3 5],[97.28323699 67.71676301] ; [4.71676301 3.28323699],0
d4,1,0.213141,1.549961,[133  32] ; [5 3],[131.61849711  33.38150289] ; [6.38150289 1.61849711],0
n5,1,0.245569,1.348338,[114  50] ; [4 4],[112.51162791  51.48837209] ; [5.48837209 2.51162791],0
a1,1,0.341233,0.905792,[  8 157] ; [1 7],[  8.58381503 156.41618497] ; [0.41618497 7.58381503],0
n3,1,0.346517,0.88617,[34 13] ; [2 2],[33.17647059 13.82352941] ; [2.82352941 1.17647059],0
a3,1,0.380585,0.76881,[120  43] ; [7 1],[121.05847953  41.94152047] ; [5.94152047 2.05847953],0
a7,1,0.435274,0.60871,[105  60] ; [4 4],[103.95953757  61.04046243] ; [5.04046243 2.95953757],0
v2,1,0.442299,0.590311,[99 57] ; [4 4],[97.97560976 58.02439024] ; [5.02439024 2.97560976],0
p10,1,0.523278,0.407428,[118  44] ; [5 3],[117.21176471  44.78823529] ; [5.78823529 2.21176471],0
d2,1,0.549636,0.357969,[ 65 100] ; [4 4],[65.80924855 99.19075145] ; [3.19075145 4.80924855],0
d1,1,0.565863,0.329654,[79 86] ; [3 5],[78.20809249 86.79190751] ; [3.79190751 4.20809249],0
d3,1,0.573581,0.316727,[99 66] ; [4 4],[98.23699422 66.76300578] ; [4.76300578 3.23699422],0
p11,1,0.582768,0.30178,[118  47] ; [5 3],[117.31213873  47.68786127] ; [5.68786127 2.31213873],0
a2,1,0.602127,0.2718,[ 33 132] ; [1 7],[ 32.42774566 132.57225434] ; [1.57225434 6.42774566],0
p1,1,0.693486,0.155337,[ 14 151] ; [1 7],[ 14.30635838 150.69364162] ; [0.69364162 7.30635838],0
a4,1,0.721404,0.127151,[72 92] ; [3 5],[71.51162791 92.48837209] ; [3.48837209 4.51162791],0
b3,1,0.732872,0.116491,[44 48] ; [2 3],[43.62886598 48.37113402] ; [2.37113402 2.62886598],0
b2,1,0.732872,0.116491,[44 48] ; [2 3],[43.62886598 48.37113402] ; [2.37113402 2.62886598],0
s7,1,0.742469,0.107968,[69 90] ; [3 5],[68.5508982 90.4491018] ; [3.4491018 4.5508982],0
a5,1,0.749365,0.102066,[115  50] ; [6 2],[115.40462428  49.59537572] ; [5.59537572 2.40462428],0
