Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,30.605005,[64  3] ; [38 32],[49.88321168 17.11678832] ; [52.11678832 17.88321168],1
r2,1,2e-06,22.818727,[61  5] ; [37 29],[49. 17.] ; [49. 17.],1
v4,1,4e-06,21.239698,[63  4] ; [42 27],[51.72794118 15.27205882] ; [53.27205882 15.72794118],1
n6,1,6e-06,20.413781,[58  9] ; [36 35],[45.63768116 21.36231884] ; [48.36231884 22.63768116],1
p10,1,5.3e-05,16.331574,[52 14] ; [31 38],[40.57777778 25.42222222] ; [42.42222222 26.57777778],1
p9,1,0.000239,13.494534,[55 10] ; [37 30],[45.3030303 19.6969697] ; [46.6969697 20.3030303],1
n2,1,0.00375,8.400951,[22  3] ; [16 15],[16.96428571  8.03571429] ; [21.03571429  9.96428571],0
s6,1,0.005429,7.730549,[34 30] ; [21 50],[26.07407407 37.92592593] ; [28.92592593 42.07407407],0
p11,1,0.006171,7.499554,[50 17] ; [37 34],[42.23913043 24.76086957] ; [44.76086957 26.23913043],0
b1,1,0.013495,6.102979,[21 46] ; [37 34],[28.15942029 38.84057971] ; [29.84057971 41.15942029],0
s5,1,0.014636,5.959816,[18 46] ; [ 8 62],[12.41791045 51.58208955] ; [13.58208955 56.41791045],0
s2,1,0.016008,5.801976,[29 38] ; [17 54],[22.33333333 44.66666667] ; [23.66666667 47.33333333],0
d4,1,0.017048,5.691409,[49 18] ; [38 33],[42.23913043 24.76086957] ; [44.76086957 26.23913043],0
p2,1,0.031636,4.618098,[47 20] ; [36 33],[40.88970588 26.11029412] ; [42.11029412 26.88970588],0
a1,1,0.035662,4.413177,[ 2 65] ; [ 9 62],[ 5.34057971 61.65942029] ; [ 5.65942029 65.34057971],0
s8,1,0.035723,4.410286,[18 49] ; [ 9 62],[13.10869565 53.89130435] ; [13.89130435 57.10869565],0
p6,1,0.038404,4.287044,[19 46] ; [10 59],[14.06716418 50.93283582] ; [14.93283582 54.06716418],0
s3,1,0.041267,4.165026,[30 36] ; [20 50],[24.26470588 41.73529412] ; [25.73529412 44.26470588],0
