Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,3e-06,21.613146,[ 2 65] ; [2 1],[ 3.82857143 63.17142857] ; [0.17142857 2.82857143],1
s8,1,0.043498,4.075933,[13 57] ; [2 1],[14.38356164 55.61643836] ; [0.61643836 2.38356164],0
s5,1,0.069472,3.295443,[15 55] ; [2 1],[16.30136986 53.69863014] ; [0.69863014 2.30136986],0
s7,1,0.106506,2.605311,[16 49] ; [2 1],[17.20588235 47.79411765] ; [0.79411765 2.20588235],0
p3,1,0.153009,2.041991,[20 51] ; [2 1],[21.10810811 49.89189189] ; [0.89189189 2.10810811],0
p4,1,0.15909,1.982854,[20 50] ; [2 1],[21.09589041 48.90410959] ; [0.90410959 2.09589041],0
v1,1,0.173963,1.848452,[21 50] ; [2 1],[22.06756757 48.93243243] ; [0.93243243 2.06756757],0
s1,1,0.205187,1.605064,[ 7 63] ; [1 2],[ 7.67123288 62.32876712] ; [0.32876712 2.67123288],0
s2,1,0.251423,1.315377,[24 46] ; [2 1],[24.93150685 45.06849315] ; [1.06849315 1.93150685],0
b5,1,0.319594,0.990607,[27 44] ; [2 1],[27.82432432 43.17567568] ; [1.17567568 1.82432432],0
p6,1,0.482215,0.49385,[12 57] ; [1 2],[12.45833333 56.54166667] ; [0.54166667 2.45833333],0
p7,1,0.507432,0.439359,[33 37] ; [2 1],[33.56164384 36.43835616] ; [1.43835616 1.56164384],0
a5,1,0.587937,0.293578,[35 36] ; [1 2],[34.54054054 36.45945946] ; [1.45945946 1.54054054],0
r2,1,0.636309,0.223602,[54 15] ; [2 1],[53.66666667 15.33333333] ; [2.33333333 0.66666667],0
p11,1,0.654498,0.200276,[33 38] ; [1 2],[32.62162162 38.37837838] ; [1.37837838 1.62162162],0
d2,1,0.673078,0.178023,[32 38] ; [1 2],[31.64383562 38.35616438] ; [1.35616438 1.64383562],0
p2,1,0.68871,0.160485,[32 39] ; [1 2],[31.66216216 39.33783784] ; [1.33783784 1.66216216],0
b1,1,0.68871,0.160485,[39 32] ; [2 1],[39.33783784 31.66216216] ; [1.66216216 1.33783784],0
a3,1,0.68871,0.160485,[32 39] ; [1 2],[31.66216216 39.33783784] ; [1.33783784 1.66216216],0
b4,1,0.723555,0.125112,[40 31] ; [2 1],[40.2972973 30.7027027] ; [1.7027027 1.2972973],0
d5,1,0.723555,0.125112,[40 31] ; [2 1],[40.2972973 30.7027027] ; [1.7027027 1.2972973],0
p8,1,0.756585,0.09608,[18 53] ; [1 2],[18.22972973 52.77027027] ; [0.77027027 2.22972973],0
u3,1,0.801618,0.063128,[16 23] ; [1 1],[16.17073171 22.82926829] ; [0.82926829 1.17073171],0
a6,1,0.869545,0.026973,[27 44] ; [1 2],[26.86486486 44.13513514] ; [1.13513514 1.86486486],0
u2,1,0.942094,0.005276,[18 20] ; [1 1],[18.05 19.95] ; [0.95 1.05],0
d3,1,0.94679,0.004454,[25 46] ; [1 2],[24.94594595 46.05405405] ; [1.05405405 1.94594595],0
a4,1,0.957968,0.002778,[22 47] ; [1 2],[22.04166667 46.95833333] ; [0.95833333 2.04166667],0
v2,1,0.957968,0.002778,[22 47] ; [1 2],[22.04166667 46.95833333] ; [0.95833333 2.04166667],0
