Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.012117,6.293706,[27  6] ; [21 18],[22. 11.] ; [26. 13.],0
s7,1,0.024151,5.083732,[15 15] ; [ 9 29],[10.58823529 19.41176471] ; [13.41176471 24.58823529],0
v1,1,0.061039,3.508924,[20 13] ; [15 24],[16.04166667 16.95833333] ; [18.95833333 20.04166667],0
n1,1,0.081277,3.039183,[5 4] ; [2 9],[3.15 5.85] ; [3.85 7.15],0
r2,1,0.085614,2.954976,[30  2] ; [31  8],[27.49295775  4.50704225] ; [33.50704225  5.49295775],0
s8,1,0.113358,2.506775,[12 20] ; [ 8 31],[ 9.01408451 22.98591549] ; [10.98591549 28.01408451],0
b4,1,0.113378,2.506497,[26  7] ; [24 15],[22.91666667 10.08333333] ; [27.08333333 11.91666667],0
u1,1,0.12857,2.30969,[ 2 31] ; [ 7 32],[ 4.125 28.875] ; [ 4.875 34.125],0
r1,1,0.146102,2.112485,[27  6] ; [26 13],[24.29166667  8.70833333] ; [28.70833333 10.29166667],0
p10,1,0.216501,1.527414,[12 21] ; [ 9 30],[ 9.625 23.375] ; [11.375 27.625],0
n5,1,0.220976,1.498019,[20 13] ; [18 21],[17.41666667 15.58333333] ; [20.58333333 18.41666667],0
a8,1,0.24459,1.353945,[ 4 23] ; [ 2 32],[ 2.6557377 24.3442623] ; [ 3.3442623 30.6557377],0
r4,1,0.252559,1.309091,[26  7] ; [26 13],[23.83333333  9.16666667] ; [28.16666667 10.83333333],0
a6,1,0.304941,1.052459,[19 14] ; [27 12],[21.08333333 11.91666667] ; [24.91666667 14.08333333],0
p7,1,0.349597,0.87492,[14 17] ; [22 17],[15.94285714 15.05714286] ; [20.05714286 18.94285714],0
b5,1,0.373735,0.791209,[22 11] ; [22 17],[20.16666667 12.83333333] ; [23.83333333 15.16666667],0
b1,1,0.392085,0.732467,[17 16] ; [24 15],[18.79166667 14.20833333] ; [22.20833333 16.79166667],0
n2,1,0.407094,0.687273,[8 2] ; [7 4],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
b2,1,0.437013,0.604113,[ 5 14] ; [ 9 15],[ 6.18604651 12.81395349] ; [ 7.81395349 16.18604651],0
b3,1,0.437013,0.604113,[ 5 14] ; [ 9 15],[ 6.18604651 12.81395349] ; [ 7.81395349 16.18604651],0
p6,1,0.45758,0.551807,[ 6 25] ; [10 27],[ 7.29411765 23.70588235] ; [ 8.70588235 28.29411765],0
s2,1,0.459378,0.54741,[13 18] ; [13 26],[11.51428571 19.48571429] ; [14.48571429 24.51428571],0
d3,1,0.46875,0.524922,[23 10] ; [24 15],[21.54166667 11.45833333] ; [25.45833333 13.54166667],0
s3,1,0.475166,0.509938,[15 17] ; [15 24],[13.52112676 18.47887324] ; [16.47887324 22.52112676],0
s4,1,0.498954,0.45716,[ 4 28] ; [ 3 36],[ 3.15492958 28.84507042] ; [ 3.84507042 35.15492958],0
r3,1,0.498954,0.45716,[28  4] ; [36  3],[28.84507042  3.15492958] ; [35.15492958  3.84507042],0
p2,1,0.533342,0.388019,[21 12] ; [22 17],[19.70833333 13.29166667] ; [23.29166667 15.70833333],0
a2,1,0.555667,0.347262,[ 5 28] ; [ 8 31],[ 5.95833333 27.04166667] ; [ 7.04166667 31.95833333],0
a5,1,0.571363,0.320407,[19 14] ; [25 14],[20.16666667 12.83333333] ; [23.83333333 15.16666667],0
p8,1,0.571363,0.320407,[14 19] ; [14 25],[12.83333333 20.16666667] ; [15.16666667 23.83333333],0
n6,1,0.578035,0.309421,[24  9] ; [26 13],[22.91666667 10.08333333] ; [27.08333333 11.91666667],0
n3,1,0.647141,0.209524,[7 4] ; [8 3],[7.5 3.5] ; [7.5 3.5],0
p3,1,0.651147,0.204457,[13 20] ; [13 25],[12.08450704 20.91549296] ; [13.91549296 24.08450704],0
d5,1,0.659281,0.194398,[26  7] ; [29 10],[25.20833333  7.79166667] ; [29.79166667  9.20833333],0
p11,1,0.677876,0.172527,[17 16] ; [22 17],[17.875 15.125] ; [21.125 17.875],0
s6,1,0.711701,0.136584,[15 17] ; [20 19],[15.77464789 16.22535211] ; [19.22535211 19.77464789],0
u3,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
p4,1,0.746853,0.104195,[16 16] ; [18 21],[15.32394366 16.67605634] ; [18.67605634 20.32394366],0
d2,1,0.781918,0.07663,[15 17] ; [17 22],[14.42253521 17.57746479] ; [17.57746479 21.42253521],0
d1,1,0.782262,0.076382,[18 15] ; [20 19],[17.41666667 15.58333333] ; [20.58333333 18.41666667],0
a4,1,0.783488,0.075502,[10 23] ; [13 26],[10.54166667 22.45833333] ; [12.45833333 26.54166667],0
p1,1,0.786101,0.073646,[ 2 31] ; [ 3 36],[ 2.29166667 30.70833333] ; [ 2.70833333 36.29166667],0
d4,1,0.794896,0.067578,[27  5] ; [32  7],[26.5915493  5.4084507] ; [32.4084507  6.5915493],0
s1,1,0.838371,0.041607,[ 2 30] ; [ 2 37],[ 1.8028169 30.1971831] ; [ 2.1971831 36.8028169],0
a1,1,0.863361,0.029617,[ 2 31] ; [ 2 37],[ 1.83333333 31.16666667] ; [ 2.16666667 36.83333333],0
s5,1,0.913961,0.011673,[ 7 24] ; [ 9 29],[ 7.1884058 23.8115942] ; [ 8.8115942 29.1884058],0
v4,1,0.928766,0.007992,[29  4] ; [34  5],[28.875  4.125] ; [34.125  4.875],0
a3,1,0.93555,0.006539,[20 13] ; [24 15],[20.16666667 12.83333333] ; [23.83333333 15.16666667],0
a7,1,0.965233,0.0019,[22 10] ; [27 12],[22.08450704  9.91549296] ; [26.91549296 12.08450704],0
u2,1,1.0,0.0,[6 6] ; [7 7],[6. 6.] ; [7. 7.],0
