Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,105.774519,[231  57] ; [167 240],[164.92661871 123.07338129] ; [233.07338129 173.92661871],1
v1,1,0.0,42.210984,[200  90] ; [179 227],[157.91666667 132.08333333] ; [221.08333333 184.91666667],1
n4,1,3e-06,21.653531,[253  41] ; [297 120],[227.42616034  66.57383966] ; [322.57383966  94.42616034],1
n5,1,8e-06,19.923212,[245  49] ; [283 130],[219.56435644  74.43564356] ; [308.43564356 104.56435644],1
s7,1,1.3e-05,19.031168,[155 121] ; [157 244],[127.19645495 148.80354505] ; [184.80354505 216.19645495],1
s8,1,1.7e-05,18.485221,[149 142] ; [146 271],[121.25 169.75] ; [173.75 243.25],1
p12,1,0.000142,14.479533,[ 37 253] ; [ 20 395],[ 23.44680851 266.55319149] ; [ 33.55319149 381.44680851],1
p5,1,0.000427,12.40856,[ 49 242] ; [ 34 382],[ 34.16265912 256.83734088] ; [ 48.83734088 367.16265912],1
s2,1,0.000559,11.90905,[155 138] ; [166 251],[132.46901408 160.53098592] ; [188.53098592 228.46901408],1
p3,1,0.000601,11.771979,[163 126] ; [180 236],[140.60567376 148.39432624] ; [202.39432624 213.60567376],1
r1,1,0.001301,10.341123,[252  42] ; [315 100],[235.11706629  58.88293371] ; [331.88293371  83.11706629],0
d1,1,0.001904,9.639941,[186 108] ; [216 203],[165.76157083 128.23842917] ; [236.23842917 182.76157083],0
p10,1,0.003703,8.424227,[245  44] ; [313 100],[229.71794872  59.28205128] ; [328.28205128  84.71794872],0
n6,1,0.00714,7.237359,[258  34] ; [337  80],[245.0493653  46.9506347] ; [349.9506347  67.0493653],0
a5,1,0.010312,6.580265,[227  66] ; [288 131],[211.93117978  81.06882022] ; [303.06882022 115.93117978],0
s5,1,0.010409,6.563456,[101 186] ; [107 302],[ 85.77011494 201.22988506] ; [122.22988506 286.77011494],0
p1,1,0.011187,6.435445,[ 34 258] ; [ 26 390],[ 24.74576271 267.25423729] ; [ 35.25423729 380.74576271],0
p8,1,0.012323,6.263823,[166 120] ; [200 213],[149.75107296 136.24892704] ; [216.24892704 196.75107296],0
p4,1,0.013811,6.062202,[182 105] ; [225 191],[166.15789474 120.84210526] ; [240.84210526 175.15789474],0
p7,1,0.018918,5.509086,[194  89] ; [244 164],[179.38350217 103.61649783] ; [258.61649783 149.38350217],0
d2,1,0.024168,5.082539,[151 140] ; [181 237],[136.2651622 154.7348378] ; [195.7348378 222.2651622],0
r4,1,0.029643,4.729895,[274  20] ; [370  49],[265.5483871  28.4516129] ; [378.4516129  40.5483871],0
a1,1,0.03201,4.597947,[ 22 272] ; [ 16 403],[ 15.66900421 278.33099579] ; [ 22.33099579 396.66900421],0
d3,1,0.034643,4.462675,[206  86] ; [263 155],[192.88450704  99.11549296] ; [276.11549296 141.88450704],0
s6,1,0.043442,4.078111,[194  97] ; [245 169],[181.20425532 109.79574468] ; [257.79574468 156.20425532],0
a3,1,0.046239,3.972861,[217  74] ; [282 135],[205.09745763  85.90254237] ; [293.90254237 123.09745763],0
u1,1,0.047507,3.927333,[ 57 237] ; [ 58 361],[ 47.41935484 246.58064516] ; [ 67.58064516 351.41935484],0
s3,1,0.048972,3.8763,[160 127] ; [201 216],[147.16903409 139.83096591] ; [213.83096591 203.16903409],0
d5,1,0.060147,3.533322,[242  50] ; [323  96],[232.03938115  59.96061885] ; [332.96061885  86.03938115],0
p6,1,0.068104,3.328142,[111 175] ; [132 279],[ 99.71018651 186.28981349] ; [143.28981349 267.71018651],0
u4,1,0.071077,3.257967,[  8 286] ; [  4 415],[  4.94810659 289.05189341] ; [  7.05189341 411.94810659],0
a4,1,0.074962,3.170872,[138 154] ; [169 248],[126.43723554 165.56276446] ; [180.56276446 236.43723554],0
p9,1,0.084379,2.978463,[248  41] ; [333  79],[239.5278174  49.4721826] ; [341.4721826  70.5278174],0
