Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,102.008972,[250   7] ; [13 17],[235.5087108  21.4912892] ; [27.4912892  2.5087108],1
p11,1,0.0,31.422921,[220  37] ; [13 17],[208.6445993  48.3554007] ; [24.3554007  5.6445993],1
v3,1,0.000936,10.949727,[125 121] ; [ 5 23],[116.71532847 129.28467153] ; [13.28467153 14.71532847],1
n5,1,0.00141,10.192449,[214  43] ; [17 12],[207.57692308  49.42307692] ; [23.42307692  5.57692308],0
p7,1,0.001645,9.908225,[201  53] ; [16 14],[194.07746479  59.92253521] ; [22.92253521  7.07746479],0
r4,1,0.001841,9.701616,[244  13] ; [24  6],[239.98606272  17.01393728] ; [28.01393728  1.98606272],0
s1,1,0.001934,9.611267,[  6 250] ; [ 4 26],[  8.95104895 247.04895105] ; [ 1.04895105 28.95104895],0
v4,1,0.00199,9.55893,[249   6] ; [26  4],[246.05263158   8.94736842] ; [28.94736842  1.05263158],0
n6,1,0.002288,9.30265,[232  24] ; [20  8],[227.15492958  28.84507042] ; [24.84507042  3.15492958],0
a6,1,0.008453,6.935,[194  62] ; [16 14],[187.97202797  68.02797203] ; [22.02797203  7.97202797],0
s5,1,0.015005,5.915917,[116 126] ; [ 7 22],[109.83763838 132.16236162] ; [13.16236162 15.83763838],0
p2,1,0.01998,5.413679,[232  24] ; [23  7],[228.25174825  27.74825175] ; [26.74825175  3.25174825],0
v1,1,0.029405,4.743732,[165  82] ; [14 16],[159.61371841  87.38628159] ; [19.38628159 10.61371841],0
n4,1,0.038403,4.287097,[223  34] ; [21  8],[219.25874126  37.74125874] ; [24.74125874  4.25874126],0
p4,1,0.068591,3.31641,[221  36] ; [22  8],[217.59930314  39.40069686] ; [25.40069686  4.59930314],0
a7,1,0.077396,3.118752,[200  57] ; [19 11],[196.10801394  60.89198606] ; [22.89198606  7.10801394],0
s6,1,0.081774,3.029286,[192  58] ; [18 11],[188.17204301  61.82795699] ; [21.82795699  7.17204301],0
b1,1,0.106272,2.608809,[106 151] ; [17 13],[110.14285714 146.85714286] ; [12.85714286 17.14285714],0
s3,1,0.121956,2.392013,[163  90] ; [15 15],[159.13074205  93.86925795] ; [18.86925795 11.13074205],0
p8,1,0.152353,2.048532,[178  78] ; [17 13],[174.54545455  81.45454545] ; [20.45454545  9.54545455],0
r1,1,0.160238,1.97198,[220  35] ; [23  7],[217.42105263  37.57894737] ; [25.57894737  4.42105263],0
s7,1,0.223972,1.478736,[150  91] ; [13 13],[147.12734082  93.87265918] ; [15.87265918 10.12734082],0
n2,1,0.247854,1.33536,[28  7] ; [9 5],[26.42857143  8.57142857] ; [10.57142857  3.42857143],0
s2,1,0.311886,1.022674,[156  98] ; [15 14],[153.4770318 100.5229682] ; [17.5229682 11.4770318],0
n3,1,0.357097,0.848077,[27  8] ; [9 5],[25.71428571  9.28571429] ; [10.28571429  3.71428571],0
n1,1,0.365356,0.819398,[15 20] ; [8 6],[16.42857143 18.57142857] ; [6.57142857 7.42857143],0
u1,1,0.405354,0.692387,[ 88 169] ; [ 8 22],[ 85.96515679 171.03484321] ; [10.03484321 19.96515679],0
