Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,69.727919,[44 74] ; [250  65],[80.12009238 37.87990762] ; [213.87990762 101.12009238],1
d3,1,0.0,61.777331,[59 59] ; [272  44],[89.99539171 28.00460829] ; [241.00460829  74.99539171],1
a2,1,1e-06,24.754257,[ 12 106] ; [108 208],[32.62672811 85.37327189] ; [ 87.37327189 228.62672811],1
u1,1,2e-06,23.114613,[  7 111] ; [ 86 230],[25.28571429 92.71428571] ; [ 67.71428571 248.28571429],1
b5,1,0.002093,9.466279,[57 61] ; [204 112],[70.96313364 47.03686636] ; [190.03686636 125.96313364],0
v4,1,0.003166,8.709185,[106  12] ; [305  10],[112.00461894   5.99538106] ; [298.99538106  16.00461894],0
d1,1,0.005258,7.788579,[72 46] ; [236  80],[83.74193548 34.25806452] ; [224.25806452  91.74193548],0
b3,1,0.01567,5.83957,[43 38] ; [ 70 118],[34.0260223 46.9739777] ; [ 78.9739777 109.0260223],0
b2,1,0.01567,5.83957,[43 38] ; [ 70 118],[34.0260223 46.9739777] ; [ 78.9739777 109.0260223],0
r4,1,0.016336,5.766359,[100  18] ; [292  24],[106.58064516  11.41935484] ; [285.41935484  30.58064516],0
r2,1,0.023021,5.166897,[110   8] ; [303   7],[113.86448598   4.13551402] ; [299.13551402  10.86448598],0
b1,1,0.025769,4.971448,[58 60] ; [118 198],[47.85253456 70.14746544] ; [128.14746544 187.85253456],0
p2,1,0.03555,4.41858,[91 25] ; [274  42],[98.00925926 17.99074074] ; [266.99074074  49.00925926],0
n1,1,0.067831,3.334748,[18 11] ; [28 39],[13.89583333 15.10416667] ; [32.10416667 34.89583333],0
a1,1,0.102196,2.670936,[ 11 107] ; [ 16 300],[  7.34101382 110.65898618] ; [ 19.65898618 296.34101382],0
b4,1,0.102737,2.66253,[63 55] ; [196 120],[70.41935484 47.58064516] ; [188.58064516 127.41935484],0
s5,1,0.110069,2.553232,[57 55] ; [125 172],[49.83863081 62.16136919] ; [132.16136919 164.83863081],0
s1,1,0.11573,2.474182,[  2 115] ; [ 16 296],[  4.90909091 112.09090909] ; [ 13.09090909 298.90909091],0
s7,1,0.116783,2.459946,[80 32] ; [194 113],[73.24105012 38.75894988] ; [200.75894988 106.24105012],0
r1,1,0.118953,2.431054,[93 25] ; [268  47],[98.37875289 19.62124711] ; [262.62124711  52.37875289],0
n6,1,0.12076,2.407441,[90 26] ; [263  50],[95.44988345 20.55011655] ; [257.55011655  55.44988345],0
v1,1,0.122073,2.390523,[70 44] ; [161 143],[63. 51.] ; [168. 136.],0
u2,1,0.183728,1.767205,[14 10] ; [51 19],[16.59574468  7.40425532] ; [48.40425532 21.59574468],0
p12,1,0.192893,1.695379,[  9 105] ; [ 39 276],[ 12.75524476 101.24475524] ; [ 35.24475524 279.75524476],0
d5,1,0.212739,1.552686,[98 20] ; [277  39],[101.95852535  16.04147465] ; [273.04147465  42.95852535],0
p3,1,0.215477,1.534243,[68 49] ; [162 153],[62.29166667 54.70833333] ; [167.70833333 147.29166667],0
v2,1,0.228059,1.452926,[60 53] ; [179 121],[65.39225182 47.60774818] ; [173.60774818 126.39225182],0
p4,1,0.250598,1.319969,[67 49] ; [201 114],[72.12993039 43.87006961] ; [195.87006961 119.12993039],0
s2,1,0.255819,1.291245,[91 27] ; [259  57],[95.16129032 22.83870968] ; [254.83870968  61.16129032],0
s8,1,0.268458,1.224608,[74 44] ; [179 136],[68.94688222 49.05311778] ; [184.05311778 130.94688222],0
a8,1,0.2729,1.202111,[ 14 102] ; [ 48 245],[17.58435208 98.41564792] ; [ 44.41564792 248.58435208],0
s6,1,0.289403,1.122396,[92 21] ; [268  45],[95.49295775 17.50704225] ; [264.50704225  48.49295775],0
p10,1,0.304343,1.055066,[93 23] ; [264  49],[96.53146853 19.46853147] ; [260.46853147  52.53146853],0
n4,1,0.337233,0.920921,[95 22] ; [243  73],[91.33025404 25.66974596] ; [246.66974596  69.33025404],0
p8,1,0.440216,0.59572,[58 57] ; [171 142],[61.53037383 53.46962617] ; [167.46962617 145.53037383],0
a5,1,0.466693,0.529795,[86 32] ; [241  75],[88.9078341 29.0921659] ; [238.0921659  77.9078341],0
a3,1,0.475601,0.508934,[94 23] ; [243  72],[91.27083333 25.72916667] ; [245.72916667  69.27083333],0
p1,1,0.487717,0.481558,[  8 109] ; [ 28 286],[  9.77262181 107.22737819] ; [ 26.22737819 287.77262181],0
p9,1,0.496327,0.462781,[99 17] ; [274  38],[101.09345794  14.90654206] ; [271.90654206  40.09345794],0
n3,1,0.5194,0.415085,[19 10] ; [49 19],[20.32989691  8.67010309] ; [47.67010309 20.32989691],0
s4,1,0.574213,0.315685,[28 89] ; [ 67 246],[25.84883721 91.15116279] ; [ 69.15116279 243.84883721],0
p7,1,0.592165,0.286975,[77 36] ; [198 105],[74.69951923 38.30048077] ; [200.30048077 102.69951923],0
n2,1,0.647705,0.208806,[23  6] ; [51 17],[22.12371134  6.87628866] ; [51.87628866 16.12371134],0
v3,1,0.654331,0.200483,[48 67] ; [118 182],[46. 69.] ; [120. 180.],0
u4,1,0.709881,0.138396,[  5 113] ; [ 11 305],[  4.35023041 113.64976959] ; [ 11.64976959 304.35023041],0
r3,1,0.72337,0.125287,[113   5] ; [302  11],[113.61948956   4.38051044] ; [301.38051044  11.61948956],0
d2,1,0.725626,0.123165,[65 53] ; [180 136],[66.61290323 51.38709677] ; [178.38709677 137.61290323],0
u3,1,0.729785,0.119309,[16  8] ; [50 21],[16.67368421  7.32631579] ; [49.32631579 21.67368421],0
p6,1,0.869978,0.026793,[45 68] ; [127 185],[45.73176471 67.26823529] ; [126.26823529 185.73176471],0
