Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,74.024984,[324  96] ; [58 92],[281.47368421 138.52631579] ; [100.52631579  49.47368421],1
a6,1,0.0,62.572317,[331  90] ; [66 84],[292.70928196 128.29071804] ; [104.29071804  45.70928196],1
r4,1,1e-06,24.292007,[393  29] ; [118  32],[376.9965035  45.0034965] ; [134.0034965  15.9965035],1
a2,1,1e-06,23.733475,[111 311] ; [ 11 139],[ 90.00699301 331.99300699] ; [ 31.99300699 118.00699301],1
d4,1,1.8e-05,18.440381,[348  73] ; [98 51],[329.41403509  91.58596491] ; [116.58596491  32.41403509],1
r1,1,3.5e-05,17.128994,[350  70] ; [101  49],[332.31578947  87.68421053] ; [118.68421053  31.31578947],1
d1,1,3.9e-05,16.924567,[251 171] ; [60 90],[229.44405594 192.55594406] ; [81.55594406 68.44405594],1
r3,1,5e-05,16.434811,[403  18] ; [129  21],[392.24518389  28.75481611] ; [139.75481611  10.24518389],1
d5,1,5.9e-05,16.150267,[347  74] ; [100  50],[329.57443082  91.42556918] ; [117.42556918  32.57443082],1
u1,1,0.000165,14.193028,[ 76 346] ; [  8 142],[ 61.97202797 360.02797203] ; [ 22.02797203 127.97202797],1
v4,1,0.000444,12.338927,[408  14] ; [132  16],[399.78947368  22.21052632] ; [140.21052632   7.78947368],1
b5,1,0.000544,11.957334,[281 141] ; [76 74],[263.38111888 158.61888112] ; [93.61888112 56.38111888],1
p2,1,0.001771,9.773339,[348  73] ; [103  43],[334.86948854  86.13051146] ; [116.13051146  29.86948854],0
p4,1,0.003164,8.710641,[237 184] ; [62 85],[221.61795775 199.38204225] ; [77.38204225 69.61795775],0
p10,1,0.004775,7.962745,[325  93] ; [97 50],[312.20530973 105.79469027] ; [109.79469027  37.20530973],0
v2,1,0.010095,6.618029,[225 178] ; [61 80],[211.87132353 191.12867647] ; [74.12867647 66.87132353],0
b4,1,0.010677,6.518255,[256 166] ; [73 77],[242.72377622 179.27622378] ; [86.27622378 63.72377622],0
u3,1,0.019638,5.443807,[82 52] ; [21 29],[75.01086957 58.98913043] ; [27.98913043 22.01086957],0
p8,1,0.032887,4.551652,[205 211] ; [57 89],[193.93594306 222.06405694] ; [68.06405694 77.93594306],0
p9,1,0.035491,4.421391,[336  81] ; [107  41],[326.95752212  90.04247788] ; [116.04247788  31.95752212],0
b1,1,0.046096,3.978082,[147 275] ; [66 84],[157.14335664 264.85664336] ; [55.85664336 94.14335664],0
s6,1,0.052588,3.756978,[241 178] ; [72 77],[230.89260563 188.10739437] ; [82.10739437 66.89260563],0
b3,1,0.072952,3.215315,[ 78 163] ; [41 55],[ 85.10089021 155.89910979] ; [33.89910979 62.10089021],0
