Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.005537,[24 23] ; [95 13],[36.08387097 10.91612903] ; [82.91612903 25.08387097],1
a5,1,0.002968,8.826772,[17 30] ; [67 41],[25.47096774 21.52903226] ; [58.52903226 49.47096774],0
r3,1,0.00851,6.922915,[38  9] ; [102   6],[42.4516129  4.5483871] ; [97.5483871 10.4516129],0
a6,1,0.009832,6.665168,[20 27] ; [70 38],[27.29032258 19.70967742] ; [62.70967742 45.29032258],0
n1,1,0.021797,5.261924,[ 1 15] ; [13 22],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
v4,1,0.03923,4.250876,[36 10] ; [96 10],[39.94736842  6.05263158] ; [92.05263158 13.94736842],0
n3,1,0.040325,4.204159,[8 8] ; [26  7],[11.10204082  4.89795918] ; [22.89795918 10.10204082],0
p1,1,0.046074,3.97887,[ 4 42] ; [  2 105],[ 1.80392157 44.19607843] ; [  4.19607843 102.80392157],0
r2,1,0.052124,3.771793,[36  8] ; [99  8],[39.33774834  4.66225166] ; [95.66225166 11.33774834],0
a4,1,0.061754,3.489628,[11 36] ; [42 66],[16.07096774 30.92903226] ; [36.92903226 71.07096774],0
s6,1,0.066303,3.372255,[16 30] ; [54 52],[21.18421053 24.81578947] ; [48.81578947 57.18421053],0
s3,1,0.067558,3.341381,[15 31] ; [52 55],[20.14379085 25.85620915] ; [46.85620915 60.14379085],0
b3,1,0.086053,2.946695,[13 16] ; [13 37],[ 9.5443038 19.4556962] ; [16.4556962 33.5443038],0
b2,1,0.086053,2.946695,[13 16] ; [13 37],[ 9.5443038 19.4556962] ; [16.4556962 33.5443038],0
v2,1,0.096483,2.762735,[18 29] ; [54 48],[22.7114094 24.2885906] ; [49.2885906 52.7114094],0
d1,1,0.112185,2.523171,[17 30] ; [54 54],[21.52903226 25.47096774] ; [49.47096774 58.52903226],0
b1,1,0.114406,2.492281,[21 26] ; [34 74],[16.67741935 30.32258065] ; [38.32258065 69.67741935],0
s8,1,0.11632,2.466185,[ 8 39] ; [31 76],[11.9025974 35.0974026] ; [27.0974026 79.9025974],0
p6,1,0.148621,2.08635,[ 9 35] ; [12 93],[ 6.20134228 37.79865772] ; [14.79865772 90.20134228],0
d4,1,0.150793,2.064212,[35 12] ; [91 17],[38.20645161  8.79354839] ; [87.79354839 20.20645161],0
p2,1,0.158852,1.985124,[27 19] ; [76 32],[30.76623377 15.23376623] ; [72.23376623 35.76623377],0
v1,1,0.174237,1.846109,[13 32] ; [43 63],[16.68874172 28.31125828] ; [39.31125828 66.68874172],0
p7,1,0.249068,1.328522,[15 30] ; [46 60],[18.17880795 26.82119205] ; [42.82119205 63.17880795],0
d3,1,0.330994,0.945006,[26 20] ; [70 38],[28.67532468 17.32467532] ; [67.32467532 40.67532468],0
n4,1,0.35019,0.872769,[15 32] ; [43 65],[17.58709677 29.41290323] ; [40.41290323 67.58709677],0
p11,1,0.38358,0.759195,[27 20] ; [70 38],[29.41290323 17.58709677] ; [67.58709677 40.41290323],0
s2,1,0.445518,0.582028,[14 33] ; [39 69],[16.07096774 30.92903226] ; [36.92903226 71.07096774],0
a3,1,0.47164,0.518131,[27 19] ; [70 38],[28.97402597 17.02597403] ; [68.02597403 39.97402597],0
s7,1,0.492092,0.471949,[12 34] ; [32 69],[13.76870748 32.23129252] ; [30.23129252 70.76870748],0
u2,1,0.492165,0.471791,[10 10] ; [22 15],[11.22807018  8.77192982] ; [20.77192982 16.22807018],0
n2,1,0.51656,0.420756,[9 7] ; [23 12],[10.03921569  5.96078431] ; [21.96078431 13.03921569],0
b5,1,0.520838,0.412234,[30 17] ; [63 45],[28.2 18.8] ; [64.8 43.2],0
d2,1,0.533993,0.386787,[19 28] ; [38 70],[17.28387097 29.71612903] ; [39.71612903 68.28387097],0
p10,1,0.550841,0.355812,[24 20] ; [64 43],[25.64238411 18.35761589] ; [62.35761589 44.64238411],0
s4,1,0.57558,0.313435,[11 36] ; [21 87],[ 9.70322581 37.29677419] ; [22.29677419 85.70322581],0
u3,1,0.580602,0.305263,[ 9 11] ; [20 18],[10. 10.] ; [19. 19.],0
a1,1,0.609727,0.260573,[ 1 46] ; [  4 104],[ 1.51612903 45.48387097] ; [  3.48387097 104.51612903],0
p5,1,0.622313,0.24263,[ 2 44] ; [  3 104],[ 1.50326797 44.49673203] ; [  3.49673203 103.50326797],0
p3,1,0.623865,0.240472,[11 35] ; [22 86],[ 9.85714286 36.14285714] ; [23.14285714 84.85714286],0
a2,1,0.62476,0.239234,[ 4 43] ; [12 96],[ 4.8516129 42.1483871] ; [11.1483871 96.8516129],0
s1,1,0.650178,0.205676,[ 3 44] ; [  5 103],[ 2.42580645 44.57419355] ; [  5.57419355 102.42580645],0
u1,1,0.676225,0.174407,[ 3 44] ; [ 9 99],[ 3.63870968 43.36129032] ; [ 8.36129032 99.63870968],0
a8,1,0.747568,0.103586,[ 2 41] ; [ 6 94],[ 2.40559441 40.59440559] ; [ 5.59440559 94.40559441],0
b4,1,0.74969,0.101791,[27 20] ; [65 43],[27.89677419 19.10322581] ; [64.10322581 43.89677419],0
d5,1,0.764138,0.090031,[33 13] ; [80 28],[33.75324675 12.24675325] ; [79.24675325 28.75324675],0
v3,1,0.774252,0.082265,[13 33] ; [26 74],[12.28767123 33.71232877] ; [26.71232877 73.28767123],0
p9,1,0.828417,0.046973,[30 14] ; [71 36],[29.43046358 14.56953642] ; [71.56953642 35.43046358],0
p8,1,0.89067,0.018894,[15 31] ; [34 74],[14.63636364 31.36363636] ; [34.36363636 73.63636364],0
s5,1,0.9162,0.011072,[10 34] ; [24 78],[10.24657534 33.75342466] ; [23.75342466 78.24657534],0
a7,1,0.92041,0.009983,[32 14] ; [76 32],[32.25974026 13.74025974] ; [75.74025974 32.25974026],0
p12,1,0.921033,0.009827,[ 1 46] ; [  2 104],[ 0.92156863 46.07843137] ; [  2.07843137 103.92156863],0
n6,1,0.970704,0.001349,[28 19] ; [64 44],[27.89677419 19.10322581] ; [64.10322581 43.89677419],0
