Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.037523,[100  21] ; [ 5 22],[85.84459459 35.15540541] ; [19.15540541  7.84459459],1
r3,1,3.6e-05,17.089876,[105  16] ; [14 13],[97.29054054 23.70945946] ; [21.70945946  5.29054054],1
v4,1,0.000107,15.000579,[105  15] ; [15 12],[97.95918367 22.04081633] ; [22.04081633  4.95918367],1
r1,1,0.001232,10.441941,[77 44] ; [ 8 19],[69.49324324 51.50675676] ; [15.50675676 11.49324324],0
a3,1,0.002883,8.880333,[74 47] ; [ 8 19],[67.04054054 53.95945946] ; [14.95945946 12.04054054],0
u3,1,0.008374,6.951778,[21 26] ; [ 2 17],[16.37878788 30.62121212] ; [ 6.62121212 12.37878788],0
a4,1,0.008923,6.838079,[50 70] ; [ 4 23],[44.08163265 75.91836735] ; [ 9.91836735 17.08163265],0
a5,1,0.011119,6.446189,[77 44] ; [10 17],[71.12837838 49.87162162] ; [15.87162162 11.12837838],0
d5,1,0.014289,6.00213,[80 41] ; [11 16],[74.39864865 46.60135135] ; [16.60135135 10.39864865],0
d1,1,0.014961,5.921097,[53 68] ; [ 5 22],[47.41891892 73.58108108] ; [10.58108108 16.41891892],0
p10,1,0.017809,5.614854,[77 44] ; [10 16],[71.6122449 49.3877551] ; [15.3877551 10.6122449],0
p11,1,0.022086,5.238958,[86 35] ; [13 14],[80.93918919 40.06081081] ; [18.06081081  8.93918919],0
p6,1,0.025576,4.984487,[40 79] ; [ 3 23],[35.28965517 83.71034483] ; [ 7.71034483 18.28965517],0
d2,1,0.037761,4.315764,[57 62] ; [ 7 20],[52.16438356 66.83561644] ; [11.83561644 15.16438356],0
s5,1,0.03912,4.255634,[35 79] ; [ 3 24],[30.72340426 83.27659574] ; [ 7.27659574 19.72340426],0
b1,1,0.046216,3.973699,[55 66] ; [18  9],[59.68243243 61.31756757] ; [13.31756757 13.68243243],0
p9,1,0.098777,2.725172,[83 37] ; [13 12],[79.44827586 40.55172414] ; [16.55172414  8.44827586],0
d4,1,0.103279,2.654167,[78 42] ; [13 14],[74.28571429 45.71428571] ; [16.71428571 10.28571429],0
v2,1,0.103894,2.644725,[36 79] ; [ 4 22],[32.62411348 82.37588652] ; [ 7.37588652 18.62411348],0
s7,1,0.128517,2.310333,[50 66] ; [ 6 17],[46.73381295 69.26618705] ; [ 9.26618705 13.73381295],0
b5,1,0.131161,2.278704,[48 73] ; [15 12],[51.50675676 69.49324324] ; [11.49324324 15.50675676],0
s3,1,0.178542,1.80972,[58 60] ; [ 9 17],[54.90277778 63.09722222] ; [12.09722222 13.90277778],0
b4,1,0.192938,1.695039,[64 57] ; [18  9],[67.04054054 53.95945946] ; [14.95945946 12.04054054],0
p7,1,0.207179,1.591032,[65 55] ; [11 16],[62.04081633 57.95918367] ; [13.95918367 13.04081633],0
p8,1,0.21769,1.519532,[51 69] ; [ 8 19],[48.16326531 71.83673469] ; [10.83673469 16.16326531],0
s6,1,0.219401,1.508286,[63 54] ; [11 16],[60.125 56.875] ; [13.875 13.125],0
n6,1,0.227549,1.45612,[94 27] ; [18  9],[91.56756757 29.43243243] ; [20.43243243  6.56756757],0
p3,1,0.229627,1.443169,[51 70] ; [ 8 19],[48.23648649 72.76351351] ; [10.76351351 16.23648649],0
n3,1,0.33868,0.915421,[27 17] ; [5 6],[25.6 18.4] ; [6.4 4.6],0
p1,1,0.372876,0.794059,[ 11 110] ; [ 4 23],[ 12.26351351 108.73648649] ; [ 2.73648649 24.26351351],0
s2,1,0.394434,0.72523,[41 78] ; [ 7 20],[39.12328767 79.87671233] ; [ 8.87671233 18.12328767],0
n2,1,0.395063,0.723302,[32 15] ; [6 5],[30.79310345 16.20689655] ; [7.20689655 3.79310345],0
a8,1,0.499254,0.456522,[  9 106] ; [ 3 22],[  9.85714286 105.14285714] ; [ 2.14285714 22.85714286],0
a6,1,0.520361,0.413178,[53 68] ; [10 17],[51.50675676 69.49324324] ; [11.49324324 15.50675676],0
s8,1,0.522111,0.409722,[39 82] ; [ 7 20],[37.60810811 83.39189189] ; [ 8.39189189 18.60810811],0
p5,1,0.527234,0.399719,[  9 112] ; [ 3 24],[  9.81081081 111.18918919] ; [ 2.18918919 24.81081081],0
b3,1,0.560882,0.338179,[23 46] ; [ 5 14],[21.95454545 47.04545455] ; [ 6.04545455 12.95454545],0
b2,1,0.560882,0.338179,[23 46] ; [ 5 14],[21.95454545 47.04545455] ; [ 6.04545455 12.95454545],0
p4,1,0.605633,0.266584,[55 64] ; [11 16],[53.79452055 65.20547945] ; [12.20547945 14.79452055],0
s1,1,0.618323,0.248231,[  6 114] ; [ 2 25],[  6.53061224 113.46938776] ; [ 1.46938776 25.53061224],0
n1,1,0.635034,0.225296,[16 30] ; [3 8],[15.33333333 30.66666667] ; [3.66666667 7.33333333],0
v3,1,0.643369,0.214363,[26 89] ; [ 5 22],[25.1056338 89.8943662] ; [ 5.8943662 21.1056338],0
p12,1,0.659401,0.194252,[  7 113] ; [ 1 26],[  6.53061224 113.46938776] ; [ 1.46938776 25.53061224],0
n4,1,0.714531,0.133793,[85 36] ; [18  9],[84.20945946 36.79054054] ; [18.79054054  8.20945946],0
d3,1,0.739961,0.110161,[49 72] ; [10 17],[48.23648649 72.76351351] ; [10.76351351 16.23648649],0
s4,1,0.787433,0.072709,[25 95] ; [ 5 22],[24.48979592 95.51020408] ; [ 5.51020408 21.48979592],0
u2,1,0.846945,0.037256,[23 23] ; [ 9 10],[22.64615385 23.35384615] ; [9.35384615 9.64615385],0
n5,1,0.902412,0.015034,[83 37] ; [19  8],[83.26530612 36.73469388] ; [18.73469388  8.26530612],0
p2,1,0.934185,0.00682,[79 41] ; [18  9],[79.18367347 40.81632653] ; [17.81632653  9.18367347],0
