Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.2e-05,19.112658,[206  85] ; [18 29],[192.85207101  98.14792899] ; [31.14792899 15.85207101],1
p8,1,8.6e-05,15.431235,[166 122] ; [13 35],[153.42857143 134.57142857] ; [25.57142857 22.42857143],1
p7,1,0.002327,9.27148,[193  88] ; [21 25],[183.89602446  97.10397554] ; [30.10397554 15.89602446],0
p10,1,0.022751,5.187405,[257  32] ; [37 11],[252.12462908  36.87537092] ; [41.87537092  6.12462908],0
p11,1,0.03106,4.649647,[230  62] ; [31 17],[224.15294118  67.84705882] ; [36.84705882 11.15294118],0
p3,1,0.046282,3.971308,[157 134] ; [18 29],[150.66568047 140.33431953] ; [24.33431953 22.66568047],0
d5,1,0.052344,3.764748,[249  43] ; [34 12],[244.4852071  47.5147929] ; [38.5147929  7.4852071],0
s1,1,0.068476,3.319189,[ 12 275] ; [ 5 43],[ 14.5641791 272.4358209] ; [ 2.4358209 45.5641791],0
n6,1,0.074693,3.176763,[254  34] ; [37 10],[250.17313433  37.82686567] ; [40.82686567  6.17313433],0
p9,1,0.094258,2.80011,[261  26] ; [39  8],[257.78443114  29.21556886] ; [42.21556886  4.78443114],0
b5,1,0.131566,2.273923,[193  99] ; [37 11],[197.52941176  94.47058824] ; [32.47058824 15.52941176],0
p5,1,0.172376,1.862157,[ 40 251] ; [ 3 43],[ 37.1305638 253.8694362] ; [ 5.8694362 40.1305638],0
r2,1,0.178496,1.810101,[284   4] ; [46  2],[282.85714286   5.14285714] ; [47.14285714  0.85714286],0
d4,1,0.181293,1.786994,[261  31] ; [38  8],[258.30769231  33.69230769] ; [40.69230769  5.30769231],0
r4,1,0.187897,1.734032,[276  16] ; [43  5],[273.96470588  18.03529412] ; [45.03529412  2.96470588],0
s8,1,0.190366,1.714784,[172 119] ; [23 24],[167.88461538 123.11538462] ; [27.11538462 19.88461538],0
u4,1,0.202737,1.622544,[  8 284] ; [ 3 45],[  9.44705882 282.55294118] ; [ 1.55294118 46.44705882],0
p6,1,0.250175,1.322323,[128 161] ; [17 31],[124.34718101 164.65281899] ; [20.65281899 27.34718101],0
a3,1,0.250599,1.319963,[217  74] ; [32 16],[213.74336283  77.25663717] ; [35.25663717 12.74336283],0
r1,1,0.263137,1.252176,[247  42] ; [38 10],[244.40652819  44.59347181] ; [40.59347181  7.40652819],0
s3,1,0.276457,1.184424,[256  33] ; [39  8],[253.73511905  35.26488095] ; [41.26488095  5.73511905],0
b1,1,0.278776,1.173049,[104 188] ; [21 27],[107.35294118 184.64705882] ; [17.64705882 30.35294118],0
a5,1,0.293741,1.102397,[227  65] ; [34 14],[224.15294118  67.84705882] ; [36.84705882 11.15294118],0
a6,1,0.299263,1.077475,[223  68] ; [32 14],[220.19287834  70.80712166] ; [34.80712166 11.19287834],0
d1,1,0.357064,0.848193,[202  90] ; [30 18],[199.24705882  92.75294118] ; [32.75294118 15.24705882],0
d3,1,0.362724,0.828439,[233  59] ; [34 12],[230.66272189  61.33727811] ; [36.33727811  9.66272189],0
v4,1,0.375853,0.784222,[284   6] ; [46  2],[283.13609467   6.86390533] ; [46.86390533  1.13609467],0
a2,1,0.39973,0.709139,[ 97 195] ; [13 35],[ 94.47058824 197.52941176] ; [15.52941176 32.47058824],0
n3,1,0.421274,0.646757,[40 10] ; [12  5],[38.80597015 11.19402985] ; [13.19402985  3.80597015],0
s6,1,0.43376,0.612735,[251  36] ; [40  8],[249.30447761  37.69552239] ; [41.69552239  6.30447761],0
s5,1,0.456118,0.555403,[134 144] ; [19 26],[131.68421053 146.31578947] ; [21.31578947 23.68421053],0
b2,1,0.556161,0.346394,[ 63 103] ; [ 9 19],[ 61.60824742 104.39175258] ; [10.39175258 17.60824742],0
b3,1,0.556161,0.346394,[ 63 103] ; [ 9 19],[ 61.60824742 104.39175258] ; [10.39175258 17.60824742],0
s7,1,0.557934,0.343293,[192  90] ; [28 16],[190.30674847  91.69325153] ; [29.69325153 14.30674847],0
u3,1,0.565685,0.329956,[51 22] ; [10  6],[50.03370787 22.96629213] ; [10.96629213  5.03370787],0
a1,1,0.585668,0.29716,[ 13 279] ; [ 3 45],[ 13.74117647 278.25882353] ; [ 2.25882353 45.74117647],0
n4,1,0.604362,0.268468,[228  63] ; [36 12],[226.61946903  64.38053097] ; [37.38053097 10.61946903],0
a4,1,0.620182,0.245612,[139 153] ; [21 27],[137.41176471 154.58823529] ; [22.58823529 25.41176471],0
n5,1,0.621531,0.243722,[226  63] ; [36 12],[224.68249258  64.31750742] ; [37.31750742 10.68249258],0
v1,1,0.625732,0.237894,[158 124] ; [24 22],[156.47560976 125.52439024] ; [25.52439024 20.47560976],0
v3,1,0.634404,0.226136,[113 167] ; [19 24],[114.42724458 165.57275542] ; [17.57275542 25.42724458],0
d2,1,0.680564,0.169492,[155 136] ; [26 20],[156.29376855 134.70623145] ; [24.70623145 21.29376855],0
r3,1,0.696707,0.15192,[280   9] ; [47  1],[280.42433234   8.57566766] ; [46.57566766  1.42433234],0
u1,1,0.722811,0.125815,[ 78 214] ; [14 34],[ 79.01176471 212.98823529] ; [12.98823529 35.01176471],0
p12,1,0.754437,0.097841,[ 35 257] ; [ 5 43],[ 34.35294118 257.64705882] ; [ 5.64705882 42.35294118],0
a8,1,0.767296,0.087565,[ 45 220] ; [ 7 39],[ 44.30868167 220.69131833] ; [ 7.69131833 38.30868167],0
b4,1,0.76992,0.085544,[176 116] ; [30 18],[176.91764706 115.08235294] ; [29.08235294 18.91764706],0
s4,1,0.802577,0.062506,[ 67 220] ; [12 36],[ 67.68059701 219.31940299] ; [11.31940299 36.68059701],0
n2,1,0.832163,0.044914,[40 10] ; [14  3],[40.29850746  9.70149254] ; [13.70149254  3.29850746],0
u2,1,0.917801,0.010651,[44 28] ; [10  6],[44.18181818 27.81818182] ; [9.81818182 6.18181818],0
n1,1,0.922663,0.009425,[17 33] ; [ 6 11],[17.1641791 32.8358209] ; [ 5.8358209 11.1641791],0
v2,1,0.94925,0.004051,[166 113] ; [27 18],[166.19444444 112.80555556] ; [26.80555556 18.19444444],0
p1,1,0.987927,0.000229,[ 30 260] ; [ 5 43],[ 30.0295858 259.9704142] ; [ 4.9704142 43.0295858],0
