Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000225,13.611078,[59 12] ; [ 9 12],[52.47826087 18.52173913] ; [15.52173913  5.47826087],1
p10,1,0.000279,13.206349,[60 10] ; [10 11],[53.84615385 16.15384615] ; [16.15384615  4.84615385],1
p9,1,0.00573,7.633441,[59 13] ; [11 10],[54.19354839 17.80645161] ; [15.80645161  5.19354839],0
s7,1,0.022571,5.201188,[34 31] ; [ 5 16],[29.47674419 35.52325581] ; [ 9.52325581 11.47674419],0
b5,1,0.025446,4.993256,[35 37] ; [16  5],[39.48387097 32.51612903] ; [11.51612903  9.48387097],0
d5,1,0.073107,3.211841,[40 32] ; [ 7 14],[36.38709677 35.61290323] ; [10.61290323 10.38709677],0
p11,1,0.083781,2.989985,[55 17] ; [12  9],[51.87096774 20.12903226] ; [15.12903226  5.87096774],0
b4,1,0.092928,2.822907,[33 39] ; [14  7],[36.38709677 35.61290323] ; [10.61290323 10.38709677],0
p5,1,0.128906,2.305634,[13 58] ; [ 1 20],[10.80434783 60.19565217] ; [ 3.19565217 17.80434783],0
s6,1,0.13212,2.267421,[44 25] ; [ 9 11],[41.08988764 27.91011236] ; [11.91011236  8.08988764],0
n6,1,0.165487,1.923361,[61 11] ; [15  6],[58.83870968 13.16129032] ; [17.16129032  3.83870968],0
s8,1,0.192924,1.695147,[32 40] ; [ 6 15],[29.41935484 42.58064516] ; [ 8.58064516 12.41935484],0
u2,1,0.224087,1.478006,[15 16] ; [3 8],[13.28571429 17.71428571] ; [4.71428571 6.28571429],0
b3,1,0.262874,1.253558,[14 34] ; [ 2 12],[12.38709677 35.61290323] ; [ 3.61290323 10.38709677],0
b2,1,0.262874,1.253558,[14 34] ; [ 2 12],[12.38709677 35.61290323] ; [ 3.61290323 10.38709677],0
p3,1,0.303546,1.058548,[46 25] ; [11 10],[43.98913043 27.01086957] ; [13.01086957  7.98913043],0
v2,1,0.337863,0.918524,[35 35] ; [ 8 13],[33.07692308 36.92307692] ; [ 9.92307692 11.07692308],0
a4,1,0.340641,0.908018,[21 50] ; [ 4 17],[19.29347826 51.70652174] ; [ 5.70652174 15.29347826],0
p2,1,0.362039,0.830806,[61 11] ; [16  5],[59.61290323 12.38709677] ; [17.38709677  3.61290323],0
r2,1,0.377999,0.7772,[63  8] ; [20  1],[64.05434783  6.94565217] ; [18.94565217  2.05434783],0
r1,1,0.385145,0.754216,[51 20] ; [13  8],[49.39130435 21.60869565] ; [14.60869565  6.39130435],0
p6,1,0.425183,0.635945,[31 41] ; [ 7 14],[29.41935484 42.58064516] ; [ 8.58064516 12.41935484],0
v3,1,0.427333,0.630061,[27 44] ; [ 6 15],[25.4673913 45.5326087] ; [ 7.5326087 13.4673913],0
