Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,7.2e-05,15.746962,[28 33] ; [42  9],[38.125 22.875] ; [31.875 19.125],1
p3,1,0.000186,13.968254,[10 50] ; [25 25],[19.09090909 40.90909091] ; [15.90909091 34.09090909],1
p8,1,0.000753,11.354754,[13 48] ; [26 24],[21.43243243 39.56756757] ; [17.56756757 32.43243243],1
n6,1,0.011301,6.417377,[35 26] ; [40 10],[41.21621622 19.78378378] ; [33.78378378 16.21621622],0
s3,1,0.024418,5.064702,[20 41] ; [27 23],[25.82882883 35.17117117] ; [21.17117117 28.82882883],0
u1,1,0.027934,4.832139,[ 6 55] ; [13 38],[10.34821429 50.65178571] ; [ 8.65178571 42.34821429],0
p11,1,0.036875,4.356156,[25 36] ; [31 20],[30.5 30.5] ; [25.5 25.5],0
s6,1,0.050252,3.833044,[24 37] ; [29 21],[29.12612613 31.87387387] ; [23.87387387 26.12612613],0
s4,1,0.063612,3.440627,[ 5 56] ; [10 39],[ 8.31818182 52.68181818] ; [ 6.68181818 42.31818182],0
a3,1,0.068372,3.321668,[44 16] ; [29 22],[39.45945946 20.54054054] ; [33.54054054 17.45945946],0
r2,1,0.083722,2.991128,[51 10] ; [48  3],[53.91964286  7.08035714] ; [45.08035714  5.91964286],0
p1,1,0.086931,2.930311,[ 2 58] ; [ 6 45],[ 4.32432432 55.67567568] ; [ 3.67567568 47.32432432],0
p7,1,0.106388,2.607079,[22 38] ; [26 24],[26.18181818 33.81818182] ; [21.81818182 28.18181818],0
s2,1,0.109572,2.560389,[15 46] ; [19 30],[18.85454545 42.14545455] ; [15.14545455 33.85454545],0
s7,1,0.110279,2.550222,[13 42] ; [19 31],[16.76190476 38.23809524] ; [15.23809524 34.76190476],0
u2,1,0.111126,2.538131,[10  6] ; [ 8 14],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
s8,1,0.13943,2.184234,[10 51] ; [14 36],[13.18918919 47.81081081] ; [10.81081081 39.18918919],0
r4,1,0.143883,2.135935,[43 18] ; [42  9],[46.29464286 14.70535714] ; [38.70535714 12.29464286],0
d3,1,0.150737,2.06478,[39 22] ; [39 12],[42.48214286 18.51785714] ; [35.51785714 15.48214286],0
a5,1,0.162464,1.951143,[34 27] ; [35 16],[37.58035714 23.41964286] ; [31.41964286 19.58035714],0
d5,1,0.17567,1.833884,[45 16] ; [43  8],[47.92857143 13.07142857] ; [40.07142857 10.92857143],0
