Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,20.029357,[ 8 17] ; [79 22],[17.26190476  7.73809524] ; [69.73809524 31.26190476],1
r3,1,2e-05,18.235827,[13 12] ; [89 11],[20.4  4.6] ; [81.6 18.4],1
p2,1,0.000393,12.56716,[ 8 17] ; [71 30],[15.67460317  9.32539683] ; [63.32539683 37.67460317],1
p9,1,0.000616,11.727073,[ 9 15] ; [72 25],[16.0661157  7.9338843] ; [64.9338843 32.0661157],1
r1,1,0.000708,11.469218,[ 7 18] ; [66 35],[14.48412698 10.51587302] ; [58.51587302 42.48412698],1
u3,1,0.001753,9.791765,[ 2 11] ; [39 23],[7.10666667 5.89333333] ; [33.89333333 28.10666667],0
p10,1,0.00182,9.722573,[ 7 17] ; [63 35],[13.7704918 10.2295082] ; [56.2295082 41.7704918],0
a7,1,0.003256,8.658009,[ 9 16] ; [68 32],[15.4  9.6] ; [61.6 38.4],0
n6,1,0.003776,8.388356,[12 13] ; [78 23],[17.85714286  7.14285714] ; [72.14285714 28.85714286],0
p4,1,0.00556,7.687797,[ 2 23] ; [37 64],[ 7.73809524 17.26190476] ; [31.26190476 69.73809524],0
u2,1,0.005972,7.558638,[ 2 11] ; [35 26],[6.5 6.5] ; [30.5 30.5],0
b5,1,0.007247,7.210693,[11 14] ; [73 28],[16.66666667  8.33333333] ; [67.33333333 33.66666667],0
r2,1,0.015911,5.812732,[16  9] ; [86 15],[20.23809524  4.76190476] ; [81.76190476 19.23809524],0
s6,1,0.031555,4.622496,[ 7 18] ; [52 48],[11.8 13.2] ; [47.2 52.8],0
d2,1,0.036236,4.385965,[10 15] ; [20 80],[ 6. 19.] ; [24. 76.],0
v1,1,0.045459,4.001524,[ 4 21] ; [37 63],[ 8.2 16.8] ; [32.8 67.2],0
p3,1,0.04635,3.968823,[ 2 23] ; [27 74],[ 5.75396825 19.24603175] ; [23.24603175 77.75396825],0
s8,1,0.059399,3.554074,[ 3 22] ; [31 70],[ 6.74603175 18.25396825] ; [27.25396825 73.74603175],0
n3,1,0.08933,2.886409,[3 5] ; [25 11],[5.09090909 2.90909091] ; [22.90909091 13.09090909],0
