Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,9.1e-05,15.313283,[106   9] ; [35 16],[97.68072289 17.31927711] ; [43.31927711  7.68072289],1
p8,1,0.000106,15.02823,[57 58] ; [ 9 42],[45.72289157 69.27710843] ; [20.27710843 30.72289157],1
p9,1,0.000265,13.301606,[80 34] ; [19 29],[69.66666667 44.33333333] ; [29.33333333 18.66666667],1
p4,1,0.000438,12.361584,[52 63] ; [ 8 41],[42.07317073 72.92682927] ; [17.92682927 31.07317073],1
p7,1,0.001216,10.465436,[63 49] ; [14 35],[53.56521739 58.43478261] ; [23.43478261 25.56521739],0
r3,1,0.001283,10.367184,[103  11] ; [36 15],[96.03636364 17.96363636] ; [42.96363636  8.03636364],0
s1,1,0.001436,10.158445,[  2 113] ; [ 7 43],[  6.27272727 108.72727273] ; [ 2.72727273 47.27272727],0
s3,1,0.002451,9.176654,[62 52] ; [14 35],[53.15337423 60.84662577] ; [22.84662577 26.15337423],0
p11,1,0.00345,8.552754,[84 32] ; [25 26],[75.71257485 40.28742515] ; [33.28742515 17.71257485],0
p10,1,0.005292,7.776982,[74 41] ; [20 29],[65.91463415 49.08536585] ; [28.08536585 20.91463415],0
a7,1,0.006415,7.429799,[79 35] ; [24 27],[71.16363636 42.83636364] ; [31.83636364 19.16363636],0
s2,1,0.019577,5.449223,[50 66] ; [12 38],[43.3253012 72.6746988] ; [18.6746988 31.3253012],0
s8,1,0.024058,5.090432,[35 81] ; [ 7 44],[29.17365269 86.82634731] ; [12.82634731 38.17365269],0
b1,1,0.024128,5.085443,[42 74] ; [28 23],[48.62275449 67.37724551] ; [21.37724551 29.62275449],0
s7,1,0.035723,4.410295,[39 73] ; [ 9 40],[33.39130435 78.60869565] ; [14.60869565 34.39130435],0
p3,1,0.045494,4.000223,[38 78] ; [ 9 42],[32.64670659 83.35329341] ; [14.35329341 36.64670659],0
n6,1,0.062544,3.468615,[89 27] ; [32 19],[84.04790419 31.95209581] ; [36.95209581 14.04790419],0
r4,1,0.082552,3.013926,[88 28] ; [32 19],[83.35329341 32.64670659] ; [36.64670659 14.35329341],0
d3,1,0.098875,2.723593,[65 49] ; [22 29],[60.10909091 53.89090909] ; [26.89090909 24.10909091],0
s6,1,0.10505,2.627156,[58 56] ; [19 32],[53.2 60.8] ; [23.8 27.2],0
p6,1,0.119873,2.418973,[34 81] ; [ 9 41],[29.96969697 85.03030303] ; [13.03030303 36.96969697],0
a6,1,0.136148,2.220969,[60 56] ; [20 31],[55.56886228 60.43113772] ; [24.43113772 26.56886228],0
s5,1,0.142045,2.155669,[25 88] ; [ 6 43],[21.62345679 91.37654321] ; [ 9.37654321 39.62345679],0
a1,1,0.146436,2.108985,[  2 114] ; [ 3 48],[  3.47305389 112.52694611] ; [ 1.52694611 49.47305389],0
p12,1,0.149618,2.07614,[  2 113] ; [ 3 48],[  3.46385542 111.53614458] ; [ 1.53614458 49.46385542],0
n1,1,0.158225,1.991111,[ 8 28] ; [ 8 12],[10.28571429 25.71428571] ; [ 5.71428571 14.28571429],0
d5,1,0.194427,1.683751,[71 44] ; [26 25],[67.19879518 47.80120482] ; [29.80120482 21.19879518],0
a4,1,0.323756,0.973714,[18 98] ; [ 5 46],[ 15.9760479 100.0239521] ; [ 7.0239521 43.9760479],0
b4,1,0.338627,0.915622,[75 41] ; [29 22],[72.23952096 43.76047904] ; [31.76047904 19.23952096],0
