Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,107.952252,[ 2 55] ; [273  95],[36.88235294 20.11764706] ; [238.11764706 129.88235294],1
d5,1,0.0,84.777771,[25 32] ; [335  33],[48.28235294  8.71764706] ; [311.71764706  56.28235294],1
d3,1,0.0,41.116187,[21 36] ; [286  82],[41.17411765 15.82588235] ; [265.82588235 102.17411765],1
d2,1,0.0,25.403969,[13 44] ; [215 152],[30.6509434 26.3490566] ; [197.3490566 169.6509434],1
a4,1,4e-06,21.208099,[11 46] ; [191 176],[27.15566038 29.84433962] ; [174.84433962 192.15566038],1
a3,1,0.000203,13.799101,[33 24] ; [294  73],[43.95990566 13.04009434] ; [283.04009434  83.95990566],1
u1,1,0.000608,11.750287,[ 3 54] ; [ 95 273],[13.14352941 43.85647059] ; [ 84.85647059 283.14352941],1
a2,1,0.000656,11.609308,[ 5 52] ; [112 256],[15.69176471 41.30823529] ; [101.30823529 266.69176471],1
a5,1,0.0097,6.689099,[39 18] ; [305  63],[46.13647059 10.86352941] ; [297.86352941  70.13647059],0
s2,1,0.040173,4.210546,[22 33] ; [199 164],[29.07894737 25.92105263] ; [191.92105263 171.07894737],0
p1,1,0.06592,3.381803,[ 8 48] ; [ 26 340],[ 4.51184834 51.48815166] ; [ 29.48815166 336.51184834],0
u3,1,0.158788,1.985731,[11 13] ; [46 28],[13.95918367 10.04081633] ; [43.04081633 30.95918367],0
n3,1,0.165599,1.922341,[11  1] ; [46 17],[9.12 2.88] ; [47.88 15.12],0
s3,1,0.171628,1.868664,[26 29] ; [205 154],[30.6884058 24.3115942] ; [200.3115942 158.6884058],0
a8,1,0.176586,1.826127,[ 5 48] ; [ 54 269],[ 8.31648936 44.68351064] ; [ 50.68351064 272.31648936],0
n2,1,0.187813,1.734689,[11  1] ; [46 16],[9.24324324 2.75675676] ; [47.75675676 14.24324324],0
s8,1,0.206487,1.595888,[23 33] ; [182 181],[27.39856802 28.60143198] ; [177.60143198 185.39856802],0
s4,1,0.233657,1.418461,[ 5 51] ; [ 54 309],[ 7.88544153 48.11455847] ; [ 51.11455847 311.88544153],0
u2,1,0.286215,1.137341,[11 13] ; [42 30],[13.25 10.75] ; [39.75 32.25],0
v1,1,0.294038,1.101039,[33 23] ; [238 122],[36.48076923 19.51923077] ; [234.51923077 125.48076923],0
r4,1,0.352488,0.86448,[56  1] ; [352  16],[54.72  2.28] ; [353.28  14.72],0
b4,1,0.417611,0.657027,[31 26] ; [221 147],[33.79764706 23.20235294] ; [218.20235294 149.79764706],0
b2,1,0.420515,0.648876,[12 25] ; [ 89 137],[14.20912548 22.79087452] ; [ 86.79087452 139.20912548],0
b3,1,0.420515,0.648876,[12 25] ; [ 89 137],[14.20912548 22.79087452] ; [ 86.79087452 139.20912548],0
p6,1,0.427864,0.628615,[24 32] ; [134 225],[21.32048193 34.67951807] ; [136.67951807 222.32048193],0
s7,1,0.429685,0.623674,[26 27] ; [192 158],[28.66997519 24.33002481] ; [189.33002481 160.66997519],0
s5,1,0.433936,0.612266,[18 38] ; [133 221],[20.62439024 35.37560976] ; [130.37560976 223.62439024],0
v3,1,0.449352,0.572285,[35 22] ; [199 156],[32.37378641 24.62621359] ; [201.62621359 153.37378641],0
p11,1,0.471163,0.519247,[48  9] ; [295  73],[46.00235294 10.99764706] ; [296.99764706  71.00235294],0
a7,1,0.489275,0.478121,[46 11] ; [281  86],[43.95990566 13.04009434] ; [283.04009434  83.95990566],0
p4,1,0.506519,0.441251,[33 23] ; [230 132],[35.23444976 20.76555024] ; [227.76555024 134.23444976],0
p10,1,0.54267,0.370614,[46 10] ; [307  53],[47.51923077  8.48076923] ; [305.48076923  54.51923077],0
a6,1,0.554955,0.348514,[39 18] ; [265 102],[40.86792453 16.13207547] ; [263.13207547 103.86792453],0
n1,1,0.578254,0.309066,[5 7] ; [21 42],[4.16 7.84] ; [21.84 41.16],0
b1,1,0.635542,0.22462,[18 39] ; [128 240],[19.58117647 37.41882353] ; [126.41882353 241.58117647],0
p3,1,0.642559,0.215411,[32 24] ; [197 169],[30.38862559 25.61137441] ; [198.61137441 167.38862559],0
r2,1,0.660162,0.193327,[56  1] ; [353  10],[55.50714286  1.49285714] ; [353.49285714   9.50714286],0
n4,1,0.660195,0.193287,[44 13] ; [291  74],[45.24881517 11.75118483] ; [289.75118483  75.24881517],0
s6,1,0.663162,0.189705,[37 19] ; [249 112],[38.40767386 17.59232614] ; [247.59232614 113.40767386],0
p7,1,0.700661,0.147785,[37 19] ; [243 111],[38.24390244 17.75609756] ; [241.75609756 112.24390244],0
n6,1,0.713373,0.134931,[50  7] ; [311  51],[49.1097852  7.8902148] ; [311.8902148  50.1097852],0
b5,1,0.715743,0.132608,[32 25] ; [216 152],[33.26117647 23.73882353] ; [214.73882353 153.26117647],0
p12,1,0.76465,0.089628,[ 5 51] ; [ 37 325],[ 5.62679426 50.37320574] ; [ 36.37320574 325.62679426],0
p5,1,0.781169,0.07717,[ 7 49] ; [ 41 324],[ 6.3847981 49.6152019] ; [ 41.6152019 323.3847981],0
p2,1,0.888206,0.019761,[47  9] ; [309  56],[47.35391924  8.64608076] ; [308.64608076  56.35391924],0
p8,1,0.888698,0.019586,[32 24] ; [201 157],[31.51690821 24.48309179] ; [201.48309179 156.51690821],0
p9,1,0.896674,0.016865,[49  7] ; [311  47],[48.69565217  7.30434783] ; [311.30434783  46.69565217],0
n5,1,0.929175,0.0079,[43 13] ; [276  86],[42.73684211 13.26315789] ; [276.26315789  85.73684211],0
r3,1,0.930881,0.007523,[56  1] ; [357   7],[55.91686461  1.08313539] ; [357.08313539   6.91686461],0
v4,1,0.984003,0.000402,[55  2] ; [352  13],[54.97393365  2.02606635] ; [352.02606635  12.97393365],0
