Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.004434,8.096975,[36 67] ; [16  8],[42.17322835 60.82677165] ; [ 9.82677165 14.17322835],0
v2,1,0.012011,6.309316,[52 45] ; [ 6 18],[46.49586777 50.50413223] ; [11.50413223 12.49586777],0
s5,1,0.021661,5.272797,[21 81] ; [10 13],[25.296 76.704] ; [ 5.704 17.296],0
s3,1,0.054598,3.694333,[47 54] ; [17  8],[51.3015873 49.6984127] ; [12.6984127 12.3015873],0
p7,1,0.056546,3.635907,[57 44] ; [20  6],[61.23622047 39.76377953] ; [15.76377953 10.23622047],0
s7,1,0.07811,3.1038,[42 53] ; [16  9],[45.91666667 49.08333333] ; [12.08333333 12.91666667],0
s6,1,0.082133,3.022172,[60 42] ; [18  5],[63.648 38.352] ; [14.352  8.648],0
v3,1,0.102292,2.669446,[38 64] ; [ 5 20],[34.53543307 67.46456693] ; [ 8.46456693 16.53543307],0
d3,1,0.120313,2.413247,[25 77] ; [10 15],[28.11023622 73.88976378] ; [ 6.88976378 18.11023622],0
u1,1,0.259216,1.272938,[  3 100] ; [ 2 24],[ 3.99224806 99.00775194] ; [ 1.00775194 24.99224806],0
a3,1,0.271369,1.209811,[56 47] ; [11 15],[53.49612403 49.50387597] ; [13.50387597 12.49612403],0
a7,1,0.301874,1.065896,[69 34] ; [14 11],[66.7890625 36.2109375] ; [16.2109375  8.7890625],0
p12,1,0.306872,1.044091,[ 6 97] ; [ 3 23],[ 7.18604651 95.81395349] ; [ 1.81395349 24.18604651],0
p8,1,0.314481,1.011763,[51 50] ; [16 10],[53.28346457 47.71653543] ; [13.71653543 12.28346457],0
r3,1,0.333255,0.936207,[92 10] ; [25  1],[93.234375  8.765625] ; [23.765625  2.234375],0
n5,1,0.347965,0.880863,[83 19] ; [19  7],[81.28125 20.71875] ; [20.71875  5.28125],0
b5,1,0.352925,0.862913,[58 45] ; [12 14],[55.89147287 47.10852713] ; [14.10852713 11.89147287],0
p3,1,0.3818,0.764897,[49 53] ; [10 16],[47.015625 54.984375] ; [11.984375 14.015625],0
s1,1,0.382386,0.763016,[ 4 99] ; [ 2 23],[ 4.828125 98.171875] ; [ 1.171875 23.828125],0
a5,1,0.395466,0.722069,[61 42] ; [13 13],[59.08527132 43.91472868] ; [14.91472868 11.08527132],0
p2,1,0.400557,0.706655,[83 20] ; [19  7],[81.44186047 21.55813953] ; [20.55813953  5.44186047],0
n6,1,0.402666,0.700352,[84 19] ; [23  3],[85.43410853 17.56589147] ; [21.56589147  4.43410853],0
v1,1,0.403343,0.698338,[51 48] ; [11 15],[49.104 49.896] ; [12.896 13.104],0
p11,1,0.434026,0.612027,[86 17] ; [20  6],[84.63565891 18.36434109] ; [21.36434109  4.63565891],0
u3,1,0.455334,0.55734,[23 24] ; [9 6],[24.25806452 22.74193548] ; [7.74193548 7.25806452],0
n3,1,0.518992,0.415895,[19  5] ; [8 1],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
p5,1,0.562046,0.336175,[12 91] ; [ 2 24],[11.17829457 91.82170543] ; [ 2.82170543 23.17829457],0
b1,1,0.565852,0.329672,[42 61] ; [ 9 17],[40.72093023 62.27906977] ; [10.27906977 15.72093023],0
d2,1,0.58666,0.29559,[25 78] ; [ 5 21],[23.95348837 79.04651163] ; [ 6.04651163 19.95348837],0
p6,1,0.593879,0.284327,[33 69] ; [ 7 19],[31.875 70.125] ; [ 8.125 17.875],0
p1,1,0.607469,0.263876,[16 87] ; [ 3 23],[15.17054264 87.82945736] ; [ 3.82945736 22.17054264],0
p4,1,0.625287,0.238507,[57 46] ; [13 13],[55.89147287 47.10852713] ; [14.10852713 11.89147287],0
u2,1,0.766808,0.087943,[24 23] ; [7 8],[23.5 23.5] ; [7.5 7.5],0
r4,1,0.800019,0.064172,[85 18] ; [22  4],[85.43410853 17.56589147] ; [21.56589147  4.43410853],0
n4,1,0.824356,0.04926,[73 30] ; [19  7],[73.45736434 29.54263566] ; [18.54263566  7.45736434],0
d1,1,0.827324,0.047583,[ 5 98] ; [ 1 25],[ 4.79069767 98.20930233] ; [ 1.20930233 24.79069767],0
s8,1,0.82973,0.046245,[42 61] ; [10 16],[41.51937984 61.48062016] ; [10.48062016 15.51937984],0
v4,1,0.84258,0.03944,[95  7] ; [23  2],[94.77165354  7.22834646] ; [23.22834646  1.77165354],0
a2,1,0.86456,0.029095,[ 9 94] ; [ 2 24],[ 8.78294574 94.21705426] ; [ 2.21705426 23.78294574],0
r1,1,0.877219,0.023869,[69 33] ; [18  8],[69.328125 32.671875] ; [17.671875  8.328125],0
d5,1,0.891917,0.018463,[51 52] ; [12 13],[50.6953125 52.3046875] ; [12.3046875 12.6953125],0
b4,1,0.894397,0.017621,[50 53] ; [13 13],[50.30232558 52.69767442] ; [12.69767442 13.30232558],0
a4,1,0.935035,0.006644,[23 80] ; [ 6 20],[23.15503876 79.84496124] ; [ 5.84496124 20.15503876],0
a6,1,0.955272,0.003146,[64 39] ; [16 10],[63.87596899 39.12403101] ; [16.12403101  9.87596899],0
n1,1,0.960492,0.002454,[10 13] ; [4 5],[10.0625 12.9375] ; [3.9375 5.0625],0
r2,1,0.979591,0.000654,[94  8] ; [24  2],[94.03125  7.96875] ; [23.96875  2.03125],0
p9,1,0.979591,0.000654,[94  8] ; [24  2],[94.03125  7.96875] ; [23.96875  2.03125],0
