Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.005034,7.867179,[2 1] ; [ 2 24],[0.4137931 2.5862069] ; [ 3.5862069 22.4137931],0
s7,1,0.006129,7.512073,[6 4] ; [10 43],[2.53968254 7.46031746] ; [13.46031746 39.53968254],0
s1,1,0.017079,5.6882,[3 8] ; [ 3 55],[ 0.95652174 10.04347826] ; [ 5.04347826 52.95652174],0
p3,1,0.028721,4.784235,[6 5] ; [13 45],[3.02898551 7.97101449] ; [15.97101449 42.02898551],0
a6,1,0.03181,4.608685,[2 9] ; [31 27],[5.26086957 5.73913043] ; [27.73913043 30.26086957],0
s6,1,0.09353,2.812541,[6 5] ; [16 40],[3.6119403 7.3880597] ; [18.3880597 37.6119403],0
a7,1,0.111373,2.534629,[3 8] ; [31 27],[5.42028986 5.57971014] ; [28.57971014 29.42028986],0
n2,1,0.125661,2.345299,[2 5] ; [13  8],[3.75 3.25] ; [11.25  9.75],0
n4,1,0.133344,2.253135,[5 6] ; [40 18],[7.17391304 3.82608696] ; [37.82608696 20.17391304],0
p4,1,0.189136,1.724338,[5 6] ; [15 43],[3.1884058 7.8115942] ; [16.8115942 41.1884058],0
p7,1,0.189136,1.724338,[5 6] ; [15 43],[3.1884058 7.8115942] ; [16.8115942 41.1884058],0
b1,1,0.199161,1.648514,[8 3] ; [30 28],[6.05797101 4.94202899] ; [31.94202899 26.05797101],0
b4,1,0.208054,1.584917,[5 6] ; [38 20],[6.85507246 4.14492754] ; [36.14492754 21.85507246],0
s5,1,0.208737,1.580163,[3 8] ; [ 7 49],[1.64179104 9.35820896] ; [ 8.35820896 47.64179104],0
v1,1,0.253211,1.305501,[5 6] ; [16 41],[3.39705882 7.60294118] ; [17.60294118 39.39705882],0
a3,1,0.306119,1.047346,[8 3] ; [32 25],[6.47058824 4.52941176] ; [33.52941176 23.47058824],0
v3,1,0.319349,0.991611,[1 9] ; [14 44],[2.20588235 7.79411765] ; [12.79411765 45.20588235],0
d4,1,0.352287,0.865204,[6 5] ; [40 18],[7.33333333 3.66666667] ; [38.66666667 19.33333333],0
r2,1,0.388126,0.744804,[7 3] ; [31 25],[5.75757576 4.24242424] ; [32.24242424 23.75757576],0
s2,1,0.416604,0.659876,[4 7] ; [14 43],[2.91176471 8.08823529] ; [15.08823529 41.91176471],0
s8,1,0.428253,0.627557,[ 1 10] ; [11 47],[1.91304348 9.08695652] ; [10.08695652 47.91304348],0
d2,1,0.446785,0.578796,[6 5] ; [24 33],[4.85294118 6.14705882] ; [25.14705882 31.85294118],0
p1,1,0.456668,0.55405,[2 9] ; [ 6 52],[1.27536232 9.72463768] ; [ 6.72463768 51.27536232],0
p8,1,0.511973,0.430033,[3 7] ; [12 46],[2.20588235 7.79411765] ; [12.79411765 45.20588235],0
r3,1,0.590474,0.289605,[6 5] ; [36 21],[6.79411765 4.20588235] ; [35.20588235 21.79411765],0
s3,1,0.620633,0.244979,[5 6] ; [21 35],[4.26865672 6.73134328] ; [21.73134328 34.26865672],0
d3,1,0.626539,0.236784,[6 5] ; [27 31],[5.26086957 5.73913043] ; [27.73913043 30.26086957],0
d5,1,0.639242,0.219734,[6 5] ; [36 22],[6.69565217 4.30434783] ; [35.30434783 22.69565217],0
d1,1,0.639242,0.219734,[5 6] ; [22 36],[4.30434783 6.69565217] ; [22.69565217 35.30434783],0
n5,1,0.639242,0.219734,[6 5] ; [36 22],[6.69565217 4.30434783] ; [35.30434783 22.69565217],0
p9,1,0.659511,0.194118,[6 5] ; [26 29],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
n3,1,0.744785,0.105965,[4 3] ; [10 10],[3.62962963 3.37037037] ; [10.37037037  9.62962963],0
r1,1,0.756109,0.096469,[4 7] ; [24 34],[4.46376812 6.53623188] ; [23.53623188 34.46376812],0
b5,1,0.782192,0.076432,[5 6] ; [29 29],[5.42028986 5.57971014] ; [28.57971014 29.42028986],0
p10,1,0.787573,0.07261,[5 6] ; [23 33],[4.59701493 6.40298507] ; [23.40298507 32.59701493],0
p2,1,0.801776,0.063026,[5 6] ; [24 34],[4.62318841 6.37681159] ; [24.37681159 33.62318841],0
n6,1,0.823634,0.049672,[6 5] ; [29 28],[5.66176471 5.33823529] ; [29.33823529 27.66176471],0
n1,1,0.826824,0.047863,[3 4] ; [10 11],[3.25 3.75] ; [ 9.75 11.25],0
a4,1,0.84579,0.037828,[4 7] ; [19 38],[3.72058824 7.27941176] ; [19.27941176 37.72058824],0
v2,1,0.889039,0.019466,[4 7] ; [22 35],[4.20588235 6.79411765] ; [21.79411765 35.20588235],0
r4,1,0.891373,0.01865,[3 8] ; [17 41],[3.1884058 7.8115942] ; [16.8115942 41.1884058],0
p6,1,0.959473,0.002582,[2 9] ; [10 47],[1.94117647 9.05882353] ; [10.05882353 46.94117647],0
a5,1,0.969427,0.001469,[6 5] ; [32 26],[6.05797101 4.94202899] ; [31.94202899 26.05797101],0
p11,1,0.969427,0.001469,[5 6] ; [26 32],[4.94202899 6.05797101] ; [26.05797101 31.94202899],0
b2,1,0.972049,0.001228,[3 5] ; [14 24],[2.95652174 5.04347826] ; [14.04347826 23.95652174],0
b3,1,0.972049,0.001228,[3 5] ; [14 24],[2.95652174 5.04347826] ; [14.04347826 23.95652174],0
