Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.8e-05,17.567023,[84 29] ; [16 26],[72.90322581 40.09677419] ; [27.09677419 14.90322581],1
a6,1,7.6e-05,15.652435,[75 38] ; [13 29],[64.15483871 48.84516129] ; [23.84516129 18.15483871],1
r4,1,0.003858,8.349335,[105   8] ; [32 10],[99.87741935 13.12258065] ; [37.12258065  4.87741935],0
a1,1,0.006819,7.319989,[  1 112] ; [ 4 38],[  3.64516129 109.35483871] ; [ 1.35483871 40.64516129],0
p2,1,0.010394,6.566103,[88 25] ; [24 18],[81.6516129 31.3483871] ; [30.3483871 11.6516129],0
u1,1,0.011341,6.411013,[29 84] ; [ 3 39],[23.32903226 89.67096774] ; [ 8.67096774 33.32903226],0
p10,1,0.021252,5.306021,[91 21] ; [26 15],[85.64705882 26.35294118] ; [31.35294118  9.64705882],0
a2,1,0.029132,4.759789,[29 84] ; [ 4 38],[24.05806452 88.94193548] ; [ 8.94193548 33.05806452],0
v4,1,0.033582,4.51586,[108   5] ; [36  6],[104.98064516   8.01935484] ; [39.01935484  2.98064516],0
b1,1,0.055082,3.67959,[40 73] ; [22 20],[45.2 67.8] ; [16.8 25.2],0
r2,1,0.069333,3.298753,[109   3] ; [38  4],[106.90909091   5.09090909] ; [40.09090909  1.90909091],0
s8,1,0.079592,3.073217,[57 55] ; [28 14],[61.81818182 50.18181818] ; [23.18181818 18.81818182],0
p9,1,0.081277,3.039184,[96 14] ; [31 10],[92.51655629 17.48344371] ; [34.48344371  6.51655629],0
a4,1,0.08417,2.98249,[47 66] ; [24 18],[51.76129032 61.23870968] ; [19.23870968 22.76129032],0
n6,1,0.088453,2.902306,[94 19] ; [29 12],[90.25324675 22.74675325] ; [32.74675325  8.25324675],0
r3,1,0.092029,2.838525,[108   5] ; [37  5],[105.70967742   7.29032258] ; [39.29032258  2.70967742],0
b4,1,0.109639,2.559413,[75 38] ; [22 20],[70.71612903 42.28387097] ; [26.28387097 15.71612903],0
s6,1,0.116632,2.461977,[92 20] ; [37  3],[95.05263158 16.94736842] ; [33.94736842  6.05263158],0
n2,1,0.142965,2.145753,[23  5] ; [12  7],[20.85106383  7.14893617] ; [14.14893617  4.85106383],0
b5,1,0.147936,2.093407,[81 32] ; [25 17],[77.27741935 35.72258065] ; [28.72258065 13.27741935],0
s1,1,0.164872,1.928961,[  6 105] ; [ 5 37],[  7.98039216 103.01960784] ; [ 3.01960784 38.98039216],0
p4,1,0.183569,1.768489,[62 51] ; [18 24],[58.32258065 54.67741935] ; [21.67741935 20.32258065],0
a3,1,0.239954,1.380864,[75 38] ; [32 10],[78.00645161 34.99354839] ; [28.99354839 13.00645161],0
n3,1,0.246334,1.343976,[22  6] ; [12  7],[20.25531915  7.74468085] ; [13.74468085  5.25531915],0
v1,1,0.250481,1.320621,[55 51] ; [25 15],[58.08219178 47.91780822] ; [21.91780822 18.08219178],0
r1,1,0.268532,1.224232,[87 25] ; [29 13],[84.36363636 27.63636364] ; [31.63636364 10.36363636],0
p8,1,0.27268,1.203214,[31 81] ; [ 8 34],[28.36363636 83.63636364] ; [10.63636364 31.36363636],0
s3,1,0.311367,1.024867,[97 14] ; [34  8],[95.03921569 15.96078431] ; [35.96078431  6.03921569],0
d5,1,0.320926,0.985171,[94 19] ; [32 10],[91.85806452 21.14193548] ; [34.14193548  7.85806452],0
d4,1,0.368827,0.807613,[98 15] ; [34  8],[96.23225806 16.76774194] ; [35.76774194  6.23225806],0
p3,1,0.440456,0.595094,[43 69] ; [19 23],[45.09090909 66.90909091] ; [16.90909091 25.09090909],0
v3,1,0.464344,0.535403,[42 63] ; [13 26],[40.10416667 64.89583333] ; [14.89583333 24.10416667],0
v2,1,0.468773,0.524866,[58 49] ; [19 21],[56.04761905 50.95238095] ; [20.95238095 19.04761905],0
u2,1,0.486835,0.483515,[23 14] ; [5 5],[22.04255319 14.95744681] ; [5.95744681 4.04255319],0
p5,1,0.495144,0.465328,[  9 102] ; [ 2 39],[  8.03289474 102.96710526] ; [ 2.96710526 38.03289474],0
u4,1,0.557687,0.343724,[  5 108] ; [ 1 41],[  4.37419355 108.62580645] ; [ 1.62580645 40.37419355],0
a8,1,0.571681,0.319878,[11 90] ; [ 3 36],[10.1 90.9] ; [ 3.9 35.1],0
d1,1,0.603917,0.269129,[75 38] ; [26 16],[73.63225806 39.36774194] ; [27.36774194 14.63225806],0
p11,1,0.603917,0.269129,[75 38] ; [26 16],[73.63225806 39.36774194] ; [27.36774194 14.63225806],0
s7,1,0.613859,0.254594,[65 43] ; [24 13],[66.28965517 41.71034483] ; [22.71034483 14.28965517],0
n4,1,0.631499,0.230034,[85 28] ; [30 12],[83.83870968 29.16129032] ; [31.16129032 10.83870968],0
d2,1,0.663622,0.189153,[65 47] ; [26 16],[66.18181818 45.81818182] ; [24.81818182 17.18181818],0
u3,1,0.681519,0.168421,[29  9] ; [7 3],[28.5  9.5] ; [7.5 2.5],0
n5,1,0.697766,0.150807,[79 34] ; [28 14],[78.00645161 34.99354839] ; [28.99354839 13.00645161],0
b2,1,0.713223,0.135079,[20 37] ; [10 22],[19.21348315 37.78651685] ; [10.78651685 21.21348315],0
b3,1,0.713223,0.135079,[20 37] ; [10 22],[19.21348315 37.78651685] ; [10.78651685 21.21348315],0
p1,1,0.725795,0.123008,[ 13 100] ; [ 4 38],[ 12.39354839 100.60645161] ; [ 4.60645161 37.39354839],0
p12,1,0.7596,0.093639,[ 13 100] ; [ 4 37],[ 12.47402597 100.52597403] ; [ 4.52597403 36.47402597],0
p6,1,0.805578,0.060582,[22 90] ; [ 9 33],[22.54545455 89.45454545] ; [ 8.45454545 33.54545455],0
a5,1,0.81309,0.055904,[84 29] ; [32 10],[84.56774194 28.43225806] ; [31.43225806 10.56774194],0
s5,1,0.916445,0.011007,[41 63] ; [15 24],[40.72727273 63.27272727] ; [15.27272727 23.72727273],0
n1,1,0.949472,0.004016,[13 15] ; [ 9 10],[13.10638298 14.89361702] ; [ 8.89361702 10.10638298],0
s4,1,0.960577,0.002443,[28 85] ; [10 31],[27.88311688 85.11688312] ; [10.11688312 30.88311688],0
