Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.5e-05,17.787726,[15 15] ; [71 10],[23.24324324  6.75675676] ; [62.75675676 18.24324324],1
n6,1,0.007226,7.216022,[22  8] ; [74  6],[26.18181818  3.81818182] ; [69.81818182 10.18181818],0
s4,1,0.027234,4.875887,[ 8 22] ; [ 8 72],[ 4.36363636 25.63636364] ; [11.63636364 68.36363636],0
p10,1,0.027234,4.875887,[22  8] ; [72  8],[25.63636364  4.36363636] ; [68.36363636 11.63636364],0
p3,1,0.030105,4.703307,[12 18] ; [51 30],[17.02702703 12.97297297] ; [45.97297297 35.02702703],0
p4,1,0.033137,4.538673,[15 15] ; [58 23],[19.72972973 10.27027027] ; [53.27027027 27.72972973],0
v4,1,0.044389,4.041697,[25  5] ; [77  4],[27.56756757  2.43243243] ; [74.43243243  6.56756757],0
v2,1,0.063314,3.448377,[12 16] ; [51 30],[16.18348624 11.81651376] ; [46.81651376 34.18348624],0
a5,1,0.068131,3.32748,[20 10] ; [67 14],[23.51351351  6.48648649] ; [63.48648649 17.51351351],0
v1,1,0.084546,2.97527,[13 16] ; [50 29],[16.91666667 12.08333333] ; [46.08333333 32.91666667],0
n2,1,0.090969,2.857143,[4 5] ; [16  5],[6. 3.] ; [14.  7.],0
p2,1,0.104034,2.642588,[22  8] ; [70 11],[24.86486486  5.13513514] ; [67.13513514 13.86486486],0
r2,1,0.1357,2.226059,[24  5] ; [74  6],[26.0733945  2.9266055] ; [71.9266055  8.0733945],0
d3,1,0.139223,2.186521,[24  6] ; [53 28],[20.81081081  9.18918919] ; [56.18918919 24.81081081],0
a7,1,0.172286,1.862937,[24  6] ; [54 27],[21.08108108  8.91891892] ; [56.91891892 24.08108108],0
n1,1,0.19319,1.693122,[2 7] ; [10 11],[3.6 5.4] ; [ 8.4 12.6],0
u1,1,0.206399,1.596505,[ 5 25] ; [23 58],[ 7.56756757 22.43243243] ; [20.43243243 60.56756757],0
a2,1,0.206399,1.596505,[ 5 25] ; [23 58],[ 7.56756757 22.43243243] ; [20.43243243 60.56756757],0
a4,1,0.2226,1.487532,[10 20] ; [37 43],[12.81818182 17.18181818] ; [34.18181818 45.81818182],0
s8,1,0.256124,1.28959,[14 16] ; [47 33],[16.63636364 13.36363636] ; [44.36363636 35.63636364],0
n3,1,0.282471,1.155161,[7 2] ; [12  9],[5.7 3.3] ; [13.3  7.7],0
p9,1,0.285687,1.139837,[23  6] ; [70 10],[24.74311927  4.25688073] ; [68.25688073 11.74311927],0
p8,1,0.300533,1.07183,[13 17] ; [43 36],[15.41284404 14.58715596] ; [40.58715596 38.41284404],0
v3,1,0.30073,1.070956,[11 17] ; [41 40],[13.35779817 14.64220183] ; [38.64220183 42.35779817],0
s2,1,0.306342,1.04638,[ 5 25] ; [21 60],[ 7.02702703 22.97297297] ; [18.97297297 62.02702703],0
r1,1,0.319421,0.991317,[21  9] ; [64 17],[22.97297297  7.02702703] ; [62.02702703 18.97297297],0
u2,1,0.346912,0.884722,[6 2] ; [10  8],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
b5,1,0.356994,0.84844,[16 14] ; [51 30],[18.10810811 11.89189189] ; [48.89189189 32.10810811],0
a8,1,0.387637,0.746341,[ 5 22] ; [ 8 60],[ 3.69473684 23.30526316] ; [ 9.30526316 58.69473684],0
b2,1,0.400691,0.706251,[ 8 12] ; [31 30],[ 9.62962963 10.37037037] ; [29.37037037 31.62962963],0
b3,1,0.400691,0.706251,[ 8 12] ; [31 30],[ 9.62962963 10.37037037] ; [29.37037037 31.62962963],0
d4,1,0.434489,0.610794,[26  4] ; [65 16],[24.59459459  5.40540541] ; [66.40540541 14.59459459],0
