Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,26.209022,[58 27] ; [ 56 108],[38.91566265 46.08433735] ; [75.08433735 88.91566265],1
p2,1,9.2e-05,15.292811,[75 12] ; [106  63],[61.51171875 25.48828125] ; [119.48828125  49.51171875],1
p4,1,0.001935,9.610575,[36 51] ; [ 38 129],[25.34645669 61.65354331] ; [ 48.65354331 118.34645669],0
p9,1,0.002293,9.298876,[72 14] ; [108  57],[61.67330677 24.32669323] ; [118.32669323  46.67330677],0
p10,1,0.003794,8.379844,[68 18] ; [100  64],[57.792 28.208] ; [110.208  53.792],0
p11,1,0.006536,7.39634,[68 20] ; [102  67],[58.21011673 29.78988327] ; [111.78988327  57.21011673],0
s6,1,0.006928,7.291486,[55 28] ; [81 87],[44.97211155 38.02788845] ; [91.02788845 76.97211155],0
p6,1,0.0115,6.38638,[26 62] ; [ 27 141],[18.21875 69.78125] ; [ 34.78125 133.21875],0
p5,1,0.014841,5.935302,[ 8 79] ; [  4 164],[ 4.09411765 82.90588235] ; [  7.90588235 160.09411765],0
s7,1,0.016184,5.782811,[37 49] ; [ 44 114],[28.54918033 57.45081967] ; [ 52.45081967 105.54918033],0
a7,1,0.021792,5.262289,[61 27] ; [91 76],[52.45490196 35.54509804] ; [99.54509804 67.45490196],0
v4,1,0.03674,4.362439,[80  6] ; [138  27],[74.69322709 11.30677291] ; [143.30677291  21.69322709],0
s8,1,0.067365,3.34609,[31 57] ; [ 41 127],[24.75 63.25] ; [ 47.25 120.75],0
n6,1,0.091167,2.853653,[68 19] ; [113  53],[62.24110672 24.75889328] ; [118.75889328  47.24110672],0
s2,1,0.116,2.470511,[39 48] ; [ 58 109],[33.22440945 53.77559055] ; [ 63.77559055 103.22440945],0
d2,1,0.119311,2.426346,[10 78] ; [ 32 137],[14.38132296 73.61867704] ; [ 27.61867704 141.38132296],0
r3,1,0.123588,2.371248,[79  9] ; [137  29],[74.83464567 13.16535433] ; [141.16535433  24.83464567],0
r4,1,0.138955,2.189489,[70 18] ; [120  49],[65.05836576 22.94163424] ; [124.94163424  44.05836576],0
a1,1,0.141435,2.162279,[ 2 86] ; [ 11 158],[ 4.45136187 83.54863813] ; [  8.54863813 160.45136187],0
a3,1,0.167742,1.903006,[40 47] ; [92 75],[45.21259843 41.78740157] ; [86.78740157 80.21259843],0
v3,1,0.214063,1.543731,[26 60] ; [ 38 127],[21.92828685 64.07171315] ; [ 42.07171315 122.92828685],0
s5,1,0.215408,1.534703,[24 61] ; [ 35 130],[20.06 64.94] ; [ 38.94 126.06],0
v2,1,0.248744,1.330343,[36 47] ; [ 58 104],[31.84489796 51.15510204] ; [62.15510204 99.84489796],0
a4,1,0.326999,0.960748,[17 70] ; [ 42 126],[20.12941176 66.87058824] ; [ 38.87058824 129.12941176],0
n5,1,0.364838,0.821173,[60 27] ; [105  61],[56.73913043 30.26086957] ; [108.26086957  57.73913043],0
r2,1,0.376823,0.781042,[76 11] ; [138  28],[73.58893281 13.41106719] ; [140.41106719  25.58893281],0
p1,1,0.387722,0.746073,[ 7 79] ; [  9 159],[ 5.41732283 80.58267717] ; [ 10.58267717 157.41732283],0
b1,1,0.402193,0.701759,[37 51] ; [ 62 107],[33.89883268 54.10116732] ; [ 65.10116732 103.89883268],0
d5,1,0.429795,0.623377,[47 41] ; [81 87],[44. 44.] ; [84. 84.],0
s4,1,0.449511,0.571886,[13 73] ; [ 32 137],[15.17647059 70.82352941] ; [ 29.82352941 139.17647059],0
n1,1,0.457315,0.552459,[11 13] ; [23 39],[ 9.48837209 14.51162791] ; [24.51162791 37.48837209],0
v1,1,0.474545,0.511374,[38 47] ; [66 99],[35.36 49.64] ; [68.64 96.36],0
b2,1,0.475382,0.509439,[12 32] ; [31 62],[13.81021898 30.18978102] ; [29.18978102 63.81021898],0
b3,1,0.475382,0.509439,[12 32] ; [31 62],[13.81021898 30.18978102] ; [29.18978102 63.81021898],0
n2,1,0.491763,0.472667,[20  4] ; [49 15],[18.81818182  5.18181818] ; [50.18181818 13.81818182],0
s1,1,0.507237,0.439764,[ 6 81] ; [  8 156],[ 4.85258964 82.14741036] ; [  9.14741036 154.85258964],0
u3,1,0.507606,0.438999,[20 27] ; [37 39],[21.7804878 25.2195122] ; [35.2195122 40.7804878],0
a5,1,0.557936,0.343291,[44 44] ; [78 91],[41.77431907 46.22568093] ; [80.22568093 88.77431907],0
d3,1,0.579759,0.306625,[39 49] ; [68 99],[36.9254902 51.0745098] ; [70.0745098 96.9254902],0
u4,1,0.637284,0.222312,[ 1 87] ; [  1 168],[ 0.6848249 87.3151751] ; [  1.3151751 167.6848249],0
a2,1,0.645678,0.211393,[ 4 84] ; [ 10 159],[ 4.79377432 83.20622568] ; [  9.20622568 159.79377432],0
s3,1,0.649539,0.206482,[42 43] ; [77 89],[40.29880478 44.70119522] ; [78.70119522 87.29880478],0
n3,1,0.676245,0.174384,[17  7] ; [41 21],[16.18604651  7.81395349] ; [41.81395349 20.18604651],0
u1,1,0.695452,0.153246,[ 4 84] ; [  6 163],[ 3.42412451 84.57587549] ; [  6.57587549 162.42412451],0
a8,1,0.701362,0.147059,[13 67] ; [ 23 137],[12. 68.] ; [ 24. 136.],0
u2,1,0.766038,0.088542,[23 25] ; [38 37],[23.80487805 24.19512195] ; [37.19512195 37.80487805],0
r1,1,0.770395,0.085181,[58 30] ; [107  60],[56.94117647 31.05882353] ; [108.05882353  58.94117647],0
p12,1,0.792509,0.069197,[ 3 83] ; [  7 161],[ 3.38582677 82.61417323] ; [  6.61417323 161.38582677],0
b4,1,0.798463,0.065197,[48 40] ; [95 74],[48.96498054 39.03501946] ; [94.03501946 74.96498054],0
b5,1,0.798772,0.064992,[53 35] ; [99 70],[52.04669261 35.95330739] ; [99.95330739 69.04669261],0
a6,1,0.909438,0.012939,[47 41] ; [89 80],[46.56809339 41.43190661] ; [89.43190661 79.56809339],0
d4,1,0.926031,0.008619,[50 38] ; [95 74],[49.64980545 38.35019455] ; [95.35019455 73.64980545],0
n4,1,0.951302,0.00373,[54 33] ; [103  64],[53.77559055 33.22440945] ; [103.22440945  63.77559055],0
