Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.001636,9.919158,[10 40] ; [ 95 120],[19.81132075 30.18867925] ; [ 85.18867925 129.81132075],0
b2,1,0.001636,9.919158,[10 40] ; [ 95 120],[19.81132075 30.18867925] ; [ 85.18867925 129.81132075],0
s5,1,0.003202,8.688732,[44 34] ; [117 191],[32.53367876 45.46632124] ; [128.46632124 179.53367876],0
a8,1,0.005155,7.824317,[ 4 75] ; [ 53 246],[11.91269841 67.08730159] ; [ 45.08730159 253.91269841],0
n4,1,0.016415,5.75786,[61 23] ; [268  51],[68.57568238 15.42431762] ; [260.42431762  58.57568238],0
s6,1,0.016902,5.706572,[76  6] ; [257  57],[68.95454545 13.04545455] ; [264.04545455  49.95454545],0
s2,1,0.02339,5.139288,[74 10] ; [245  74],[66.49131514 17.50868486] ; [252.50868486  66.49131514],0
v2,1,0.023916,5.100701,[38 43] ; [185 119],[46.91688312 34.08311688] ; [176.08311688 127.91688312],0
v3,1,0.027486,4.860021,[27 56] ; [140 164],[35.81653747 47.18346253] ; [131.18346253 172.81653747],0
v1,1,0.049069,3.873004,[39 44] ; [179 124],[46.87564767 36.12435233] ; [171.12435233 131.87564767],0
s7,1,0.067488,3.343084,[62 22] ; [195 114],[54.93129771 29.06870229] ; [202.06870229 106.93129771],0
u3,1,0.120527,2.410454,[20  6] ; [45 30],[16.73267327  9.26732673] ; [48.26732673 26.73267327],0
p12,1,0.121228,2.401389,[ 6 78] ; [ 42 273],[10.10526316 73.89473684] ; [ 37.89473684 277.10526316],0
p6,1,0.137953,2.200648,[39 44] ; [119 194],[33.11616162 49.88383838] ; [124.88383838 188.11616162],0
a3,1,0.147463,2.098299,[58 26] ; [244  74],[63.10447761 20.89552239] ; [238.89552239  79.10447761],0
u4,1,0.235355,1.408204,[ 1 83] ; [ 12 307],[ 2.70967742 81.29032258] ; [ 10.29032258 308.70967742],0
s1,1,0.236777,1.399683,[ 5 79] ; [ 10 304],[ 3.16582915 80.83417085] ; [ 11.83417085 302.16582915],0
p5,1,0.270076,1.21636,[ 8 76] ; [ 44 268],[11.03030303 72.96969697] ; [ 40.96969697 271.03030303],0
b5,1,0.270839,1.212493,[53 31] ; [180 139],[48.56575682 35.43424318] ; [184.43424318 134.56575682],0
a7,1,0.292649,1.107397,[55 29] ; [227  91],[58.92537313 25.07462687] ; [223.07462687  94.92537313],0
d4,1,0.306532,1.045558,[68 16] ; [271  46],[71.01246883 12.98753117] ; [267.98753117  49.01246883],0
r4,1,0.342666,0.900433,[75  9] ; [295  24],[77.12158809  6.87841191] ; [292.87841191  26.12158809],0
p8,1,0.362377,0.82964,[50 32] ; [175 141],[46.35678392 35.64321608] ; [178.64321608 137.35678392],0
a5,1,0.384257,0.757037,[59 25] ; [239  80],[62.11414392 21.88585608] ; [235.88585608  83.11414392],0
a1,1,0.39203,0.732637,[ 3 81] ; [ 19 300],[ 4.58560794 79.41439206] ; [ 17.41439206 301.58560794],0
u1,1,0.414596,0.665583,[18 66] ; [ 56 263],[15.42431762 68.57568238] ; [ 58.57568238 260.42431762],0
v4,1,0.467569,0.527716,[81  2] ; [303  13],[79.87969925  3.12030075] ; [304.12030075  11.87969925],0
r3,1,0.473294,0.514275,[81  3] ; [311   7],[81.91044776  2.08955224] ; [310.08955224   7.91044776],0
d5,1,0.514911,0.424073,[66 18] ; [259  58],[68.0798005 15.9201995] ; [256.9201995  60.0798005],0
r1,1,0.539779,0.37595,[67 17] ; [262  55],[68.91770574 15.08229426] ; [260.08229426  56.91770574],0
n1,1,0.572316,0.318823,[ 6 10] ; [25 30],[6.98591549 9.01408451] ; [24.01408451 30.98591549],0
n3,1,0.590031,0.290296,[11  5] ; [43 14],[11.83561644  4.16438356] ; [42.16438356 14.83561644],0
p7,1,0.602793,0.270804,[58 22] ; [212  93],[56.1038961 23.8961039] ; [213.8961039  91.1038961],0
d3,1,0.611844,0.257499,[60 24] ; [218 100],[58.08955224 25.91044776] ; [219.91044776  98.08955224],0
p4,1,0.620078,0.245758,[55 29] ; [197 118],[53.05263158 30.94736842] ; [198.94736842 116.05263158],0
p3,1,0.620088,0.245744,[48 36] ; [171 145],[45.99 38.01] ; [173.01 142.99],0
d2,1,0.631322,0.230272,[39 45] ; [157 161],[40.95522388 43.04477612] ; [155.04477612 162.95522388],0
a2,1,0.641321,0.217019,[19 65] ; [ 80 239],[20.63523573 63.36476427] ; [ 78.36476427 240.63523573],0
n5,1,0.663729,0.189025,[66 18] ; [255  61],[67.41 16.59] ; [253.59  62.41],0
p2,1,0.693418,0.15541,[72 12] ; [276  40],[73.08 10.92] ; [274.92  41.08],0
p1,1,0.744582,0.10614,[ 6 78] ; [ 26 290],[ 6.72 77.28] ; [ 25.28 290.72],0
p9,1,0.749119,0.102273,[76  8] ; [283  34],[75.20199501  8.79800499] ; [283.79800499  33.20199501],0
a4,1,0.851258,0.035161,[39 45] ; [144 174],[38.23880597 45.76119403] ; [144.76119403 173.23880597],0
s8,1,0.861931,0.030247,[50 34] ; [192 125],[50.69326683 33.30673317] ; [191.30673317 125.69326683],0
a6,1,0.865031,0.028891,[57 27] ; [212 105],[56.34912718 27.65087282] ; [212.65087282 104.34912718],0
n6,1,0.8746,0.024906,[72 11] ; [272  44],[71.55889724 11.44110276] ; [272.44110276  43.55889724],0
p10,1,0.917831,0.010643,[75  9] ; [280  35],[74.73684211  9.26315789] ; [280.26315789  34.73684211],0
u2,1,0.955053,0.003177,[16 10] ; [46 28],[16.12  9.88] ; [45.88 28.12],0
n2,1,0.960744,0.002423,[13  3] ; [46 11],[12.93150685  3.06849315] ; [46.06849315 10.93150685],0
b4,1,0.971689,0.001259,[51 33] ; [193 126],[50.85856079 33.14143921] ; [193.14143921 125.85856079],0
r2,1,0.975942,0.000909,[81  3] ; [303  11],[81.04522613  2.95477387] ; [302.95477387  11.04522613],0
d1,1,0.986573,0.000283,[51 33] ; [194 125],[51.06699752 32.93300248] ; [193.93300248 125.06699752],0
b1,1,0.988432,0.00021,[31 53] ; [118 201],[31.05707196 52.94292804] ; [117.94292804 201.05707196],0
