Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.334402,[65 46] ; [103  19],[80.03433476 30.96566524] ; [87.96566524 34.03433476],1
s4,1,0.000528,12.012953,[14 96] ; [38 81],[24.97816594 85.02183406] ; [27.02183406 91.97816594],1
s7,1,0.001586,9.975813,[63 44] ; [91 25],[73.89237668 33.10762332] ; [80.10762332 35.89237668],0
p10,1,0.002243,9.339531,[90 19] ; [116   6],[97.2034632 11.7965368] ; [108.7965368  13.2034632],0
p5,1,0.002856,8.897159,[15 97] ; [36 86],[24.41025641 87.58974359] ; [26.58974359 95.41025641],0
p9,1,0.007694,7.103237,[97 14] ; [118   4],[102.4248927   8.5751073] ; [112.5751073   9.4248927],0
p1,1,0.027473,4.860825,[ 10 102] ; [23 98],[15.86266094 96.13733906] ; [ 17.13733906 103.86266094],0
a5,1,0.036728,4.363003,[81 31] ; [102  20],[87.58974359 24.41025641] ; [95.41025641 26.58974359],0
s3,1,0.04455,4.035608,[71 40] ; [92 29],[77.98706897 33.01293103] ; [85.01293103 35.98706897],0
a3,1,0.06477,3.410821,[77 35] ; [96 25],[83.15879828 28.84120172] ; [89.84120172 31.15879828],0
p7,1,0.069024,3.306082,[88 21] ; [108  13],[92.88695652 16.11304348] ; [103.11304348  17.88695652],0
n2,1,0.088407,2.903147,[9 7] ; [24  6],[11.47826087  4.52173913] ; [21.52173913  8.47826087],0
a4,1,0.105514,2.620155,[51 60] ; [69 53],[57.16738197 53.83261803] ; [62.83261803 59.16738197],0
r3,1,0.118821,2.432789,[111   1] ; [116   5],[109.11587983   2.88412017] ; [117.88412017   3.11587983],0
p12,1,0.118858,2.432309,[12 99] ; [ 22 100],[16.19742489 94.80257511] ; [ 17.80257511 104.19742489],0
n6,1,0.124016,2.365861,[97 14] ; [112   8],[100.42857143  10.57142857] ; [108.57142857  11.42857143],0
p3,1,0.126018,2.340882,[69 43] ; [86 35],[74.50643777 37.49356223] ; [80.49356223 40.50643777],0
b5,1,0.149385,2.078515,[71 41] ; [66 56],[65.57264957 46.42735043] ; [71.42735043 50.57264957],0
d3,1,0.160502,1.969494,[80 32] ; [96 25],[84.60085837 27.39914163] ; [91.39914163 29.60085837],0
v1,1,0.166753,1.911897,[64 44] ; [83 39],[69.02608696 38.97391304] ; [77.97391304 44.02608696],0
d1,1,0.195153,1.678279,[70 42] ; [86 36],[74.66666667 37.33333333] ; [81.33333333 40.66666667],0
u4,1,0.205085,1.60579,[  5 107] ; [  2 120],[  3.35042735 108.64957265] ; [  3.64957265 118.35042735],0
p8,1,0.219445,1.507994,[74 36] ; [91 31],[78.23275862 31.76724138] ; [86.76724138 35.23275862],0
a1,1,0.228518,1.450064,[  7 105] ; [ 13 109],[  9.57264957 102.42735043] ; [ 10.42735043 111.57264957],0
n3,1,0.271874,1.207268,[12  4] ; [17 12],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
b1,1,0.273817,1.197523,[52 60] ; [48 74],[47.86324786 64.13675214] ; [52.13675214 69.86324786],0
b4,1,0.288009,1.128906,[64 48] ; [78 44],[67.96581197 44.03418803] ; [74.03418803 47.96581197],0
n1,1,0.305885,1.048359,[ 6 10] ; [16 14],[7.65217391 8.34782609] ; [14.34782609 15.65217391],0
u3,1,0.306156,1.047188,[22 12] ; [20  6],[23.8 10.2] ; [18.2  7.8],0
s8,1,0.322563,0.978525,[68 44] ; [81 40],[71.6223176 40.3776824] ; [77.3776824 43.6223176],0
a2,1,0.352123,0.865793,[27 85] ; [36 86],[30.15384615 81.84615385] ; [32.84615385 89.15384615],0
u1,1,0.363168,0.826907,[22 90] ; [30 92],[24.88888889 87.11111111] ; [27.11111111 94.88888889],0
a7,1,0.385741,0.752327,[83 28] ; [85 37],[80.03433476 30.96566524] ; [87.96566524 34.03433476],0
v2,1,0.395628,0.721575,[69 42] ; [68 52],[65.83116883 45.16883117] ; [71.16883117 48.83116883],0
v4,1,0.432301,0.616633,[106   6] ; [118   4],[107.21367521   4.78632479] ; [116.78632479   5.21367521],0
r4,1,0.45602,0.555646,[105   7] ; [117   5],[106.25641026   5.74358974] ; [115.74358974   6.25641026],0
v3,1,0.460735,0.544108,[42 67] ; [52 68],[44.74235808 64.25764192] ; [49.25764192 70.74235808],0
p11,1,0.473385,0.514065,[94 18] ; [98 24],[91.8974359 20.1025641] ; [100.1025641  21.8974359],0
p2,1,0.478109,0.503173,[99 13] ; [104  18],[97.16239316 14.83760684] ; [105.83760684  16.16239316],0
a6,1,0.570652,0.321593,[74 38] ; [75 45],[71.93103448 40.06896552] ; [77.06896552 42.93103448],0
r2,1,0.607913,0.263226,[104   5] ; [118   4],[104.75324675   4.24675325] ; [117.24675325   4.75324675],0
n4,1,0.636276,0.223646,[97 15] ; [103  19],[95.72649573 16.27350427] ; [104.27350427  17.72649573],0
p4,1,0.663021,0.189875,[93 19] ; [103  18],[94.21459227 17.78540773] ; [101.78540773  19.21459227],0
b3,1,0.681369,0.168589,[29 43] ; [34 44],[30.24 41.76] ; [32.76 45.24],0
b2,1,0.681369,0.168589,[29 43] ; [34 44],[30.24 41.76] ; [32.76 45.24],0
d5,1,0.687625,0.161668,[95 17] ; [104  16],[96.06896552 15.93103448] ; [102.93103448  17.06896552],0
d2,1,0.801903,0.062943,[62 50] ; [65 56],[61.0472103 50.9527897] ; [65.9527897 55.0472103],0
a8,1,0.844391,0.038526,[15 86] ; [16 99],[14.49537037 86.50462963] ; [16.50462963 98.49537037],0
d4,1,0.845627,0.037908,[98 14] ; [106  14],[98.48275862 13.51724138] ; [105.51724138  14.48275862],0
s1,1,0.878577,0.02334,[  5 106] ; [  5 117],[  4.7639485 106.2360515] ; [  5.2360515 116.7639485],0
r1,1,0.916987,0.010864,[94 18] ; [103  19],[94.29059829 17.70940171] ; [102.70940171  19.29059829],0
u2,1,0.97862,0.000718,[23 12] ; [17  9],[22.95081967 12.04918033] ; [17.04918033  8.95081967],0
n5,1,0.995113,3.8e-05,[92 18] ; [102  20],[91.98275862 18.01724138] ; [102.01724138  19.98275862],0
