Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,24.219768,[106  19] ; [39 35],[91.08040201 33.91959799] ; [53.91959799 20.08040201],1
p9,1,6e-06,20.489917,[102  24] ; [35 35],[88.07142857 37.92857143] ; [48.92857143 21.07142857],1
p7,1,6.2e-05,16.027641,[75 49] ; [23 51],[61.37373737 62.62626263] ; [36.62626263 37.37373737],1
p10,1,8.5e-05,15.453918,[96 29] ; [35 36],[83.54591837 41.45408163] ; [47.45408163 23.54591837],1
s4,1,0.000737,11.392638,[ 17 110] ; [25 50],[ 26.40594059 100.59405941] ; [15.59405941 59.40594059],1
p8,1,0.000929,10.964205,[63 63] ; [19 54],[51.91959799 74.08040201] ; [30.08040201 42.91959799],1
b1,1,0.002211,9.365969,[37 90] ; [38 37],[47.15346535 79.84653465] ; [27.84653465 47.15346535],0
r3,1,0.005114,7.838571,[124   3] ; [66  9],[119.45544554   7.54455446] ; [70.54455446  4.45544554],0
r4,1,0.007032,7.264651,[112  15] ; [55 20],[104.9950495  22.0049505] ; [62.0049505 12.9950495],0
n6,1,0.007597,7.126064,[86 41] ; [36 38],[77.08457711 49.91542289] ; [44.91542289 29.08457711],0
n4,1,0.020683,5.353349,[60 67] ; [23 52],[52.18316832 74.81683168] ; [30.81683168 44.18316832],0
n2,1,0.05588,3.655619,[25 10] ; [15 16],[21.21212121 13.78787879] ; [18.78787879 12.21212121],0
p5,1,0.097634,2.743778,[  8 117] ; [ 1 73],[  5.65326633 119.34673367] ; [ 3.34673367 70.65326633],0
r2,1,0.107353,2.592755,[116   7] ; [65  9],[113.01015228   9.98984772] ; [67.98984772  6.01015228],0
a2,1,0.108552,2.575177,[ 19 108] ; [18 57],[ 23.26237624 103.73762376] ; [13.73762376 61.26237624],0
d2,1,0.155941,2.013151,[58 69] ; [42 33],[62.87128713 64.12871287] ; [37.12871287 37.87128713],0
p4,1,0.15891,1.984572,[60 67] ; [27 46],[55.245 71.755] ; [31.755 41.245],0
v1,1,0.180491,1.793581,[53 69] ; [25 49],[48.55102041 73.44897959] ; [29.44897959 44.55102041],0
s8,1,0.180697,1.791886,[46 81] ; [20 54],[41.70149254 85.29850746] ; [24.29850746 49.70149254],0
p6,1,0.207227,1.590691,[36 88] ; [15 57],[32.26530612 91.73469388] ; [18.73469388 53.26530612],0
p12,1,0.210643,1.567002,[  6 120] ; [ 1 72],[  4.4321608 121.5678392] ; [ 2.5678392 70.4321608],0
s1,1,0.218871,1.511758,[  5 122] ; [ 6 69],[  6.91584158 120.08415842] ; [ 4.08415842 70.91584158],0
b3,1,0.280803,1.163197,[26 51] ; [ 8 26],[23.58558559 53.41441441] ; [10.41441441 23.58558559],0
b2,1,0.280803,1.163197,[26 51] ; [ 8 26],[23.58558559 53.41441441] ; [10.41441441 23.58558559],0
a6,1,0.286706,1.135023,[84 43] ; [44 31],[80.47524752 46.52475248] ; [47.52475248 27.47524752],0
s5,1,0.301182,1.068955,[34 89] ; [24 45],[37.15625 85.84375] ; [20.84375 48.15625],0
s2,1,0.310151,1.030033,[50 77] ; [35 40],[53.44059406 73.55940594] ; [31.55940594 43.44059406],0
a5,1,0.346716,0.885441,[91 36] ; [49 26],[88.01980198 38.98019802] ; [51.98019802 23.01980198],0
p3,1,0.348641,0.878397,[52 75] ; [25 48],[48.895 78.105] ; [28.105 44.895],0
v4,1,0.359935,0.83812,[114  10] ; [66  9],[112.16080402  11.83919598] ; [67.83919598  7.16080402],0
d1,1,0.373658,0.791462,[82 45] ; [53 22],[84.87623762 42.12376238] ; [50.12376238 24.87623762],0
a7,1,0.379569,0.772096,[100  27] ; [55 20],[97.45049505 29.54950495] ; [57.54950495 17.45049505],0
u3,1,0.386362,0.750361,[28 11] ; [16 10],[26.4 12.6] ; [17.6  8.4],0
a3,1,0.438518,0.600157,[88 39] ; [48 27],[85.5049505 41.4950495] ; [50.4950495 24.5049505],0
n1,1,0.502025,0.450652,[12 24] ; [ 8 23],[10.74626866 25.25373134] ; [ 9.25373134 21.74626866],0
s6,1,0.516664,0.420548,[70 56] ; [44 29],[72.18090452 53.81909548] ; [41.81909548 31.18090452],0
a4,1,0.542223,0.371435,[52 75] ; [34 41],[54.06930693 72.93069307] ; [31.93069307 43.06930693],0
d3,1,0.557304,0.344394,[101  26] ; [57 18],[99.33663366 27.66336634] ; [58.66336634 16.33663366],0
s3,1,0.57083,0.321296,[60 65] ; [32 41],[58.08080808 66.91919192] ; [33.91919192 39.08080808],0
r1,1,0.594827,0.282869,[95 31] ; [54 21],[93.40298507 32.59701493] ; [55.59701493 19.40298507],0
a1,1,0.633406,0.22747,[  5 122] ; [ 2 73],[  4.4009901 122.5990099] ; [ 2.5990099 72.4009901],0
p1,1,0.659993,0.193532,[  8 116] ; [ 6 68],[  8.76767677 115.23232323] ; [ 5.23232323 68.76767677],0
b5,1,0.66816,0.183763,[74 53] ; [46 29],[75.44554455 51.55445545] ; [44.55445545 30.44554455],0
s7,1,0.701259,0.147166,[49 76] ; [24 42],[47.77486911 77.22513089] ; [25.22513089 40.77486911],0
v2,1,0.723973,0.124718,[70 53] ; [38 32],[68.82901554 54.17098446] ; [39.17098446 30.82901554],0
v3,1,0.753379,0.098714,[33 88] ; [20 48],[33.93121693 87.06878307] ; [19.06878307 48.93121693],0
u1,1,0.799081,0.064789,[ 17 110] ; [11 64],[ 17.6039604 109.3960396] ; [10.3960396 64.6039604],0
b4,1,0.82371,0.049629,[81 46] ; [49 26],[81.73267327 45.26732673] ; [48.26732673 26.73267327],0
d4,1,0.870049,0.026764,[116  11] ; [69  6],[116.31188119  10.68811881] ; [68.68811881  6.31188119],0
u2,1,0.918157,0.010559,[23 16] ; [15 11],[22.8 16.2] ; [15.2 10.8],0
n3,1,0.967083,0.001703,[25 10] ; [22  9],[24.92424242 10.07575758] ; [22.07575758  8.92424242],0
