Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.040424,4.2,[ 3 12] ; [4 2],[ 5. 10.] ; [2. 4.],0
p10,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
s8,1,0.088158,2.907692,[ 4 11] ; [4 2],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
a8,1,0.090969,2.857143,[ 2 12] ; [3 3],[ 3.5 10.5] ; [1.5 4.5],0
s5,1,0.114653,2.488889,[ 1 14] ; [2 4],[ 2.14285714 12.85714286] ; [0.85714286 5.14285714],0
p12,1,0.114653,2.488889,[ 1 14] ; [2 4],[ 2.14285714 12.85714286] ; [0.85714286 5.14285714],0
n6,1,0.163187,1.944444,[10  5] ; [2 4],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
v3,1,0.169202,1.89,[ 3 12] ; [3 3],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
d2,1,0.169202,1.89,[ 3 12] ; [3 3],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
r4,1,0.169202,1.89,[ 3 12] ; [3 3],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
p2,1,0.200933,1.635577,[8 7] ; [5 1],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
s2,1,0.200933,1.635577,[8 7] ; [5 1],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
a6,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
p3,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
d1,1,0.291699,1.111765,[ 2 13] ; [2 4],[ 2.85714286 12.14285714] ; [1.14285714 4.85714286],0
d4,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
p11,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
r1,1,0.305507,1.05,[ 4 11] ; [3 3],[ 5. 10.] ; [2. 4.],0
n4,1,0.305507,1.05,[11  4] ; [3 3],[10.  5.] ; [4. 2.],0
b3,1,0.382733,0.761905,[ 1 11] ; [1 3],[ 1.5 10.5] ; [0.5 3.5],0
b2,1,0.382733,0.761905,[ 1 11] ; [1 3],[ 1.5 10.5] ; [0.5 3.5],0
p4,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
p9,1,0.477395,0.504808,[10  5] ; [3 3],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
p5,1,0.515305,0.42328,[ 1 13] ; [1 5],[ 1.4 12.6] ; [0.6 5.4],0
s4,1,0.516937,0.42,[ 3 12] ; [2 4],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
v1,1,0.516937,0.42,[ 3 12] ; [2 4],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
a5,1,0.576999,0.311111,[7 8] ; [2 4],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
d5,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p7,1,0.626928,0.23625,[11  4] ; [5 1],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
u3,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
v4,1,0.675706,0.175,[9 6] ; [3 3],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
a3,1,0.675706,0.175,[9 6] ; [3 3],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
a7,1,0.776258,0.080769,[6 9] ; [2 4],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
b1,1,0.776258,0.080769,[9 6] ; [4 2],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
s7,1,0.864591,0.029082,[5 9] ; [2 3],[5.15789474 8.84210526] ; [1.84210526 3.15789474],0
d3,1,0.890106,0.019091,[8 7] ; [3 3],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
b4,1,0.890106,0.019091,[7 8] ; [3 3],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
n5,1,1.0,0.0,[10  5] ; [4 2],[10.  5.] ; [4. 2.],0
b5,1,1.0,0.0,[10  5] ; [4 2],[10.  5.] ; [4. 2.],0
