Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.189032,[21  9] ; [ 7 37],[11.35135135 18.64864865] ; [16.64864865 27.35135135],1
p8,1,0.000476,12.208826,[20 10] ; [11 32],[12.73972603 17.26027397] ; [18.26027397 24.73972603],1
p7,1,0.002239,9.342689,[23  6] ; [18 24],[16.74647887 12.25352113] ; [24.25352113 17.74647887],0
p6,1,0.011075,6.453221,[12 18] ; [ 6 37],[ 7.39726027 22.60273973] ; [10.60273973 32.39726027],0
p2,1,0.044762,4.027566,[26  4] ; [29 15],[22.2972973  7.7027027] ; [32.7027027 11.2972973],0
d5,1,0.156307,2.009598,[19 11] ; [20 23],[16.02739726 13.97260274] ; [22.97260274 20.02739726],0
n1,1,0.166337,1.915646,[4 4] ; [ 3 11],[2.54545455 5.45454545] ; [4.45454545 9.54545455],0
n5,1,0.186814,1.742563,[24  6] ; [29 15],[21.48648649  8.51351351] ; [31.51351351 12.48648649],0
u2,1,0.204196,1.612103,[ 5 10] ; [13 11],[6.92307692 8.07692308] ; [11.07692308 12.92307692],0
a6,1,0.219034,1.510686,[18 12] ; [20 24],[15.40540541 14.59459459] ; [22.59459459 21.40540541],0
r1,1,0.250992,1.317772,[21  9] ; [25 19],[18.64864865 11.35135135] ; [27.35135135 16.64864865],0
b4,1,0.257255,1.283469,[19 11] ; [22 22],[16.62162162 13.37837838] ; [24.37837838 19.62162162],0
v2,1,0.266575,1.234286,[ 9 21] ; [18 24],[11.25 18.75] ; [15.75 26.25],0
a7,1,0.301719,1.066582,[21  9] ; [25 18],[18.90410959 11.09589041] ; [27.09589041 15.90410959],0
n6,1,0.321068,0.984589,[24  5] ; [32 12],[22.24657534  6.75342466] ; [33.75342466 10.24657534],0
r3,1,0.326789,0.96158,[28  2] ; [37  6],[26.71232877  3.28767123] ; [38.28767123  4.71232877],0
s6,1,0.351449,0.868217,[21  6] ; [29 14],[19.28571429  7.71428571] ; [30.71428571 12.28571429],0
p1,1,0.358719,0.842372,[ 3 27] ; [ 2 42],[ 2.02702703 27.97297297] ; [ 2.97297297 41.02702703],0
d4,1,0.390478,0.737454,[14 16] ; [25 19],[15.81081081 14.18918919] ; [23.18918919 20.81081081],0
b1,1,0.420889,0.647831,[13 17] ; [15 29],[11.35135135 18.64864865] ; [16.64864865 27.35135135],0
b2,1,0.428674,0.626413,[ 1 16] ; [ 3 19],[ 1.74358974 15.25641026] ; [ 2.25641026 19.74358974],0
b3,1,0.428674,0.626413,[ 1 16] ; [ 3 19],[ 1.74358974 15.25641026] ; [ 2.25641026 19.74358974],0
s2,1,0.439906,0.596528,[15 13] ; [27 16],[16.56338028 11.43661972] ; [25.43661972 17.56338028],0
p12,1,0.515117,0.423658,[ 1 29] ; [ 3 41],[ 1.62162162 28.37837838] ; [ 2.37837838 41.62162162],0
r4,1,0.53282,0.389011,[22  8] ; [35  9],[23.10810811  6.89189189] ; [33.89189189 10.10810811],0
s7,1,0.533549,0.387628,[16 13] ; [21 23],[14.69863014 14.30136986] ; [22.30136986 21.69863014],0
v3,1,0.537679,0.379859,[ 5 24] ; [10 33],[ 6.04166667 22.95833333] ; [ 8.95833333 34.04166667],0
v1,1,0.598819,0.276781,[13 16] ; [17 27],[11.91780822 17.08219178] ; [18.08219178 25.91780822],0
p9,1,0.60588,0.266218,[22  8] ; [33  9],[22.91666667  7.08333333] ; [32.08333333  9.91666667],0
b5,1,0.623537,0.240927,[16 14] ; [26 18],[17.02702703 12.97297297] ; [24.97297297 19.02702703],0
a5,1,0.623537,0.240927,[14 16] ; [18 26],[12.97297297 17.02702703] ; [19.02702703 24.97297297],0
v4,1,0.643565,0.21411,[27  3] ; [40  3],[27.53424658  2.46575342] ; [39.46575342  3.53424658],0
s5,1,0.656791,0.197445,[12 15] ; [16 25],[11.11764706 15.88235294] ; [16.88235294 24.11764706],0
a4,1,0.698168,0.150385,[ 8 22] ; [10 34],[ 7.2972973 22.7027027] ; [10.7027027 33.2972973],0
a3,1,0.700596,0.147852,[15 15] ; [20 24],[14.18918919 15.81081081] ; [20.81081081 23.18918919],0
d2,1,0.719021,0.129433,[ 5 25] ; [ 6 38],[ 4.45945946 25.54054054] ; [ 6.54054054 37.45945946],0
r2,1,0.719021,0.129433,[25  5] ; [38  6],[25.54054054  4.45945946] ; [37.45945946  6.54054054],0
s1,1,0.764889,0.089441,[ 1 29] ; [ 2 40],[ 1.25 28.75] ; [ 1.75 40.25],0
s8,1,0.79834,0.065278,[ 9 21] ; [12 32],[ 8.51351351 21.48648649] ; [12.48648649 31.51351351],0
s3,1,0.813249,0.055808,[19 10] ; [27 16],[18.52777778 10.47222222] ; [27.47222222 15.52777778],0
n3,1,0.856417,0.032738,[6 2] ; [10  4],[5.81818182 2.18181818] ; [10.18181818  3.81818182],0
u3,1,0.918006,0.010598,[9 6] ; [14 10],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
d3,1,0.922115,0.009559,[15 15] ; [21 22],[14.79452055 15.20547945] ; [21.20547945 21.79452055],0
p11,1,0.966497,0.001764,[21  9] ; [31 13],[21.08108108  8.91891892] ; [30.91891892 13.08108108],0
p10,1,0.983002,0.000454,[21  9] ; [30 13],[20.95890411  9.04109589] ; [30.04109589 12.95890411],0
n4,1,0.989694,0.000167,[17 13] ; [25 19],[17.02702703 12.97297297] ; [24.97297297 19.02702703],0
