Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.4e-05,17.818182,[16 17] ; [65 10],[24.75  8.25] ; [56.25 18.75],1
s7,1,0.060101,3.534593,[13 19] ; [43 28],[17.39805825 14.60194175] ; [38.60194175 32.39805825],0
p1,1,0.113334,2.5071,[ 2 31] ; [13 61],[ 4.62616822 28.37383178] ; [10.37383178 63.62616822],0
v4,1,0.11909,2.429252,[29  4] ; [71  3],[30.8411215  2.1588785] ; [69.1588785  4.8411215],0
r2,1,0.127231,2.325967,[27  6] ; [68  6],[29.29906542  3.70093458] ; [65.70093458  8.29906542],0
p6,1,0.130329,2.288579,[ 7 24] ; [28 46],[10.33333333 20.66666667] ; [24.66666667 49.33333333],0
a1,1,0.168492,1.896312,[ 2 31] ; [ 1 74],[ 0.91666667 32.08333333] ; [ 2.08333333 72.91666667],0
n6,1,0.172721,1.859167,[24  9] ; [63 12],[26.58333333  6.41666667] ; [60.41666667 14.58333333],0
u3,1,0.18292,1.773736,[ 7 10] ; [23 15],[9.27272727 7.72727273] ; [20.72727273 17.27272727],0
a7,1,0.187847,1.734421,[24  9] ; [44 30],[20.97196262 12.02803738] ; [47.02803738 26.97196262],0
s3,1,0.19387,1.687959,[20 13] ; [52 19],[22.84615385 10.15384615] ; [49.15384615 21.84615385],0
n1,1,0.204008,1.613445,[1 7] ; [ 6 10],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
d4,1,0.237988,1.392475,[21 12] ; [38 36],[18.19626168 14.80373832] ; [40.80373832 33.19626168],0
d2,1,0.241032,1.374545,[ 5 28] ; [19 56],[ 7.33333333 25.66666667] ; [16.66666667 58.33333333],0
p8,1,0.292588,1.107673,[21 12] ; [39 35],[18.5046729 14.4953271] ; [41.4953271 32.5046729],0
b1,1,0.298698,1.08,[11 22] ; [33 42],[13.44444444 19.55555556] ; [30.55555556 44.44444444],0
a2,1,0.344784,0.892562,[ 4 29] ; [ 5 70],[ 2.75 30.25] ; [ 6.25 68.75],0
a6,1,0.377751,0.778008,[23 10] ; [45 29],[20.97196262 12.02803738] ; [47.02803738 26.97196262],0
p5,1,0.385311,0.753688,[ 4 29] ; [14 60],[ 5.55140187 27.44859813] ; [12.44859813 61.55140187],0
u1,1,0.389616,0.74014,[ 2 31] ; [ 2 73],[ 1.22222222 31.77777778] ; [ 2.77777778 72.22222222],0
v3,1,0.423391,0.640885,[10 23] ; [28 45],[11.83018868 21.16981132] ; [26.16981132 46.83018868],0
v1,1,0.430596,0.621216,[14 19] ; [37 36],[15.87735849 17.12264151] ; [35.12264151 37.87735849],0
p7,1,0.435993,0.606807,[21 11] ; [42 31],[19.2 12.8] ; [43.8 29.2],0
v2,1,0.460418,0.544877,[13 20] ; [33 37],[14.73786408 18.26213592] ; [31.26213592 38.73786408],0
r1,1,0.480514,0.497696,[22 11] ; [55 20],[23.52777778  9.47222222] ; [53.47222222 21.52777778],0
p9,1,0.530482,0.393468,[28  5] ; [59 15],[26.8317757  6.1682243] ; [60.1682243 13.8317757],0
r3,1,0.570814,0.321322,[31  2] ; [68  7],[30.25  2.75] ; [68.75  6.25],0
