Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000532,12.0,[18  6] ; [ 6 18],[12. 12.] ; [12. 12.],1
b4,1,0.0022,9.375,[21  3] ; [11 13],[16.  8.] ; [16.  8.],0
d3,1,0.002869,8.888889,[14 10] ; [ 4 20],[ 9. 15.] ; [ 9. 15.],0
p5,1,0.01622,5.77887,[ 9 15] ; [ 2 22],[ 5.5 18.5] ; [ 5.5 18.5],0
a6,1,0.019172,5.485714,[18  6] ; [10 14],[14. 10.] ; [14. 10.],0
u2,1,0.045157,4.012755,[9 3] ; [5 9],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
p6,1,0.049891,3.845126,[13 11] ; [ 6 17],[ 9.70212766 14.29787234] ; [ 9.29787234 13.70212766],0
p8,1,0.055399,3.67004,[18  6] ; [11 12],[14.80851064  9.19148936] ; [14.19148936  8.80851064],0
r3,1,0.080856,3.047619,[23  1] ; [19  5],[21.  3.] ; [21.  3.],0
p2,1,0.085962,2.948403,[21  3] ; [16  8],[18.5  5.5] ; [18.5  5.5],0
n2,1,0.097635,2.743764,[1 2] ; [6 1],[2.1 0.9] ; [4.9 2.1],0
s4,1,0.104377,2.637363,[ 4 20] ; [ 9 15],[ 6.5 17.5] ; [ 6.5 17.5],0
p7,1,0.119471,2.424242,[19  5] ; [14 10],[16.5  7.5] ; [16.5  7.5],0
p12,1,0.121335,2.4,[ 6 18] ; [ 2 22],[ 4. 20.] ; [ 4. 20.],0
a7,1,0.131302,2.27704,[18  6] ; [13 11],[15.5  8.5] ; [15.5  8.5],0
p10,1,0.155132,2.021053,[21  3] ; [17  7],[19.  5.] ; [19.  5.],0
s6,1,0.196904,1.665192,[22  2] ; [18  5],[20.42553191  3.57446809] ; [19.57446809  3.42553191],0
d2,1,0.204008,1.613445,[ 5 19] ; [ 9 15],[ 7. 17.] ; [ 7. 17.],0
a5,1,0.233038,1.422222,[17  7] ; [13 11],[15.  9.] ; [15.  9.],0
b1,1,0.241567,1.371429,[ 8 16] ; [12 12],[10. 14.] ; [10. 14.],0
s8,1,0.291526,1.11256,[12 12] ; [ 8 15],[10.21276596 13.78723404] ; [ 9.78723404 13.21276596],0
n4,1,0.350201,0.872727,[18  6] ; [15  9],[16.5  7.5] ; [16.5  7.5],0
p9,1,0.352261,0.865294,[22  2] ; [19  4],[20.93617021  3.06382979] ; [20.06382979  2.93617021],0
u3,1,0.391153,0.735354,[8 4] ; [7 7],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
r1,1,0.504985,0.444444,[19  5] ; [17  7],[18.  6.] ; [18.  6.],0
s2,1,0.540291,0.375,[17  7] ; [15  9],[16.  8.] ; [16.  8.],0
a1,1,0.550985,0.355556,[ 2 22] ; [ 1 23],[ 1.5 22.5] ; [ 1.5 22.5],0
u1,1,0.550985,0.355556,[ 2 22] ; [ 1 23],[ 1.5 22.5] ; [ 1.5 22.5],0
s1,1,0.550985,0.355556,[ 1 23] ; [ 2 22],[ 1.5 22.5] ; [ 1.5 22.5],0
d4,1,0.562343,0.335664,[14 10] ; [12 12],[13. 11.] ; [13. 11.],0
b5,1,0.562343,0.335664,[14 10] ; [12 12],[13. 11.] ; [13. 11.],0
s3,1,0.609366,0.2611,[15  9] ; [16  7],[15.82978723  8.17021277] ; [15.17021277  7.82978723],0
s7,1,0.626269,0.237154,[14  8] ; [13 10],[13.2  8.8] ; [13.8  9.2],0
a3,1,0.654211,0.200632,[12 12] ; [10 13],[11.23404255 12.76595745] ; [10.76595745 12.23404255],0
a4,1,0.711531,0.136752,[ 5 19] ; [ 4 20],[ 4.5 19.5] ; [ 4.5 19.5],0
p1,1,0.711531,0.136752,[ 5 19] ; [ 4 20],[ 4.5 19.5] ; [ 4.5 19.5],0
n5,1,0.731284,0.117936,[18  6] ; [19  5],[18.5  5.5] ; [18.5  5.5],0
v3,1,0.762807,0.091082,[ 9 15] ; [ 8 16],[ 8.5 15.5] ; [ 8.5 15.5],0
v1,1,0.859419,0.031369,[10 14] ; [ 9 14],[ 9.70212766 14.29787234] ; [ 9.29787234 13.70212766],0
v2,1,0.871038,0.026354,[11 13] ; [10 13],[10.72340426 13.27659574] ; [10.27659574 12.72340426],0
n1,1,0.880303,0.022676,[1 2] ; [2 5],[0.9 2.1] ; [2.1 4.9],0
n3,1,0.880303,0.022676,[2 1] ; [5 2],[2.1 0.9] ; [4.9 2.1],0
a8,1,0.964507,0.00198,[ 2 21] ; [ 2 22],[ 1.95744681 21.04255319] ; [ 2.04255319 21.95744681],0
r2,1,1.0,0.0,[22  2] ; [22  2],[22.  2.] ; [22.  2.],0
b2,1,1.0,0.0,[5 8] ; [5 8],[5. 8.] ; [5. 8.],0
n6,1,1.0,0.0,[21  3] ; [21  3],[21.  3.] ; [21.  3.],0
b3,1,1.0,0.0,[5 8] ; [5 8],[5. 8.] ; [5. 8.],0
p11,1,1.0,0.0,[20  4] ; [20  4],[20.  4.] ; [20.  4.],0
v4,1,1.0,0.0,[23  1] ; [23  1],[23.  1.] ; [23.  1.],0
