Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.221295,[ 9 28] ; [44 15],[20.42708333 16.57291667] ; [32.57291667 26.42708333],1
p9,1,0.000123,14.750833,[16 19] ; [50 10],[24.31578947 10.68421053] ; [41.68421053 18.31578947],1
r3,1,0.002441,9.183941,[21 17] ; [50 10],[27.53061224 10.46938776] ; [43.46938776 16.53061224],0
s8,1,0.002681,9.012549,[ 4 34] ; [23 37],[10.46938776 27.53061224] ; [16.53061224 43.46938776],0
n5,1,0.010274,6.586697,[22 16] ; [49 11],[27.53061224 10.46938776] ; [43.46938776 16.53061224],0
p2,1,0.013182,6.144465,[18 20] ; [42 16],[23.75 14.25] ; [36.25 21.75],0
a3,1,0.014454,5.981853,[14 23] ; [38 22],[19.83505155 17.16494845] ; [32.16494845 27.83505155],0
n6,1,0.015759,5.829517,[21 17] ; [47 13],[26.36734694 11.63265306] ; [41.63265306 18.36734694],0
u2,1,0.01797,5.599084,[ 5 19] ; [12 10],[ 8.86956522 15.13043478] ; [ 8.13043478 13.86956522],0
s6,1,0.018767,5.523072,[11 26] ; [32 27],[16.57291667 20.42708333] ; [26.42708333 32.57291667],0
p6,1,0.024701,5.044698,[ 5 31] ; [20 37],[ 9.67741935 26.32258065] ; [15.32258065 41.67741935],0
d5,1,0.039534,4.237752,[16 22] ; [38 22],[20.93877551 17.06122449] ; [33.06122449 26.93877551],0
v2,1,0.054131,3.708647,[ 9 28] ; [25 32],[13.38297872 23.61702128] ; [20.61702128 36.38297872],0
s7,1,0.077949,3.107147,[ 8 27] ; [24 35],[11.91489362 23.08510638] ; [20.08510638 38.91489362],0
v4,1,0.082863,3.007827,[25 13] ; [48 11],[28.59793814  9.40206186] ; [44.40206186 14.59793814],0
p4,1,0.095722,2.77542,[13 24] ; [31 28],[16.95833333 20.04166667] ; [27.04166667 31.95833333],0
p5,1,0.111464,2.533338,[ 1 37] ; [ 7 53],[ 3.10204082 34.89795918] ; [ 4.89795918 55.10204082],0
n3,1,0.11769,2.447802,[9 9] ; [19  7],[11.45454545  6.54545455] ; [16.54545455  9.45454545],0
n2,1,0.134611,2.238502,[10  8] ; [20  6],[12.27272727  5.72727273] ; [17.72727273  8.27272727],0
v1,1,0.138117,2.198809,[ 9 28] ; [23 36],[12.33333333 24.66666667] ; [19.66666667 39.33333333],0
b3,1,0.138682,2.192521,[ 9 13] ; [10 33],[ 6.43076923 15.56923077] ; [12.56923077 30.43076923],0
b2,1,0.138682,2.192521,[ 9 13] ; [10 33],[ 6.43076923 15.56923077] ; [12.56923077 30.43076923],0
a4,1,0.144743,2.126796,[10 27] ; [25 35],[13.35051546 23.64948454] ; [21.64948454 38.35051546],0
a1,1,0.150685,2.065307,[ 5 33] ; [ 3 57],[ 3.10204082 34.89795918] ; [ 4.89795918 55.10204082],0
p8,1,0.154747,2.024821,[10 27] ; [24 34],[13.24210526 23.75789474] ; [20.75789474 37.24210526],0
r4,1,0.201963,1.628123,[14 24] ; [30 30],[17.06122449 20.93877551] ; [26.93877551 33.06122449],0
v3,1,0.216099,1.53009,[ 6 31] ; [16 43],[ 8.47916667 28.52083333] ; [13.52083333 45.47916667],0
p7,1,0.243376,1.360933,[16 22] ; [32 27],[18.80412371 19.19587629] ; [29.19587629 29.80412371],0
a6,1,0.256532,1.287379,[17 21] ; [20 40],[14.34693878 23.65306122] ; [22.65306122 37.34693878],0
a5,1,0.278641,1.173708,[16 22] ; [32 28],[18.6122449 19.3877551] ; [29.3877551 30.6122449],0
n4,1,0.293352,1.104172,[22 16] ; [41 19],[24.42857143 13.57142857] ; [38.57142857 21.42857143],0
p1,1,0.295796,1.093054,[ 3 35] ; [ 9 51],[ 4.65306122 33.34693878] ; [ 7.34693878 52.65306122],0
u1,1,0.313926,1.014084,[ 2 36] ; [ 1 59],[ 1.16326531 36.83673469] ; [ 1.83673469 58.16326531],0
s2,1,0.315519,1.007431,[12 26] ; [25 35],[14.34693878 23.65306122] ; [22.65306122 37.34693878],0
d3,1,0.333589,0.934914,[15 23] ; [18 42],[12.79591837 25.20408163] ; [20.20408163 39.79591837],0
p3,1,0.397344,0.71635,[11 27] ; [22 37],[12.92783505 25.07216495] ; [20.07216495 38.92783505],0
u3,1,0.402756,0.700081,[ 6 18] ; [ 8 14],[ 7.30434783 16.69565217] ; [ 6.69565217 15.30434783],0
d1,1,0.430783,0.620711,[11 27] ; [22 38],[12.79591837 25.20408163] ; [20.20408163 39.79591837],0
b1,1,0.44545,0.582204,[22 16] ; [30 30],[20.16326531 17.83673469] ; [31.83673469 28.16326531],0
d4,1,0.472643,0.515789,[20 18] ; [36 24],[21.71428571 16.28571429] ; [34.28571429 25.71428571],0
d2,1,0.507135,0.439974,[15 22] ; [28 31],[16.57291667 20.42708333] ; [26.42708333 32.57291667],0
a2,1,0.560299,0.339188,[ 3 35] ; [ 3 57],[ 2.32653061 35.67346939] ; [ 3.67346939 56.32653061],0
s5,1,0.638473,0.220745,[ 9 29] ; [11 45],[ 8.08510638 29.91489362] ; [11.91489362 44.08510638],0
n1,1,0.737506,0.112331,[ 7 11] ; [11 14],[ 7.53488372 10.46511628] ; [10.46511628 14.53488372],0
a8,1,0.738515,0.111437,[ 2 35] ; [ 4 52],[ 2.38709677 34.61290323] ; [ 3.61290323 52.38709677],0
b4,1,0.747582,0.103574,[19 19] ; [32 28],[19.7755102 18.2244898] ; [31.2244898 28.7755102],0
r2,1,0.78183,0.076693,[26 11] ; [43 16],[26.59375 10.40625] ; [42.40625 16.59375],0
s3,1,0.818692,0.052545,[15 21] ; [26 33],[15.53684211 20.46315789] ; [25.46315789 33.53684211],0
p12,1,0.833224,0.044339,[ 1 37] ; [ 2 57],[ 1.17525773 36.82474227] ; [ 1.82474227 57.17525773],0
s1,1,0.844226,0.038609,[ 1 37] ; [ 2 58],[ 1.16326531 36.83673469] ; [ 1.83673469 58.16326531],0
b5,1,0.87224,0.025861,[19 19] ; [31 29],[19.3877551 18.6122449] ; [30.6122449 29.3877551],0
s4,1,0.991282,0.000119,[ 7 31] ; [11 49],[ 6.97959184 31.02040816] ; [11.02040816 48.97959184],0
