Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.855324,[166  62] ; [71 96],[136.8  91.2] ; [100.2  66.8],1
v3,1,0.0,31.68073,[134  94] ; [ 50 116],[106.47715736 121.52284264] ; [77.52284264 88.47715736],1
s8,1,0.00025,13.415899,[179  53] ; [103  68],[162.34243176  69.65756824] ; [119.65756824  51.34243176],1
r4,1,0.004253,8.172612,[226   9] ; [152  19],[218.79310345  16.20689655] ; [159.20689655  11.79310345],0
p6,1,0.0154,5.87007,[121 108] ; [ 69 101],[109.04761905 119.95238095] ; [80.95238095 89.04761905],0
p8,1,0.017862,5.609649,[143  86] ; [86 84],[131.43107769  97.56892231] ; [97.56892231 72.43107769],0
p3,1,0.022512,5.205801,[145  89] ; [86 84],[133.7970297 100.2029703] ; [97.2029703 72.7970297],0
s4,1,0.028518,4.796486,[ 42 192] ; [ 46 124],[ 50.97029703 183.02970297] ; [ 37.02970297 132.97029703],0
p5,1,0.029246,4.753088,[ 46 186] ; [ 20 151],[ 37.99503722 194.00496278] ; [ 28.00496278 142.99503722],0
s6,1,0.038443,4.285316,[203  29] ; [135  34],[195.55112219  36.44887781] ; [142.44887781  26.55112219],0
b5,1,0.039384,4.244238,[145  90] ; [88 83],[134.86453202 100.13546798] ; [98.13546798 72.86453202],0
r1,1,0.041581,4.152169,[206  28] ; [138  33],[198.75555556  35.24444444] ; [145.24444444  25.75555556],0
n5,1,0.043598,4.072066,[197  36] ; [131  40],[189.16831683  43.83168317] ; [138.83168317  32.16831683],0
u4,1,0.047231,3.937134,[ 11 224] ; [  2 169],[  7.52463054 227.47536946] ; [  5.47536946 165.52463054],0
s5,1,0.059835,3.541953,[113 112] ; [67 98],[103.84615385 121.15384615] ; [76.15384615 88.84615385],0
a8,1,0.063628,3.440191,[ 41 164] ; [ 20 138],[ 34.44903581 170.55096419] ; [ 26.55096419 131.44903581],0
d3,1,0.085392,2.959172,[179  55] ; [117  53],[171.44554455  62.55445545] ; [124.55445545  45.44554455],0
a5,1,0.09064,2.862975,[191  44] ; [127  44],[184.06403941  50.93596059] ; [133.93596059  37.06403941],0
b2,1,0.091761,2.843212,[78 93] ; [39 71],[71.19928826 99.80071174] ; [45.80071174 64.19928826],0
b3,1,0.091761,2.843212,[78 93] ; [39 71],[71.19928826 99.80071174] ; [45.80071174 64.19928826],0
r3,1,0.093808,2.807787,[228   6] ; [161  10],[224.75555556   9.24444444] ; [164.24444444   6.75555556],0
p12,1,0.096442,2.763418,[ 28 205] ; [ 12 159],[ 23.06930693 209.93069307] ; [ 16.93069307 154.06930693],0
d4,1,0.106908,2.599339,[204  29] ; [139  31],[198.3101737  34.6898263] ; [144.6898263  25.3101737],0
p9,1,0.107535,2.590074,[213  20] ; [146  23],[208.07711443  24.92288557] ; [150.92288557  18.07711443],0
p7,1,0.121904,2.392688,[167  58] ; [112  55],[160.14030612  64.85969388] ; [118.85969388  48.14030612],0
p4,1,0.132705,2.260567,[165  68] ; [109  62],[158.02475248  74.97524752] ; [115.97524752  55.02475248],0
