Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8e-05,15.56972,[ 58 119] ; [87 74],[ 75.93195266 101.06804734] ; [69.06804734 91.93195266],1
n2,1,0.006343,7.450187,[34 17] ; [33  3],[39.27586207 11.72413793] ; [27.72413793  8.27586207],0
p9,1,0.006355,7.446649,[145  35] ; [150  15],[153.91304348  26.08695652] ; [141.08695652  23.91304348],0
b5,1,0.019669,5.440998,[100  81] ; [112  54],[110.58213256  70.41786744] ; [101.41786744  64.58213256],0
p6,1,0.026697,4.910288,[ 63 118] ; [75 86],[ 73.03508772 107.96491228] ; [64.96491228 96.03508772],0
n5,1,0.037198,4.341337,[123  56] ; [129  35],[131.51020408  47.48979592] ; [120.48979592  43.51020408],0
p10,1,0.042215,4.126563,[139  41] ; [139  23],[146.31578947  33.68421053] ; [131.68421053  30.31578947],0
b2,1,0.056128,3.648265,[25 69] ; [45 70],[31.48325359 62.51674641] ; [38.51674641 76.48325359],0
b3,1,0.056128,3.648265,[25 69] ; [45 70],[31.48325359 62.51674641] ; [38.51674641 76.48325359],0
a3,1,0.05878,3.571487,[118  63] ; [123  42],[126.07225434  54.92774566] ; [114.92774566  50.07225434],0
a2,1,0.064724,3.411994,[ 34 147] ; [ 45 121],[ 41.2074928 139.7925072] ; [ 37.7925072 128.2074928],0
n1,1,0.069731,3.289352,[17 34] ; [19 17],[21.10344828 29.89655172] ; [14.89655172 21.10344828],0
s1,1,0.077147,3.124002,[ 10 171] ; [  3 158],[  6.88011696 174.11988304] ; [  6.11988304 154.88011696],0
a8,1,0.091372,2.850026,[ 20 153] ; [ 27 121],[ 25.33021807 147.66978193] ; [ 21.66978193 126.33021807],0
a4,1,0.095802,2.774076,[ 70 111] ; [78 86],[ 77.64637681 103.35362319] ; [70.35362319 93.64637681],0
n4,1,0.095868,2.772973,[127  54] ; [128  36],[133.7826087  47.2173913] ; [121.2173913  42.7826087],0
a5,1,0.096189,2.767613,[124  57] ; [127  39],[130.92507205  50.07492795] ; [120.07492795  45.92507205],0
r1,1,0.105949,2.613636,[138  42] ; [138  27],[144.  36.] ; [132.  33.],0
s3,1,0.118634,2.435263,[128  53] ; [103  61],[121.19130435  59.80869565] ; [109.80869565  54.19130435],0
s8,1,0.12408,2.365046,[ 81 100] ; [88 78],[88.15273775 92.84726225] ; [80.84726225 85.15273775],0
s4,1,0.13039,2.287853,[ 53 124] ; [ 37 126],[ 46.85294118 130.14705882] ; [ 43.14705882 119.85294118],0
p7,1,0.168348,1.897591,[109  68] ; [110  50],[115.02373887  61.97626113] ; [103.97626113  56.02373887],0
r2,1,0.170659,1.877141,[164  14] ; [156   7],[167.03812317  10.96187683] ; [152.96187683  10.03812317],0
s5,1,0.209897,1.57214,[ 69 107] ; [74 87],[ 74.68249258 101.31750742] ; [68.31750742 92.68249258],0
u4,1,0.274045,1.196386,[  1 180] ; [  3 163],[  2.08645533 178.91354467] ; [  1.91354467 164.08645533],0
v4,1,0.294527,1.09881,[169  11] ; [158   6],[171.10465116   8.89534884] ; [155.89534884   8.10465116],0
p3,1,0.327944,0.956999,[ 81 100] ; [83 83],[85.54466859 95.45533141] ; [78.45533141 87.54466859],0
