Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,8e-06,19.916229,[48 13] ; [11 23],[37.88421053 23.11578947] ; [21.11578947 12.88421053],1
a6,1,8.1e-05,15.546407,[48 13] ; [13 21],[39.16842105 21.83157895] ; [21.83157895 12.16842105],1
d3,1,0.000104,15.064934,[54  7] ; [18 16],[46.23157895 14.76842105] ; [25.76842105  8.23157895],1
a2,1,0.002882,8.880506,[20 41] ; [ 2 32],[14.12631579 46.87368421] ; [ 7.87368421 26.12631579],0
b1,1,0.028261,4.812085,[20 41] ; [19 15],[25.04210526 35.95789474] ; [13.95789474 20.04210526],0
u1,1,0.034495,4.469991,[19 42] ; [ 4 30],[14.76842105 46.23157895] ; [ 8.23157895 25.76842105],0
r2,1,0.036063,4.394122,[59  1] ; [30  4],[56.80851064  3.19148936] ; [32.19148936  1.80851064],0
p1,1,0.040475,4.197869,[ 4 57] ; [ 7 27],[ 7.06315789 53.93684211] ; [ 3.93684211 30.06315789],0
u2,1,0.05813,3.589959,[6 7] ; [7 1],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
s2,1,0.07108,3.257905,[55  6] ; [26  8],[52.01052632  8.98947368] ; [28.98947368  5.01052632],0
v2,1,0.089163,2.889426,[31 29] ; [11 22],[27.09677419 32.90322581] ; [14.90322581 18.09677419],0
p11,1,0.106397,2.606941,[43 18] ; [29  5],[46.23157895 14.76842105] ; [25.76842105  8.23157895],0
p2,1,0.122451,2.385688,[54  7] ; [26  8],[51.36842105  9.63157895] ; [28.63157895  5.36842105],0
p3,1,0.145007,2.124001,[30 31] ; [22 12],[33.38947368 27.61052632] ; [18.61052632 15.38947368],0
n1,1,0.147501,2.097902,[2 9] ; [6 7],[3.66666667 7.33333333] ; [4.33333333 8.66666667],0
d4,1,0.162427,1.95148,[52  9] ; [25  9],[49.44210526 11.55789474] ; [27.55789474  6.44210526],0
p7,1,0.166052,1.918225,[39 18] ; [27  6],[41.8 15.2] ; [24.2  8.8],0
d1,1,0.226109,1.465169,[40 21] ; [18 16],[37.24210526 23.75789474] ; [20.75789474 13.24210526],0
a1,1,0.256934,1.285201,[ 1 60] ; [ 2 32],[ 1.92631579 59.07368421] ; [ 1.07368421 32.92631579],0
