Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000307,13.026512,[11 16] ; [45 11],[18.21686747  8.78313253] ; [37.78313253 18.21686747],1
r2,1,0.001023,10.784645,[15 11] ; [50  6],[20.6097561  5.3902439] ; [44.3902439 11.6097561],0
b4,1,0.027128,4.882656,[12 15] ; [39 17],[16.59036145 10.40963855] ; [34.40963855 21.59036145],0
n4,1,0.073766,3.19717,[ 7 20] ; [26 30],[10.73493976 16.26506024] ; [22.26506024 33.73493976],0
a5,1,0.087065,2.927818,[11 16] ; [34 22],[14.63855422 12.36144578] ; [30.36144578 25.63855422],0
r3,1,0.094251,2.800227,[21  6] ; [51  5],[23.42168675  3.57831325] ; [48.57831325  7.42168675],0
n6,1,0.119855,2.419215,[16 11] ; [23 33],[12.68674699 14.31325301] ; [26.31325301 29.68674699],0
p7,1,0.11995,2.417972,[15 12] ; [21 35],[11.71084337 15.28915663] ; [24.28915663 31.71084337],0
n3,1,0.149443,2.077922,[6 6] ; [15  5],[7.875 4.125] ; [13.125  6.875],0
n1,1,0.228366,1.45101,[ 2 10] ; [ 8 14],[3.52941176 8.47058824] ; [ 6.47058824 15.52941176],0
a4,1,0.23171,1.430333,[ 7 20] ; [22 34],[ 9.43373494 17.56626506] ; [19.56626506 36.43373494],0
p4,1,0.278199,1.175867,[13 14] ; [20 36],[10.73493976 16.26506024] ; [22.26506024 33.73493976],0
u1,1,0.281594,1.159382,[ 1 26] ; [ 6 50],[ 2.27710843 24.72289157] ; [ 4.72289157 51.27710843],0
v4,1,0.304499,1.054387,[20  7] ; [46  9],[21.73170732  5.26829268] ; [44.26829268 10.73170732],0
p2,1,0.354601,0.856923,[13 14] ; [33 23],[14.96385542 12.03614458] ; [31.03614458 24.96385542],0
u2,1,0.361535,0.832555,[8 5] ; [11 13],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
s4,1,0.365678,0.818298,[ 6 21] ; [ 8 48],[ 4.55421687 22.44578313] ; [ 9.44578313 46.55421687],0
p6,1,0.367097,0.813467,[ 7 19] ; [10 45],[ 5.45679012 20.54320988] ; [11.54320988 43.45679012],0
s3,1,0.370645,0.801499,[ 8 18] ; [23 33],[ 9.82926829 16.17073171] ; [21.17073171 34.82926829],0
v1,1,0.372521,0.795239,[ 7 20] ; [20 36],[ 8.78313253 18.21686747] ; [18.21686747 37.78313253],0
v2,1,0.380094,0.770396,[10 17] ; [26 29],[11.85365854 15.14634146] ; [24.14634146 30.85365854],0
d4,1,0.413092,0.669883,[19  8] ; [44 12],[20.4939759  6.5060241] ; [42.5060241 13.4939759],0
d3,1,0.418619,0.654188,[17 10] ; [30 26],[15.28915663 11.71084337] ; [31.71084337 24.28915663],0
b3,1,0.427862,0.62862,[ 5 12] ; [ 6 25],[ 3.89583333 13.10416667] ; [ 7.10416667 23.89583333],0
b2,1,0.427862,0.62862,[ 5 12] ; [ 6 25],[ 3.89583333 13.10416667] ; [ 7.10416667 23.89583333],0
a6,1,0.428459,0.626996,[16 11] ; [28 28],[14.31325301 12.68674699] ; [29.68674699 26.31325301],0
p8,1,0.435967,0.606873,[10 17] ; [16 40],[ 8.45783133 18.54216867] ; [17.54216867 38.45783133],0
b5,1,0.44097,0.593756,[13 14] ; [32 24],[14.63855422 12.36144578] ; [30.36144578 25.63855422],0
a7,1,0.443693,0.586714,[14 13] ; [34 22],[15.61445783 11.38554217] ; [32.38554217 23.61445783],0
v3,1,0.527318,0.399557,[ 6 21] ; [15 37],[ 7.17721519 19.82278481] ; [13.82278481 38.17721519],0
