Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000435,12.375,[ 1 43] ; [4 7],[ 4. 40.] ; [ 1. 10.],1
p11,1,0.014579,5.966592,[33 11] ; [4 7],[29.6 14.4] ; [7.4 3.6],0
v4,1,0.050494,3.824979,[29  9] ; [5 6],[26.36734694 11.63265306] ; [7.63265306 3.36734694],0
d2,1,0.057879,3.597136,[11 33] ; [6 5],[13.6 30.4] ; [3.4 7.6],0
p10,1,0.064936,3.406615,[32 11] ; [5 6],[29.46296296 13.53703704] ; [7.53703704 3.46296296],0
n6,1,0.092353,2.83288,[25 17] ; [3 7],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
s6,1,0.144456,2.12984,[25 16] ; [4 7],[22.86538462 18.13461538] ; [6.13461538 4.86538462],0
u3,1,0.21371,1.546111,[ 6 14] ; [2 1],[ 6.95652174 13.04347826] ; [1.04347826 1.95652174],0
a6,1,0.221137,1.496976,[23 21] ; [8 3],[24.8 19.2] ; [6.2 4.8],0
s7,1,0.230293,1.439053,[19 21] ; [3 8],[17.25490196 22.74509804] ; [4.74509804 6.25490196],0
d1,1,0.266636,1.233974,[ 9 35] ; [4 7],[10.4 33.6] ; [2.6 8.4],0
u2,1,0.271028,1.211538,[12  6] ; [1 2],[11.14285714  6.85714286] ; [1.85714286 1.14285714],0
s2,1,0.277216,1.180687,[19 23] ; [7 4],[20.60377358 21.39622642] ; [5.39622642 5.60377358],0
s5,1,0.305749,1.048951,[10 30] ; [1 9],[ 8.8 31.2] ; [2.2 7.8],0
a3,1,0.308319,1.037863,[24 19] ; [8 3],[25.48148148 17.51851852] ; [6.51851852 4.48148148],0
p9,1,0.314511,1.011637,[31 13] ; [6 5],[29.6 14.4] ; [7.4 3.6],0
a5,1,0.345151,0.891204,[21 23] ; [7 4],[22.4 21.6] ; [5.6 5.4],0
s8,1,0.351439,0.868254,[14 29] ; [2 9],[12.74074074 30.25925926] ; [3.25925926 7.74074074],0
n3,1,0.352704,0.863705,[12  7] ; [3 4],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
p6,1,0.375821,0.784328,[18 25] ; [3 8],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
n4,1,0.414687,0.665323,[26 18] ; [5 6],[24.8 19.2] ; [6.2 4.8],0
d4,1,0.48345,0.491071,[27 17] ; [8 3],[28. 16.] ; [7. 4.],0
r1,1,0.486577,0.484087,[12 30] ; [2 9],[11.09433962 30.90566038] ; [2.90566038 8.09433962],0
a7,1,0.498404,0.458333,[23 21] ; [7 4],[24. 20.] ; [6. 5.],0
p3,1,0.498404,0.458333,[19 25] ; [6 5],[20. 24.] ; [5. 6.],0
s4,1,0.511312,0.43138,[12 31] ; [2 9],[11.14814815 31.85185185] ; [2.85185185 8.14814815],0
a1,1,0.552665,0.352564,[ 2 42] ; [ 1 10],[ 2.4 41.6] ; [ 0.6 10.4],0
n5,1,0.552996,0.351978,[27 15] ; [6 5],[26.1509434 15.8490566] ; [6.8490566 4.1509434],0
b4,1,0.586591,0.295699,[20 24] ; [4 7],[19.2 24.8] ; [4.8 6.2],0
d3,1,0.63417,0.226448,[20 23] ; [6 5],[20.7037037 22.2962963] ; [5.2962963 5.7037037],0
v1,1,0.653153,0.201949,[18 23] ; [4 7],[17.34615385 23.65384615] ; [4.65384615 6.34615385],0
p8,1,0.658225,0.195687,[23 21] ; [6 4],[23.62962963 20.37037037] ; [5.37037037 4.62962963],0
n1,1,0.694176,0.154602,[ 7 12] ; [2 5],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
p5,1,0.757303,0.095496,[ 6 38] ; [1 9],[ 5.7037037 38.2962963] ; [1.2962963 8.7037037],0
p4,1,0.783131,0.075758,[26 18] ; [7 4],[26.4 17.6] ; [6.6 4.4],0
b1,1,0.784573,0.074728,[26 18] ; [6 5],[25.6 18.4] ; [6.4 4.6],0
d5,1,0.784573,0.074728,[26 18] ; [6 5],[25.6 18.4] ; [6.4 4.6],0
v3,1,0.839943,0.04079,[ 9 34] ; [2 9],[ 8.75925926 34.24074074] ; [2.24074074 8.75925926],0
a8,1,0.862014,0.03021,[ 3 37] ; [ 1 10],[ 3.1372549 36.8627451] ; [ 0.8627451 10.1372549],0
a4,1,0.881993,0.022035,[13 31] ; [3 8],[12.8 31.2] ; [3.2 7.8],0
b5,1,0.88963,0.019258,[27 17] ; [7 4],[27.2 16.8] ; [6.8 4.2],0
r3,1,0.890827,0.01884,[27 14] ; [7 4],[26.80769231 14.19230769] ; [7.19230769 3.80769231],0
v2,1,0.898135,0.016388,[20 22] ; [5 6],[19.81132075 22.18867925] ; [5.18867925 5.81132075],0
n2,1,0.908433,0.013229,[14  5] ; [5 2],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
r2,1,0.966384,0.001776,[21 17] ; [6 5],[20.93877551 17.06122449] ; [6.06122449 4.93877551],0
s3,1,0.967217,0.001689,[21 18] ; [6 5],[21.06 17.94] ; [5.94 5.06],0
