Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,78.088601,[34 52] ; [227  34],[64.68587896 21.31412104] ; [196.31412104  64.68587896],1
n6,1,1.8e-05,18.405335,[61 26] ; [234  28],[73.53868195 13.46131805] ; [221.46131805  40.53868195],1
d2,1,0.000218,13.666227,[22 65] ; [125 136],[36.75 50.25] ; [110.25 150.75],1
r4,1,0.000304,13.045052,[66 21] ; [238  24],[75.78223496 11.21776504] ; [228.21776504  33.78223496],1
a5,1,0.000399,12.537893,[50 37] ; [202  60],[62.81948424 24.18051576] ; [189.18051576  72.81948424],1
d1,1,0.000465,12.250517,[32 55] ; [153 109],[46.11747851 40.88252149] ; [138.88252149 123.11747851],1
a6,1,0.001421,10.178756,[49 38] ; [195  67],[60.8252149 26.1747851] ; [183.1747851  78.8252149],0
p6,1,0.001895,9.648361,[14 71] ; [ 89 171],[25.37681159 59.62318841] ; [ 77.62318841 182.37681159],0
p4,1,0.003001,8.807164,[37 49] ; [160 101],[48.82420749 37.17579251] ; [148.17579251 112.82420749],0
r3,1,0.003375,8.592593,[75 12] ; [249  12],[81.  6.] ; [243.  18.],0
p3,1,0.005345,7.758877,[32 55] ; [141 120],[43.25 43.75] ; [129.75 131.25],0
r2,1,0.006292,7.464738,[73 13] ; [243  15],[79.  7.] ; [237.  21.],0
a4,1,0.009745,6.68092,[25 62] ; [116 145],[35.25 51.75] ; [105.75 155.25],0
a2,1,0.010979,6.468729,[ 8 79] ; [ 56 206],[15.95415473 71.04584527] ; [ 48.04584527 213.95415473],0
a8,1,0.01198,6.313894,[ 3 80] ; [ 32 202],[ 9.16403785 73.83596215] ; [ 25.83596215 208.16403785],0
p11,1,0.014469,5.980009,[67 20] ; [230  32],[74.03724928 12.96275072] ; [222.96275072  39.03724928],0
d5,1,0.019643,5.44332,[62 25] ; [217  45],[69.55014327 17.44985673] ; [209.44985673  52.55014327],0
s8,1,0.022737,5.188483,[16 71] ; [ 81 180],[24.25 62.75] ; [ 72.75 188.25],0
