Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.378336,[35  8] ; [ 7 25],[24.08 18.92] ; [17.92 14.08],1
r3,1,0.000103,15.087125,[38  4] ; [16 16],[30.64864865 11.35135135] ; [23.35135135  8.64864865],1
d5,1,0.001135,10.592886,[31 12] ; [11 21],[24.08 18.92] ; [17.92 14.08],0
d1,1,0.005742,7.629692,[18 25] ; [ 4 28],[12.61333333 30.38666667] ; [ 9.38666667 22.61333333],0
r2,1,0.013912,6.049338,[38  5] ; [20 11],[33.7027027  9.2972973] ; [24.2972973  6.7027027],0
v4,1,0.016079,5.794204,[37  5] ; [20 11],[32.79452055  9.20547945] ; [24.20547945  6.79452055],0
s3,1,0.033962,4.496624,[26 17] ; [11 20],[21.5 21.5] ; [15.5 15.5],0
d4,1,0.037681,4.319363,[32 10] ; [17 15],[27.81081081 14.18918919] ; [21.18918919 10.81081081],0
a3,1,0.056786,3.628861,[20 23] ; [ 8 24],[16.05333333 26.94666667] ; [11.94666667 20.05333333],0
d3,1,0.064692,3.412805,[26 17] ; [12 19],[22.08108108 20.91891892] ; [15.91891892 15.08108108],0
b4,1,0.065229,3.399181,[28 15] ; [14 18],[24.08 18.92] ; [17.92 14.08],0
b2,1,0.079301,3.079179,[ 3 18] ; [ 8 13],[ 5.5 15.5] ; [ 5.5 15.5],0
b3,1,0.079301,3.079179,[ 3 18] ; [ 8 13],[ 5.5 15.5] ; [ 5.5 15.5],0
a6,1,0.088946,2.89335,[26 17] ; [13 19],[22.36 20.64] ; [16.64 15.36],0
u3,1,0.099979,2.705874,[16  7] ; [11 13],[13.21276596  9.78723404] ; [13.78723404 10.21276596],0
u2,1,0.100255,2.701484,[17  5] ; [13 11],[14.34782609  7.65217391] ; [15.65217391  8.34782609],0
b5,1,0.127263,2.325581,[29 14] ; [16 16],[25.8 17.2] ; [19.2 12.8],0
v2,1,0.134193,2.243311,[15 23] ; [ 7 24],[12.11594203 25.88405797] ; [ 9.88405797 21.11594203],0
a1,1,0.179014,1.805793,[ 1 42] ; [ 3 29],[ 2.29333333 40.70666667] ; [ 1.70666667 30.29333333],0
a4,1,0.186193,1.747489,[ 7 36] ; [ 2 30],[ 5.16 37.84] ; [ 3.84 28.16],0
a7,1,0.217322,1.52197,[25 18] ; [14 18],[22.36 20.64] ; [16.64 15.36],0
s2,1,0.220315,1.502316,[18 25] ; [ 9 23],[15.48 27.52] ; [11.52 20.48],0
s6,1,0.252629,1.308707,[20 22] ; [11 21],[17.59459459 24.40540541] ; [13.40540541 18.59459459],0
s4,1,0.309468,1.032947,[ 9 34] ; [10 22],[10.89333333 32.10666667] ; [ 8.10666667 23.89333333],0
p11,1,0.4041,0.696093,[23 20] ; [14 18],[21.21333333 21.78666667] ; [15.78666667 16.21333333],0
p8,1,0.419909,0.650571,[16 26] ; [ 9 22],[14.38356164 27.61643836] ; [10.61643836 20.38356164],0
s1,1,0.434854,0.609825,[ 3 38] ; [ 1 31],[ 2.24657534 38.75342466] ; [ 1.75342466 30.24657534],0
s8,1,0.484619,0.488452,[11 32] ; [ 6 26],[ 9.74666667 33.25333333] ; [ 7.25333333 24.74666667],0
n4,1,0.51029,0.433472,[18 25] ; [11 21],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
n5,1,0.541314,0.373109,[18 24] ; [16 16],[19.2972973 22.7027027] ; [14.7027027 17.2972973],0
n1,1,0.547403,0.361991,[ 6 11] ; [6 7],[ 6.8 10.2] ; [5.2 7.8],0
p2,1,0.591715,0.287674,[27 16] ; [22 10],[28.09333333 14.90666667] ; [20.90666667 11.09333333],0
v1,1,0.591867,0.287438,[17 25] ; [11 21],[15.89189189 26.10810811] ; [12.10810811 19.89189189],0
n2,1,0.602332,0.271493,[12  5] ; [8 5],[11.33333333  5.66666667] ; [8.66666667 4.33333333],0
p3,1,0.637558,0.22195,[10 33] ; [ 6 26],[ 9.17333333 33.82666667] ; [ 6.82666667 25.17333333],0
d2,1,0.637558,0.22195,[10 33] ; [ 6 26],[ 9.17333333 33.82666667] ; [ 6.82666667 25.17333333],0
p1,1,0.70495,0.143374,[ 3 40] ; [ 3 29],[ 3.44 39.56] ; [ 2.56 29.44],0
p10,1,0.705309,0.143007,[23 18] ; [16 15],[22.20833333 18.79166667] ; [16.79166667 14.20833333],0
b1,1,0.713358,0.134946,[21 22] ; [17 15],[21.78666667 21.21333333] ; [16.21333333 15.78666667],0
u1,1,0.738688,0.111283,[ 2 41] ; [ 1 31],[ 1.72 41.28] ; [ 1.28 30.72],0
v3,1,0.760518,0.092903,[ 6 34] ; [ 4 28],[ 5.55555556 34.44444444] ; [ 4.44444444 27.55555556],0
p7,1,0.782441,0.076253,[20 20] ; [14 16],[19.42857143 20.57142857] ; [14.57142857 15.42857143],0
n3,1,0.858411,0.031826,[11  6] ; [8 5],[10.76666667  6.23333333] ; [8.23333333 4.76666667],0
p6,1,0.861919,0.030252,[12 28] ; [ 9 23],[11.66666667 28.33333333] ; [ 9.33333333 22.66666667],0
s5,1,0.89406,0.017734,[ 8 32] ; [ 6 26],[ 7.77777778 32.22222222] ; [ 6.22222222 25.77777778],0
s7,1,0.939346,0.00579,[11 28] ; [ 9 22],[11.14285714 27.85714286] ; [ 8.85714286 22.14285714],0
p4,1,0.966339,0.001781,[12 30] ; [ 9 23],[11.91891892 30.08108108] ; [ 9.08108108 22.91891892],0
p9,1,0.978361,0.000736,[25 16] ; [19 12],[25.05555556 15.94444444] ; [18.94444444 12.05555556],0
