Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.004998,7.880088,[223  86] ; [19 19],[215.49855908  93.50144092] ; [26.50144092 11.49855908],0
a4,1,0.025518,4.988357,[131 177] ; [ 9 29],[124.62427746 183.37572254] ; [15.37572254 22.62427746],0
b3,1,0.029756,4.723318,[ 71 103] ; [ 4 19],[ 66.24365482 107.75634518] ; [ 8.75634518 14.24365482],0
b2,1,0.029756,4.723318,[ 71 103] ; [ 4 19],[ 66.24365482 107.75634518] ; [ 8.75634518 14.24365482],0
s6,1,0.032172,4.589294,[141 164] ; [24 13],[147.14912281 157.85087719] ; [17.85087719 19.14912281],0
d3,1,0.0335,4.520031,[198 110] ; [31  7],[203.84971098 104.15028902] ; [25.15028902 12.84971098],0
s5,1,0.044285,4.045664,[ 58 247] ; [12 24],[ 62.60997067 242.39002933] ; [ 7.39002933 28.60997067],0
a8,1,0.077877,3.10866,[ 34 245] ; [ 1 37],[ 30.8044164 248.1955836] ; [ 4.1955836 33.8044164],0
p11,1,0.111384,2.53448,[266  43] ; [29  9],[262.6945245  46.3054755] ; [32.3054755  5.6945245],0
p2,1,0.117974,2.444012,[263  43] ; [29  9],[259.74418605  46.25581395] ; [32.25581395  5.74418605],0
a7,1,0.124339,2.3618,[224  85] ; [23 15],[219.95100865  89.04899135] ; [27.04899135 10.95100865],0
p6,1,0.163807,1.938727,[ 87 218] ; [15 23],[ 90.69970845 214.30029155] ; [11.30029155 26.69970845],0
n4,1,0.168414,1.897007,[235  74] ; [25 13],[231.52737752  77.47262248] ; [28.47262248  9.52737752],0
a2,1,0.196048,1.67157,[ 59 250] ; [ 4 34],[ 56.10086455 252.89913545] ; [ 6.89913545 31.10086455],0
n2,1,0.229215,1.445723,[44 22] ; [7 1],[45.48648649 20.51351351] ; [5.51351351 2.48648649],0
b5,1,0.22971,1.442658,[178 131] ; [18 20],[174.53602305 134.46397695] ; [21.46397695 16.53602305],0
r2,1,0.23585,1.405226,[281  23] ; [33  5],[279.11111111  24.88888889] ; [34.88888889  3.11111111],0
v1,1,0.242695,1.364869,[157 144] ; [16 22],[153.60766962 147.39233038] ; [19.39233038 18.60766962],0
u2,1,0.256123,1.289593,[60 42] ; [5 7],[58.15789474 43.84210526] ; [6.84210526 5.15789474],0
r4,1,0.289026,1.124154,[271  38] ; [31  7],[268.92795389  40.07204611] ; [33.07204611  4.92795389],0
d5,1,0.317322,0.999953,[249  60] ; [28 10],[246.66570605  62.33429395] ; [30.33429395  7.66570605],0
u1,1,0.372599,0.794977,[ 40 269] ; [ 3 35],[ 38.29106628 270.70893372] ; [ 4.70893372 33.29106628],0
v3,1,0.392971,0.729728,[111 190] ; [11 26],[108.64497041 192.35502959] ; [13.35502959 23.64497041],0
p5,1,0.45381,0.561118,[ 37 271] ; [ 3 35],[ 35.60693642 272.39306358] ; [ 4.39306358 33.60693642],0
p9,1,0.455392,0.557197,[286  22] ; [34  4],[284.85549133  23.14450867] ; [35.14450867  2.85549133],0
u3,1,0.459712,0.546597,[54 48] ; [5 7],[52.78947368 49.21052632] ; [6.21052632 5.78947368],0
d2,1,0.502377,0.449911,[131 177] ; [14 24],[129.07514451 178.92485549] ; [15.92485549 22.07514451],0
s1,1,0.515963,0.421955,[  4 304] ; [ 1 37],[  4.45086705 303.54913295] ; [ 0.54913295 37.45086705],0
p7,1,0.531434,0.391648,[191 111] ; [26 12],[192.74705882 109.25294118] ; [24.25294118 13.74705882],0
a5,1,0.534266,0.386271,[221  88] ; [29  9],[222.62247839  86.37752161] ; [27.37752161 10.62247839],0
n5,1,0.543692,0.36874,[232  75] ; [27 11],[230.47246377  76.52753623] ; [28.52753623  9.47246377],0
s3,1,0.577119,0.310915,[ 68 237] ; [10 28],[ 69.35860058 235.64139942] ; [ 8.64139942 29.35860058],0
s8,1,0.606168,0.265792,[ 85 223] ; [12 26],[ 86.34682081 221.65317919] ; [10.65317919 27.34682081],0
p1,1,0.613069,0.255731,[ 25 283] ; [ 4 34],[ 25.8150289 282.1849711] ; [ 3.1849711 34.8150289],0
b4,1,0.639771,0.219042,[183 126] ; [21 17],[181.65994236 127.34005764] ; [22.34005764 15.65994236],0
v4,1,0.648278,0.208078,[289  19] ; [34  3],[288.35942029  19.64057971] ; [34.64057971  2.35942029],0
n6,1,0.664845,0.187691,[260  49] ; [33  5],[260.91354467  48.08645533] ; [32.08645533  5.91354467],0
v2,1,0.67064,0.180854,[166 129] ; [20 18],[164.77477477 130.22522523] ; [21.22522523 16.77477477],0
p3,1,0.674897,0.175927,[151 157] ; [20 18],[152.21965318 155.78034682] ; [18.78034682 19.21965318],0
d1,1,0.720176,0.128324,[164 145] ; [19 19],[162.95965418 146.04034582] ; [20.04034582 17.95965418],0
n1,1,0.745777,0.105114,[21 45] ; [3 5],[21.40540541 44.59459459] ; [2.59459459 5.40540541],0
s7,1,0.787225,0.072855,[ 86 206] ; [12 26],[ 86.71515152 205.28484848] ; [11.28484848 26.71515152],0
r3,1,0.805343,0.060732,[287  21] ; [35  3],[286.63583815  21.36416185] ; [35.36416185  2.63583815],0
n3,1,0.852404,0.034615,[46 18] ; [6 2],[46.22222222 17.77777778] ; [5.77777778 2.22222222],0
p4,1,0.856374,0.032758,[173 134] ; [22 16],[173.52173913 133.47826087] ; [21.47826087 16.52173913],0
a3,1,0.880396,0.02264,[207 101] ; [26 12],[207.41040462 100.58959538] ; [25.58959538 12.41040462],0
r1,1,0.885474,0.020746,[240  68] ; [30  8],[240.34682081  67.65317919] ; [29.65317919  8.34682081],0
p12,1,0.919288,0.010268,[ 15 292] ; [ 2 36],[ 15.12753623 291.87246377] ; [ 1.87246377 36.12753623],0
b1,1,0.927937,0.00818,[108 201] ; [13 25],[107.74927954 201.25072046] ; [13.25072046 24.74927954],0
d4,1,0.92903,0.007933,[242  67] ; [30  8],[242.21325648  66.78674352] ; [29.78674352  8.21325648],0
p8,1,0.966427,0.001772,[172 133] ; [21 16],[172.11988304 132.88011696] ; [20.88011696 16.11988304],0
