Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.1e-05,19.412978,[214  34] ; [21 16],[204.49122807  43.50877193] ; [30.50877193  6.49122807],1
s5,1,3.7e-05,17.045114,[128 116] ; [ 5 29],[116.73381295 127.26618705] ; [16.26618705 17.73381295],1
v4,1,0.001148,10.571429,[255   4] ; [33  4],[252.   7.] ; [36.  1.],0
s6,1,0.001756,9.788091,[239  17] ; [28  8],[234.08219178  21.91780822] ; [32.91780822  3.08219178],0
p4,1,0.003192,8.694607,[182  77] ; [17 20],[174.125  84.875] ; [24.875 12.125],0
v1,1,0.004972,7.889677,[161  88] ; [14 21],[153.43309859  95.56690141] ; [21.56690141 13.43309859],0
s4,1,0.029571,4.734085,[ 62 197] ; [ 3 34],[ 56.875 202.125] ; [ 8.125 28.875],0
a5,1,0.043459,4.077465,[207  53] ; [24 13],[202.22222222  57.77777778] ; [28.77777778  8.22222222],0
b5,1,0.078152,3.10293,[159 101] ; [17 20],[154.07407407 105.92592593] ; [21.92592593 15.07407407],0
p9,1,0.089426,2.88468,[238  20] ; [31  6],[235.26101695  22.73898305] ; [33.73898305  3.26101695],0
v3,1,0.093448,2.813957,[116 130] ; [12 25],[111.26501767 134.73498233] ; [16.73498233 20.26501767],0
p12,1,0.159426,1.979661,[ 36 222] ; [ 2 34],[ 33.34693878 224.65306122] ; [ 4.65306122 31.34693878],0
a7,1,0.169915,1.883695,[174  85] ; [29  8],[177.625  81.375] ; [25.375 11.625],0
a6,1,0.169915,1.883695,[174  85] ; [29  8],[177.625  81.375] ; [25.375 11.625],0
u1,1,0.203897,1.614235,[ 59 201] ; [ 5 32],[ 56.02693603 203.97306397] ; [ 7.97306397 29.02693603],0
p3,1,0.205643,1.601838,[155 105] ; [18 19],[151.44781145 108.55218855] ; [21.55218855 15.44781145],0
a2,1,0.206313,1.597114,[ 75 185] ; [ 7 30],[ 71.78451178 188.21548822] ; [10.21548822 26.78451178],0
n4,1,0.207483,1.588899,[208  50] ; [33  4],[210.77288136  47.22711864] ; [30.22711864  6.77288136],0
d5,1,0.216795,1.525459,[223  36] ; [29  8],[220.5  38.5] ; [31.5  5.5],0
n1,1,0.220892,1.498564,[30 23] ; [4 7],[28.15625 24.84375] ; [5.84375 5.15625],0
a4,1,0.225806,1.467086,[126 134] ; [14 23],[122.55892256 137.44107744] ; [17.44107744 19.55892256],0
p8,1,0.267095,1.231606,[149 108] ; [25 12],[152.10204082 104.89795918] ; [21.89795918 15.10204082],0
a3,1,0.302103,1.064886,[208  51] ; [27 10],[205.625  53.375] ; [29.375  7.625],0
p10,1,0.311218,1.0255,[229  28] ; [30  6],[227.1774744  29.8225256] ; [31.8225256  4.1774744],0
v2,1,0.324411,0.971079,[151  95] ; [19 17],[148.29787234  97.70212766] ; [21.70212766 14.29787234],0
u3,1,0.330169,0.948235,[39 13] ; [6 4],[37.74193548 14.25806452] ; [7.25806452 2.74193548],0
d1,1,0.38707,0.748127,[180  80] ; [23 14],[177.71043771  82.28956229] ; [25.28956229 11.71043771],0
a1,1,0.397819,0.714909,[ 16 244] ; [ 1 36],[ 14.88215488 245.11784512] ; [ 2.11784512 34.88215488],0
p11,1,0.431353,0.619179,[211  49] ; [32  5],[212.72727273  47.27272727] ; [30.27272727  6.72727273],0
u4,1,0.439501,0.597584,[ 15 245] ; [ 1 36],[ 14.00673401 245.99326599] ; [ 1.99326599 35.00673401],0
b1,1,0.517673,0.418527,[113 147] ; [14 23],[111.17845118 148.82154882] ; [15.82154882 21.17845118],0
d2,1,0.522704,0.408556,[148 112] ; [19 18],[146.1952862 113.8047138] ; [20.8047138 16.1952862],0
b3,1,0.527646,0.398923,[ 74 105] ; [12 13],[ 75.46078431 103.53921569] ; [10.53921569 14.46078431],0
b2,1,0.527646,0.398923,[ 74 105] ; [12 13],[ 75.46078431 103.53921569] ; [10.53921569 14.46078431],0
r3,1,0.558007,0.343167,[251   9] ; [35  2],[250.37037037   9.62962963] ; [35.62962963  1.37037037],0
p6,1,0.570989,0.321031,[120 137] ; [15 21],[118.41296928 138.58703072] ; [16.58703072 19.41296928],0
r1,1,0.581965,0.303069,[218  41] ; [29  7],[216.85762712  42.14237288] ; [30.14237288  5.85762712],0
n3,1,0.602257,0.271605,[40 14] ; [8 4],[39.27272727 14.72727273] ; [8.72727273 3.27272727],0
p7,1,0.647882,0.20858,[176  74] ; [24 12],[174.82517483  75.17482517] ; [25.17482517 10.82517483],0
r4,1,0.649457,0.206585,[244  16] ; [34  3],[243.36700337  16.63299663] ; [34.63299663  2.36700337],0
p5,1,0.663089,0.189793,[ 41 214] ; [ 7 30],[ 41.91780822 213.08219178] ; [ 6.08219178 30.91780822],0
n2,1,0.670242,0.181319,[42 12] ; [10  2],[42.54545455 11.45454545] ; [9.45454545 2.54545455],0
a8,1,0.700345,0.148113,[ 42 200] ; [ 5 29],[ 41.21014493 200.78985507] ; [ 5.78985507 28.21014493],0
d4,1,0.705615,0.142696,[223  36] ; [31  6],[222.25  36.75] ; [31.75  5.25],0
p2,1,0.705615,0.142696,[223  36] ; [31  6],[222.25  36.75] ; [31.75  5.25],0
d3,1,0.710976,0.137304,[182  78] ; [27 10],[182.96296296  77.03703704] ; [26.03703704 10.96296296],0
s1,1,0.723909,0.124778,[ 11 247] ; [ 2 34],[ 11.40816327 246.59183673] ; [ 1.59183673 34.40816327],0
u2,1,0.869907,0.026823,[32 19] ; [6 4],[31.7704918 19.2295082] ; [6.2295082 3.7704918],0
n6,1,0.884271,0.021187,[228  30] ; [33  4],[228.26440678  29.73559322] ; [32.73559322  4.26440678],0
n5,1,0.909421,0.012943,[212  47] ; [30  7],[211.75  47.25] ; [30.25  6.75],0
