Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.197386,1.661609,[308 128] ; [25 16],[304.37735849 131.62264151] ; [28.62264151 12.37735849],0
p11,1,0.199562,1.645576,[373  63] ; [32  9],[370.18867925  65.81132075] ; [34.81132075  6.18867925],0
p1,1,0.206268,1.597431,[ 49 386] ; [ 2 39],[ 46.60714286 388.39285714] ; [ 4.39285714 36.60714286],0
r1,1,0.228086,1.452756,[359  73] ; [31 10],[356.19450317  75.80549683] ; [33.80549683  7.19450317],0
a8,1,0.244357,1.355279,[ 58 334] ; [ 3 35],[ 55.60930233 336.39069767] ; [ 5.39069767 32.60930233],0
r2,1,0.247936,1.334898,[406  23] ; [37  4],[404.35531915  24.64468085] ; [38.64468085  2.35531915],0
s8,1,0.257279,1.28334,[224 209] ; [25 16],[227.46202532 205.53797468] ; [21.53797468 19.46202532],0
v3,1,0.335689,0.926825,[181 237] ; [13 24],[178.22417582 239.77582418] ; [15.77582418 21.22417582],0
d1,1,0.348876,0.877543,[287 149] ; [24 17],[284.26834382 151.73165618] ; [26.73165618 14.26834382],0
n1,1,0.380428,0.769318,[30 44] ; [6 5],[31.34117647 42.65882353] ; [4.65882353 6.34117647],0
p5,1,0.402428,0.701059,[ 81 354] ; [ 5 33],[ 79.09090909 355.90909091] ; [ 6.90909091 31.09090909],0
u4,1,0.442579,0.589586,[ 12 423] ; [ 2 39],[ 12.79411765 422.20588235] ; [ 1.20588235 39.79411765],0
v2,1,0.460885,0.543745,[254 170] ; [21 18],[251.83585313 172.16414687] ; [23.16414687 15.83585313],0
n6,1,0.462948,0.538758,[386  47] ; [35  6],[384.58438819  48.41561181] ; [36.41561181  4.58438819],0
a4,1,0.463883,0.53651,[218 217] ; [23 18],[220.24159664 214.75840336] ; [20.75840336 20.24159664],0
s1,1,0.492285,0.471528,[ 13 419] ; [ 2 38],[ 13.72881356 418.27118644] ; [ 1.27118644 38.72881356],0
s2,1,0.496625,0.462142,[246 186] ; [25 15],[248.03389831 183.96610169] ; [22.96610169 17.03389831],0
s3,1,0.509242,0.435625,[253 176] ; [22 19],[251.0106383 177.9893617] ; [23.9893617 17.0106383],0
u3,1,0.521426,0.411073,[62 37] ; [10  4],[63.07964602 35.92035398] ; [8.92035398 5.07964602],0
b5,1,0.558452,0.342391,[256 180] ; [26 15],[257.76100629 178.23899371] ; [24.23899371 16.76100629],0
s7,1,0.571631,0.319962,[243 170] ; [20 17],[241.37555556 171.62444444] ; [21.62444444 15.37555556],0
v4,1,0.579433,0.307152,[418  14] ; [39  2],[417.38689218  14.61310782] ; [39.61310782  1.38689218],0
p6,1,0.580362,0.305649,[227 209] ; [19 21],[225.32773109 210.67226891] ; [20.67226891 19.32773109],0
a1,1,0.581903,0.303168,[ 23 413] ; [ 3 38],[ 23.76519916 412.23480084] ; [ 2.23480084 38.76519916],0
r3,1,0.591954,0.287304,[415  18] ; [40  1],[415.64345992  17.35654008] ; [39.35654008  1.64345992],0
b4,1,0.632218,0.229064,[249 187] ; [25 16],[250.44863732 185.55136268] ; [23.55136268 17.44863732],0
r4,1,0.658013,0.195946,[402  34] ; [37  4],[401.26624738  34.73375262] ; [37.73375262  3.26624738],0
b3,1,0.688784,0.160405,[108 165] ; [13 17],[109.01980198 163.98019802] ; [11.98019802 18.01980198],0
b2,1,0.688784,0.160405,[108 165] ; [13 17],[109.01980198 163.98019802] ; [11.98019802 18.01980198],0
s6,1,0.702473,0.145912,[319 105] ; [29 11],[318. 106.] ; [30. 10.],0
s5,1,0.757866,0.095039,[169 249] ; [14 23],[168.11868132 249.88131868] ; [14.88131868 22.11868132],0
u1,1,0.811159,0.057088,[ 92 344] ; [ 8 33],[ 91.40461216 344.59538784] ; [ 8.59538784 32.40461216],0
p12,1,0.817304,0.053368,[ 48 388] ; [ 5 36],[ 48.44444444 387.55555556] ; [ 4.55555556 36.44444444],0
v1,1,0.862834,0.029849,[263 163] ; [24 14],[263.49568966 162.50431034] ; [23.50431034 14.49568966],0
b1,1,0.904605,0.014363,[166 270] ; [16 25],[166.35639413 269.64360587] ; [15.64360587 25.35639413],0
d2,1,0.933829,0.006894,[231 205] ; [22 19],[231.25366876 204.74633124] ; [21.74633124 19.25366876],0
u2,1,0.946618,0.004483,[64 37] ; [9 5],[64.11304348 36.88695652] ; [8.88695652 5.11304348],0
