Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.018276,5.569461,[24 10] ; [ 9 14],[19.68421053 14.31578947] ; [13.31578947  9.68421053],0
p7,1,0.019703,5.438014,[14 19] ; [17  6],[18.26785714 14.73214286] ; [12.73214286 10.26785714],0
d2,1,0.070753,3.265473,[ 6 28] ; [ 9 14],[ 8.94736842 25.05263158] ; [ 6.05263158 16.94736842],0
s6,1,0.082418,3.016564,[15 19] ; [ 5 18],[11.92982456 22.07017544] ; [ 8.07017544 14.92982456],0
n6,1,0.083301,2.999283,[24 10] ; [11 12],[20.87719298 13.12280702] ; [14.12280702  8.87719298],0
s7,1,0.087931,2.911854,[ 9 23] ; [ 2 20],[ 6.51851852 25.48148148] ; [ 4.48148148 17.51851852],0
p8,1,0.10018,2.702674,[ 7 27] ; [ 9 13],[ 9.71428571 24.28571429] ; [ 6.28571429 15.71428571],0
v3,1,0.122073,2.390514,[12 21] ; [ 4 19],[ 9.42857143 23.57142857] ; [ 6.57142857 16.42857143],0
r2,1,0.140351,2.174108,[28  6] ; [15  8],[25.64912281  8.35087719] ; [17.35087719  5.64912281],0
s5,1,0.14766,2.096257,[ 6 28] ; [ 1 21],[ 4.25 29.75] ; [ 2.75 19.25],0
d3,1,0.166206,1.916834,[15 19] ; [ 6 17],[12.52631579 21.47368421] ; [ 8.47368421 14.52631579],0
v4,1,0.167146,1.908357,[26  8] ; [13  9],[23.67857143 10.32142857] ; [15.32142857  6.67857143],0
s4,1,0.168435,1.896814,[ 3 31] ; [ 5 18],[ 4.77192982 29.22807018] ; [ 3.22807018 19.77192982],0
p2,1,0.173866,1.84929,[13 21] ; [13 10],[15.50877193 18.49122807] ; [10.49122807 12.50877193],0
p1,1,0.211249,1.562848,[ 5 29] ; [ 1 22],[ 3.57894737 30.42105263] ; [ 2.42105263 20.57894737],0
a5,1,0.241552,1.371514,[14 20] ; [ 6 17],[11.92982456 22.07017544] ; [ 8.07017544 14.92982456],0
u3,1,0.255506,1.292946,[ 6 16] ; [6 7],[ 7.54285714 14.45714286] ; [4.45714286 8.54285714],0
a6,1,0.256003,1.290245,[17 17] ; [ 8 15],[14.9122807 19.0877193] ; [10.0877193 12.9122807],0
