Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.44164,[60 22] ; [ 5 19],[50.28301887 31.71698113] ; [14.71698113  9.28301887],1
r3,1,3.1e-05,17.329192,[68 13] ; [10 14],[60.17142857 20.82857143] ; [17.82857143  6.17142857],1
r2,1,0.000392,12.568475,[72  9] ; [13 10],[66.20192308 14.79807692] ; [18.79807692  4.20192308],1
n6,1,0.000406,12.506541,[61 21] ; [ 8 15],[53.88571429 28.11428571] ; [15.11428571  7.88571429],1
r1,1,0.001262,10.396908,[60 22] ; [ 9 15],[53.37735849 28.62264151] ; [15.62264151  8.37735849],0
n2,1,0.007682,7.106103,[22  9] ; [ 4 10],[17.91111111 13.08888889] ; [8.08888889 5.91111111],0
u2,1,0.008662,6.891188,[18 17] ; [ 1 11],[14.14893617 20.85106383] ; [4.85106383 7.14893617],0
p2,1,0.009977,6.638998,[45 37] ; [ 6 18],[39.45283019 42.54716981] ; [11.54716981 12.45283019],0
v2,1,0.022487,5.207734,[38 43] ; [ 5 19],[33.17142857 47.82857143] ; [ 9.82857143 14.17142857],0
p7,1,0.023444,5.135288,[34 47] ; [ 4 20],[29.31428571 51.68571429] ; [ 8.68571429 15.31428571],0
u3,1,0.023656,5.11968,[20 17] ; [ 2 10],[16.6122449 20.3877551] ; [5.3877551 6.6122449],0
p11,1,0.038693,4.274284,[40 42] ; [ 6 18],[35.58490566 46.41509434] ; [10.41509434 13.58490566],0
d5,1,0.04224,4.125558,[62 20] ; [13 11],[58.01886792 23.98113208] ; [16.98113208  7.01886792],0
p10,1,0.043588,4.072445,[18 63] ; [ 1 23],[14.65714286 66.34285714] ; [ 4.34285714 19.65714286],0
n3,1,0.053529,3.727318,[20 10] ; [5 9],[17.04545455 12.95454545] ; [7.95454545 6.04545455],0
p8,1,0.078749,3.090542,[25 57] ; [ 3 21],[21.66037736 60.33962264] ; [ 6.33962264 17.66037736],0
p3,1,0.09726,2.749906,[24 58] ; [ 3 21],[20.88679245 61.11320755] ; [ 6.11320755 17.88679245],0
a7,1,0.171514,1.869658,[53 28] ; [12 12],[50.14285714 30.85714286] ; [14.85714286  9.14285714],0
v3,1,0.186035,1.748744,[24 55] ; [ 4 20],[21.47572816 57.52427184] ; [ 6.52427184 17.47572816],0
s8,1,0.197453,1.661111,[11 69] ; [ 1 23],[ 9.23076923 70.76923077] ; [ 2.76923077 21.23076923],0
d4,1,0.217706,1.519428,[61 20] ; [15  9],[58.62857143 22.37142857] ; [17.37142857  6.62857143],0
p4,1,0.229179,1.445949,[27 53] ; [ 5 19],[24.61538462 55.38461538] ; [ 7.38461538 16.61538462],0
d3,1,0.270546,1.213978,[48 34] ; [11 13],[45.64150943 36.35849057] ; [13.35849057 10.64150943],0
b2,1,0.275258,1.190356,[13 38] ; [6 9],[14.68181818 36.31818182] ; [ 4.31818182 10.68181818],0
b3,1,0.275258,1.190356,[13 38] ; [6 9],[14.68181818 36.31818182] ; [ 4.31818182 10.68181818],0
a1,1,0.296316,1.090701,[ 5 77] ; [ 3 21],[ 6.18867925 75.81132075] ; [ 1.81132075 22.18867925],0
p6,1,0.304271,1.055383,[14 66] ; [ 2 21],[12.42718447 67.57281553] ; [ 3.57281553 19.42718447],0
a5,1,0.320192,0.988163,[47 35] ; [11 13],[44.86792453 37.13207547] ; [13.13207547 10.86792453],0
a6,1,0.337166,0.921179,[50 32] ; [12 12],[47.96226415 34.03773585] ; [14.03773585  9.96226415],0
n1,1,0.345753,0.888982,[11 20] ; [ 3 11],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
p5,1,0.350648,0.871111,[ 1 81] ; [ 1 23],[ 1.54716981 80.45283019] ; [ 0.45283019 23.54716981],0
p12,1,0.350648,0.871111,[ 1 81] ; [ 1 23],[ 1.54716981 80.45283019] ; [ 0.45283019 23.54716981],0
d1,1,0.383806,0.758476,[39 43] ; [ 9 15],[37.13207547 44.86792453] ; [10.86792453 13.13207547],0
s2,1,0.40133,0.704339,[12 68] ; [ 2 22],[10.76923077 69.23076923] ; [ 3.23076923 20.76923077],0
n5,1,0.472356,0.516459,[41 41] ; [14 10],[42.54716981 39.45283019] ; [12.45283019 11.54716981],0
b5,1,0.525663,0.402769,[47 35] ; [12 12],[45.64150943 36.35849057] ; [13.35849057 10.64150943],0
b1,1,0.597623,0.278595,[46 36] ; [12 12],[44.86792453 37.13207547] ; [13.13207547 10.86792453],0
p1,1,0.709388,0.138889,[ 5 76] ; [ 2 22],[ 5.4 75.6] ; [ 1.6 22.4],0
a4,1,0.711239,0.137042,[32 50] ; [ 8 15],[31.23809524 50.76190476] ; [ 8.76190476 14.23809524],0
s4,1,0.712425,0.135867,[ 8 73] ; [ 3 21],[ 8.48571429 72.51428571] ; [ 2.51428571 21.48571429],0
s7,1,0.715217,0.133122,[13 64] ; [ 3 19],[12.44444444 64.55555556] ; [ 3.55555556 18.44444444],0
s1,1,0.718819,0.129627,[ 5 77] ; [ 1 23],[ 4.64150943 77.35849057] ; [ 1.35849057 22.64150943],0
s6,1,0.719363,0.129103,[23 57] ; [ 6 18],[22.30769231 57.69230769] ; [ 6.69230769 17.30769231],0
b4,1,0.7326,0.116738,[51 31] ; [14 10],[50.28301887 31.71698113] ; [14.71698113  9.28301887],0
a2,1,0.753996,0.098204,[16 66] ; [ 4 20],[15.47169811 66.52830189] ; [ 4.52830189 19.47169811],0
s5,1,0.759795,0.093483,[12 68] ; [ 3 21],[11.53846154 68.46153846] ; [ 3.46153846 20.53846154],0
v1,1,0.76824,0.086835,[23 59] ; [ 6 18],[22.43396226 59.56603774] ; [ 6.56603774 17.43396226],0
a8,1,0.794398,0.067914,[ 5 69] ; [ 2 22],[ 5.28571429 68.71428571] ; [ 1.71428571 22.28571429],0
n4,1,0.815939,0.054182,[50 32] ; [14 10],[49.50943396 32.49056604] ; [14.49056604  9.50943396],0
a3,1,0.818047,0.052926,[45 37] ; [12 11],[44.51428571 37.48571429] ; [12.48571429 10.51428571],0
d2,1,0.89515,0.017369,[40 41] ; [11 12],[39.72115385 41.27884615] ; [11.27884615 11.72115385],0
