Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.003219,8.679053,[12 66] ; [7 7],[16.10869565 61.89130435] ; [ 2.89130435 11.10869565],0
s5,1,0.020071,5.40573,[11 67] ; [5 7],[13.86666667 64.13333333] ; [2.13333333 9.86666667],0
b4,1,0.023893,5.102373,[50 32] ; [ 4 10],[46.125 35.875] ; [7.875 6.125],0
s2,1,0.034144,4.487496,[23 58] ; [8 6],[26.43157895 54.56842105] ; [4.56842105 9.43157895],0
r2,1,0.038285,4.292308,[72  8] ; [9 4],[69.67741935 10.32258065] ; [11.32258065  1.67741935],0
s7,1,0.052365,3.764058,[23 54] ; [7 5],[25.95505618 51.04494382] ; [4.04494382 7.95505618],0
p3,1,0.07108,3.257905,[26 55] ; [8 6],[28.98947368 52.01052632] ; [5.01052632 8.98947368],0
n1,1,0.117432,2.451235,[14 13] ; [1 5],[12.27272727 14.72727273] ; [2.72727273 3.27272727],0
a7,1,0.121788,2.394174,[53 29] ; [6 8],[50.39583333 31.60416667] ; [8.60416667 5.39583333],0
d3,1,0.145453,2.119301,[47 34] ; [11  3],[49.45263158 31.54736842] ; [8.54736842 5.45263158],0
s6,1,0.157802,1.995163,[36 46] ; [9 5],[38.4375 43.5625] ; [6.5625 7.4375],0
s3,1,0.196517,1.668072,[36 43] ; [9 5],[38.22580645 40.77419355] ; [6.77419355 7.22580645],0
a2,1,0.228612,1.449477,[17 65] ; [ 1 13],[15.375 66.625] ; [ 2.625 11.375],0
p7,1,0.228732,1.448728,[37 42] ; [9 5],[39.07526882 39.92473118] ; [6.92473118 7.07526882],0
a5,1,0.264738,1.243811,[59 23] ; [8 6],[57.22916667 24.77083333] ; [9.77083333 4.22916667],0
r4,1,0.310673,1.027811,[58 24] ; [8 6],[56.375 25.625] ; [9.625 4.375],0
n5,1,0.340517,0.908484,[52 30] ; [7 7],[50.39583333 31.60416667] ; [8.60416667 5.39583333],0
b5,1,0.388491,0.743659,[51 31] ; [7 7],[49.54166667 32.45833333] ; [8.45833333 5.54166667],0
p10,1,0.391571,0.734058,[41 38] ; [9 5],[42.47311828 36.52688172] ; [7.52688172 6.47311828],0
a8,1,0.397715,0.715225,[13 64] ; [ 1 12],[11.97777778 65.02222222] ; [ 2.02222222 10.97777778],0
p11,1,0.439642,0.597215,[50 32] ; [7 7],[48.6875 33.3125] ; [8.3125 5.6875],0
n2,1,0.532723,0.389194,[22  6] ; [4 2],[21.41176471  6.58823529] ; [4.58823529 1.41176471],0
a6,1,0.550228,0.356909,[53 28] ; [8 6],[52.01052632 28.98947368] ; [8.98947368 5.01052632],0
p5,1,0.554081,0.350057,[ 3 78] ; [ 1 13],[ 3.41052632 77.58947368] ; [ 0.58947368 13.41052632],0
n3,1,0.568261,0.3256,[14 12] ; [4 2],[14.625 11.375] ; [3.375 2.625],0
s1,1,0.569598,0.323356,[ 3 76] ; [ 1 13],[ 3.39784946 75.60215054] ; [ 0.60215054 13.39784946],0
v3,1,0.581163,0.304358,[21 53] ; [5 9],[21.86363636 52.13636364] ; [4.13636364 9.86363636],0
b3,1,0.586953,0.295129,[15 33] ; [2 7],[14.31578947 33.68421053] ; [2.68421053 6.31578947],0
b2,1,0.586953,0.295129,[15 33] ; [2 7],[14.31578947 33.68421053] ; [2.68421053 6.31578947],0
p8,1,0.59913,0.27631,[23 57] ; [5 9],[23.82978723 56.17021277] ; [4.17021277 9.82978723],0
v4,1,0.640517,0.218066,[64 17] ; [11  2],[64.62765957 16.37234043] ; [10.37234043  2.62765957],0
b1,1,0.671548,0.179796,[46 36] ; [7 7],[45.27083333 36.72916667] ; [7.72916667 6.27083333],0
a4,1,0.685626,0.163862,[34 48] ; [5 9],[33.3125 48.6875] ; [5.6875 8.3125],0
s8,1,0.738445,0.111498,[20 62] ; [ 4 10],[20.5 61.5] ; [ 3.5 10.5],0
p2,1,0.771121,0.084628,[54 26] ; [10  4],[54.46808511 25.53191489] ; [9.53191489 4.46808511],0
d2,1,0.778663,0.078996,[38 43] ; [6 8],[37.51578947 43.48421053] ; [6.48421053 7.51578947],0
p4,1,0.788189,0.07218,[32 49] ; [5 9],[31.54736842 49.45263158] ; [5.45263158 8.54736842],0
d5,1,0.835567,0.043084,[60 21] ; [10  4],[59.68421053 21.31578947] ; [10.31578947  3.68421053],0
r3,1,0.867899,0.027665,[66 16] ; [11  3],[65.77083333 16.22916667] ; [11.22916667  2.77083333],0
d1,1,0.874855,0.024805,[37 45] ; [6 8],[36.72916667 45.27083333] ; [6.27083333 7.72916667],0
u3,1,0.877059,0.023932,[13 11] ; [2 2],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
p9,1,0.898541,0.016257,[50 30] ; [9 5],[50.21276596 29.78723404] ; [8.78723404 5.21276596],0
v2,1,0.928241,0.008111,[34 43] ; [6 8],[33.84615385 43.15384615] ; [6.15384615 7.84615385],0
r1,1,0.967935,0.001616,[59 23] ; [10  4],[58.9375 23.0625] ; [10.0625  3.9375],0
u1,1,0.981514,0.000537,[ 6 76] ; [ 1 13],[ 5.97916667 76.02083333] ; [ 1.02083333 12.97916667],0
a3,1,0.989221,0.000183,[58 23] ; [10  4],[57.97894737 23.02105263] ; [10.02105263  3.97894737],0
d4,1,0.989221,0.000183,[58 23] ; [10  4],[57.97894737 23.02105263] ; [10.02105263  3.97894737],0
v1,1,0.98995,0.000159,[34 45] ; [6 8],[33.97849462 45.02150538] ; [6.02150538 7.97849462],0
