Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.239698,[ 4 27] ; [63 42],[15.27205882 15.72794118] ; [51.72794118 53.27205882],1
p2,1,1.5e-05,18.77983,[ 8 22] ; [74 31],[18.22222222 11.77777778] ; [63.77777778 41.22222222],1
r2,1,2.2e-05,18.02509,[12 16] ; [85 18],[20.73282443  7.26717557] ; [76.26717557 26.73282443],1
r3,1,0.000645,11.640306,[15 15] ; [85 20],[22.22222222  7.77777778] ; [77.77777778 27.22222222],1
p9,1,0.001236,10.435112,[13 16] ; [77 24],[20.07692308  8.92307692] ; [69.92307692 31.07692308],0
n6,1,0.001554,10.013869,[14 17] ; [79 26],[21.19852941  9.80147059] ; [71.80147059 33.19852941],0
p1,1,0.001636,9.918869,[ 5 26] ; [  2 103],[ 1.59558824 29.40441176] ; [ 5.40441176 99.59558824],0
p10,1,0.001752,9.792348,[11 19] ; [71 33],[18.35820896 11.64179104] ; [63.64179104 40.35820896],0
s2,1,0.002131,9.43329,[ 3 28] ; [41 64],[10.02941176 20.97058824] ; [33.97058824 71.02941176],0
p7,1,0.002846,8.903831,[ 4 27] ; [43 59],[10.95488722 20.04511278] ; [36.04511278 65.95488722],0
u2,1,0.003558,8.496524,[ 2 13] ; [26 20],[6.8852459 8.1147541] ; [21.1147541 24.8852459],0
s6,1,0.005947,7.566188,[ 6 25] ; [48 54],[12.58646617 18.41353383] ; [41.41353383 60.58646617],0
u3,1,0.006323,7.455865,[ 1 14] ; [21 25],[5.40983607 9.59016393] ; [16.59016393 29.40983607],0
n2,1,0.009602,6.707299,[5 8] ; [33 10],[8.82142857 4.17857143] ; [29.17857143 13.82142857],0
p8,1,0.010301,6.582121,[ 3 26] ; [36 67],[ 8.56818182 20.43181818] ; [30.43181818 72.56818182],0
p11,1,0.023242,5.150312,[14 17] ; [71 34],[19.375 11.625] ; [65.625 39.375],0
p6,1,0.026462,4.925554,[ 2 27] ; [27 76],[ 6.37121212 22.62878788] ; [22.62878788 80.37121212],0
s3,1,0.040222,4.208475,[ 6 24] ; [42 62],[10.74626866 19.25373134] ; [37.25373134 66.74626866],0
s8,1,0.041247,4.165857,[ 2 29] ; [24 81],[ 5.92647059 25.07352941] ; [20.07352941 84.92647059],0
s5,1,0.05098,3.808915,[ 2 28] ; [23 79],[ 5.68181818 24.31818182] ; [19.31818182 82.68181818],0
p4,1,0.074125,3.189227,[ 5 26] ; [34 70],[ 8.95555556 22.04444444] ; [30.04444444 73.95555556],0
d2,1,0.090969,2.857143,[16 14] ; [38 67],[12. 18.] ; [42. 63.],0
s1,1,0.191846,1.703386,[ 2 29] ; [  2 102],[ 0.91851852 30.08148148] ; [  3.08148148 100.91851852],0
s4,1,0.228459,1.450428,[ 4 27] ; [24 81],[ 6.38235294 24.61764706] ; [21.61764706 83.38235294],0
s7,1,0.249177,1.327912,[ 5 25] ; [27 73],[ 7.38461538 22.61538462] ; [24.61538462 75.38461538],0
b4,1,0.250858,1.318517,[21 10] ; [59 46],[18.23529412 12.76470588] ; [61.76470588 43.23529412],0
a1,1,0.263131,1.25221,[ 4 27] ; [ 7 98],[ 2.50735294 28.49264706] ; [ 8.49264706 96.50735294],0
n4,1,0.290718,1.116294,[21 10] ; [60 45],[18.46323529 12.53676471] ; [62.53676471 42.46323529],0
a6,1,0.323315,0.975491,[14 17] ; [58 47],[16.41176471 14.58823529] ; [55.58823529 49.41176471],0
d1,1,0.325655,0.966097,[13 18] ; [34 71],[10.71323529 20.28676471] ; [36.28676471 68.71323529],0
v1,1,0.3297,0.950075,[ 6 24] ; [29 71],[ 8.07692308 21.92307692] ; [26.92307692 73.07692308],0
n1,1,0.341902,0.903288,[6 7] ; [13 28],[4.57407407 8.42592593] ; [14.42592593 26.57407407],0
