Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,29.423244,[18 24] ; [136  27],[31.55121951 10.44878049] ; [122.44878049  40.55121951],1
d3,1,0.0,26.245761,[10 32] ; [110  53],[24.58536585 17.41463415] ; [95.41463415 67.58536585],1
d2,1,1.4e-05,18.812953,[ 6 36] ; [84 79],[18.43902439 23.56097561] ; [71.56097561 91.43902439],1
a3,1,2.7e-05,17.609387,[17 25] ; [120  41],[28.34482759 13.65517241] ; [108.65517241  52.34482759],1
a5,1,0.000355,12.75321,[16 26] ; [111  52],[26.0195122 15.9804878] ; [100.9804878  62.0195122],1
b3,1,0.003937,8.312665,[ 3 21] ; [41 51],[ 9.10344828 14.89655172] ; [34.89655172 57.10344828],0
b2,1,0.003937,8.312665,[ 3 21] ; [41 51],[ 9.10344828 14.89655172] ; [34.89655172 57.10344828],0
a2,1,0.004542,8.053433,[ 1 41] ; [ 34 129],[ 7.17073171 34.82926829] ; [ 27.82926829 135.17073171],0
a6,1,0.005167,7.819899,[19 23] ; [111  51],[26.76470588 15.23529412] ; [103.23529412  58.76470588],0
a4,1,0.010624,6.527168,[ 9 33] ; [70 93],[16.18536585 25.81463415] ; [ 62.81463415 100.18536585],0
a7,1,0.062495,3.469913,[23 19] ; [114  49],[28.06829268 13.93170732] ; [108.93170732  54.06829268],0
n1,1,0.076465,3.13848,[2 9] ; [25 28],[4.640625 6.359375] ; [22.359375 30.640625],0
u1,1,0.083642,2.992673,[ 2 40] ; [ 24 139],[ 5.32682927 36.67317073] ; [ 20.67317073 142.32682927],0
n3,1,0.114496,2.491044,[9 1] ; [35 19],[6.875 3.125] ; [37.125 16.875],0
s1,1,0.124728,2.356917,[ 4 38] ; [  6 154],[ 2.07920792 39.92079208] ; [  7.92079208 152.07920792],0
n6,1,0.135721,2.225818,[35  7] ; [116  45],[31.24137931 10.75862069] ; [119.75862069  41.24137931],0
p6,1,0.14004,2.177517,[ 5 37] ; [ 35 123],[ 8.4 33.6] ; [ 31.6 126.4],0
u2,1,0.143832,2.136478,[10 15] ; [24 17],[12.87878788 12.12121212] ; [21.12121212 19.87878788],0
s5,1,0.165458,1.923624,[11 31] ; [57 94],[14.79792746 27.20207254] ; [53.20207254 97.79792746],0
r1,1,0.16727,1.907239,[28 13] ; [128  35],[31.35294118  9.64705882] ; [124.64705882  38.35294118],0
r4,1,0.16764,1.903922,[38  4] ; [133  30],[35.03414634  6.96585366] ; [135.96585366  27.03414634],0
p11,1,0.177397,1.819293,[34  8] ; [115  48],[30.52682927 11.47317073] ; [118.47317073  44.52682927],0
v2,1,0.216209,1.529356,[17 21] ; [85 67],[20.4 17.6] ; [81.6 70.4],0
s2,1,0.246076,1.345447,[26 16] ; [116  47],[29.09268293 12.90731707] ; [112.90731707  50.09268293],0
s4,1,0.261889,1.258742,[12 30] ; [ 33 128],[ 9.31034483 32.68965517] ; [ 35.68965517 125.31034483],0
n2,1,0.270547,1.213972,[10  1] ; [41 13],[8.63076923 2.36923077] ; [42.36923077 11.63076923],0
s7,1,0.287446,1.131545,[18 21] ; [89 71],[20.96984925 18.03015075] ; [86.03015075 73.96984925],0
a8,1,0.293163,1.105038,[ 4 34] ; [ 27 127],[ 6.13541667 31.86458333] ; [ 24.86458333 129.13541667],0
s8,1,0.319343,0.991636,[17 25] ; [80 83],[19.87317073 22.12682927] ; [77.12682927 85.87317073],0
v4,1,0.384883,0.755047,[38  2] ; [147  15],[36.63366337  3.36633663] ; [148.36633663  13.63366337],0
b4,1,0.396483,0.718967,[28 14] ; [97 66],[25.6097561 16.3902439] ; [99.3902439 63.6097561],0
p1,1,0.418588,0.654276,[ 4 37] ; [ 10 152],[ 2.82758621 38.17241379] ; [ 11.17241379 150.82758621],0
p12,1,0.464073,0.536053,[ 1 41] ; [  8 152],[ 1.87128713 40.12871287] ; [  7.12871287 152.87128713],0
s6,1,0.47669,0.506427,[30 12] ; [122  37],[31.76119403 10.23880597] ; [120.23880597  38.76119403],0
n5,1,0.492642,0.47075,[30 12] ; [106  55],[28.13793103 13.86206897] ; [107.86206897  53.13793103],0
r2,1,0.611137,0.258522,[40  2] ; [154   5],[40.53731343  1.46268657] ; [153.46268657   5.53731343],0
p8,1,0.636828,0.222915,[15 27] ; [ 51 109],[13.72277228 28.27722772] ; [ 52.27722772 107.72277228],0
n4,1,0.661339,0.191901,[31 11] ; [114  48],[29.85294118 12.14705882] ; [115.14705882  46.85294118],0
b5,1,0.67166,0.179667,[24 18] ; [99 64],[25.2 16.8] ; [97.8 65.2],0
b1,1,0.675731,0.174972,[14 28] ; [ 60 103],[15.16097561 26.83902439] ; [ 58.83902439 104.16097561],0
p9,1,0.708974,0.139304,[33  9] ; [129  30],[33.85074627  8.14925373] ; [128.14925373  30.85074627],0
u3,1,0.718301,0.130126,[14 11] ; [26 17],[14.70588235 10.29411765] ; [25.29411765 17.70588235],0
v1,1,0.800924,0.06358,[18 21] ; [76 81],[18.70408163 20.29591837] ; [75.29591837 81.70408163],0
r3,1,0.826155,0.04824,[39  3] ; [151  10],[39.31034483  2.68965517] ; [150.68965517  10.31034483],0
v3,1,0.841966,0.039752,[14 26] ; [ 53 106],[13.46733668 26.53266332] ; [ 53.53266332 105.46733668],0
p10,1,0.864404,0.029163,[31 10] ; [123  37],[31.41293532  9.58706468] ; [122.58706468  37.41293532],0
p3,1,0.905754,0.014018,[10 32] ; [ 40 122],[10.29411765 31.70588235] ; [ 39.70588235 122.29411765],0
p2,1,0.983062,0.000451,[30 11] ; [119  44],[29.94607843 11.05392157] ; [119.05392157  43.94607843],0
p5,1,0.991134,0.000123,[ 1 40] ; [  4 158],[ 1.00985222 39.99014778] ; [  3.99014778 158.00985222],0
p7,1,1.0,0.0,[20 20] ; [76 76],[20. 20.] ; [76. 76.],0
