Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.015906,5.813253,[57  4] ; [55 15],[52.15267176  8.84732824] ; [59.84732824 10.15267176],0
n4,1,0.017768,5.618911,[50 11] ; [45 26],[43.90151515 17.09848485] ; [51.09848485 19.90151515],0
p10,1,0.028036,4.825882,[52  7] ; [50 19],[47.015625 11.984375] ; [54.984375 14.015625],0
a2,1,0.030688,4.670327,[18 43] ; [10 61],[12.93939394 48.06060606] ; [15.06060606 55.93939394],0
p9,1,0.03379,4.505306,[52  6] ; [51 17],[47.41269841 10.58730159] ; [55.58730159 12.41269841],0
r4,1,0.04446,4.039006,[57  4] ; [58 13],[53.14393939  7.85606061] ; [61.85606061  9.14393939],0
p8,1,0.051116,3.804471,[35 24] ; [29 40],[29.5 29.5] ; [34.5 34.5],0
d1,1,0.064487,3.418066,[39 22] ; [34 37],[33.73484848 27.26515152] ; [39.26515152 31.73484848],0
v2,1,0.069932,3.284621,[36 23] ; [32 39],[30.86153846 28.13846154] ; [37.13846154 33.86153846],0
v4,1,0.080112,3.062631,[58  2] ; [61  8],[55.34883721  4.65116279] ; [63.65116279  5.34883721],0
v3,1,0.107181,2.595298,[23 38] ; [17 52],[18.76923077 42.23076923] ; [21.23076923 47.76923077],0
u1,1,0.115734,2.474127,[13 48] ; [ 8 63],[ 9.70454545 51.29545455] ; [11.29545455 59.70454545],0
b5,1,0.122232,2.388485,[34 27] ; [30 41],[29.57575758 31.42424242] ; [34.42424242 36.57575758],0
s2,1,0.126027,2.340771,[39 22] ; [36 35],[34.65909091 26.34090909] ; [40.34090909 30.65909091],0
s7,1,0.148582,2.086747,[19 40] ; [30 37],[22.94444444 36.05555556] ; [26.05555556 40.94444444],0
b2,1,0.178037,1.813936,[14 18] ; [13 32],[11.22077922 20.77922078] ; [15.77922078 29.22077922],0
b3,1,0.178037,1.813936,[14 18] ; [13 32],[11.22077922 20.77922078] ; [15.77922078 29.22077922],0
n5,1,0.187003,1.741071,[45 15] ; [45 25],[41.53846154 18.46153846] ; [48.46153846 21.53846154],0
p12,1,0.217521,1.520649,[ 8 51] ; [ 5 66],[ 5.9 53.1] ; [ 7.1 63.9],0
s6,1,0.249418,1.326563,[44 15] ; [58 12],[46.65116279 12.34883721] ; [55.34883721 14.65116279],0
s4,1,0.280791,1.163257,[12 47] ; [20 50],[14.63565891 44.36434109] ; [17.36434109 52.63565891],0
d5,1,0.283643,1.149551,[51 10] ; [54 17],[48.52272727 12.47727273] ; [56.47727273 14.52272727],0
d2,1,0.303471,1.058878,[32 28] ; [31 39],[29.07692308 30.92307692] ; [33.92307692 36.07692308],0
a3,1,0.38752,0.74671,[43 18] ; [45 26],[40.66666667 20.33333333] ; [47.33333333 23.66666667],0
d3,1,0.38752,0.74671,[43 18] ; [45 26],[40.66666667 20.33333333] ; [47.33333333 23.66666667],0
u3,1,0.395094,0.723208,[12  6] ; [14 12],[10.63636364  7.36363636] ; [15.36363636 10.63636364],0
p11,1,0.407555,0.685921,[50 11] ; [54 17],[48.06060606 12.93939394] ; [55.93939394 15.06060606],0
a1,1,0.422087,0.644497,[ 3 58] ; [ 6 65],[ 4.15909091 56.84090909] ; [ 4.84090909 66.15909091],0
p2,1,0.442374,0.590116,[51  8] ; [57 13],[49.39534884  9.60465116] ; [58.60465116 11.39534884],0
p7,1,0.458526,0.54949,[39 20] ; [40 27],[36.99206349 22.00793651] ; [42.00793651 24.99206349],0
p5,1,0.48384,0.490195,[13 46] ; [12 58],[11.43410853 47.56589147] ; [13.56589147 56.43410853],0
s1,1,0.53032,0.393779,[ 2 58] ; [ 4 67],[ 2.7480916 57.2519084] ; [ 3.2519084 67.7480916],0
n6,1,0.547102,0.362534,[51  9] ; [62  8],[52.15384615  7.84615385] ; [60.84615385  9.15384615],0
n2,1,0.547435,0.361932,[9 1] ; [13  3],[8.46153846 1.53846154] ; [13.53846154  2.46153846],0
a7,1,0.580921,0.304748,[42 19] ; [45 25],[40.51145038 20.48854962] ; [46.48854962 23.51145038],0
n3,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
r3,1,0.630843,0.230919,[57  4] ; [62  6],[56.27131783  4.72868217] ; [62.72868217  5.27131783],0
a8,1,0.651517,0.203993,[ 7 51] ; [ 6 57],[ 6.23140496 51.76859504] ; [ 6.76859504 56.23140496],0
p3,1,0.663619,0.189158,[33 26] ; [37 34],[31.76923077 27.23076923] ; [38.23076923 32.76923077],0
r1,1,0.686129,0.163308,[48 13] ; [53 17],[47.03053435 13.96946565] ; [53.96946565 16.03053435],0
p6,1,0.69293,0.155932,[22 35] ; [25 46],[20.9296875 36.0703125] ; [26.0703125 44.9296875],0
a5,1,0.720894,0.127638,[43 18] ; [48 23],[42.0530303 18.9469697] ; [48.9469697 22.0530303],0
p4,1,0.752801,0.099192,[37 22] ; [42 28],[36.13178295 22.86821705] ; [42.86821705 27.13178295],0
s3,1,0.76734,0.087531,[33 25] ; [38 32],[32.171875 25.828125] ; [38.828125 31.171875],0
u2,1,0.789034,0.071591,[9 9] ; [11 13],[8.57142857 9.42857143] ; [11.42857143 12.57142857],0
b1,1,0.804991,0.060956,[21 40] ; [23 48],[20.33333333 40.66666667] ; [23.66666667 47.33333333],0
a6,1,0.816307,0.053962,[34 27] ; [41 30],[34.65909091 26.34090909] ; [40.34090909 30.65909091],0
r2,1,0.821778,0.050742,[56  4] ; [66  4],[56.30769231  3.69230769] ; [65.69230769  4.30769231],0
b4,1,0.878134,0.023512,[42 19] ; [48 23],[41.59090909 19.40909091] ; [48.40909091 22.59090909],0
a4,1,0.882188,0.021962,[30 31] ; [34 37],[29.57575758 31.42424242] ; [34.42424242 36.57575758],0
p1,1,0.990402,0.000145,[ 8 53] ; [ 9 60],[ 7.97692308 53.02307692] ; [ 9.02307692 59.97692308],0
n1,1,1.0,0.0,[4 6] ; [6 9],[4. 6.] ; [6. 9.],0
