Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8.9e-05,15.353001,[96 12] ; [14 11],[89.32330827 18.67669173] ; [20.67669173  4.32330827],1
b1,1,0.006558,7.390302,[50 59] ; [19  6],[56.12686567 52.87313433] ; [12.87313433 12.12686567],0
b4,1,0.007141,7.237229,[46 63] ; [18  7],[52.05970149 56.94029851] ; [11.94029851 13.05970149],0
a5,1,0.008894,6.843967,[88 21] ; [14 11],[82.97014925 26.02985075] ; [19.02985075  5.97014925],0
p9,1,0.018955,5.505638,[97 11] ; [18  7],[93.38345865 14.61654135] ; [21.61654135  3.38345865],0
d5,1,0.021351,5.29792,[91 17] ; [16  9],[86.88721805 21.11278195] ; [20.11278195  4.88721805],0
s8,1,0.042139,4.129615,[83 26] ; [14 11],[78.90298507 30.09701493] ; [18.09701493  6.90298507],0
r3,1,0.043752,4.066101,[106   3] ; [22  3],[104.11940299   4.88059701] ; [23.88059701  1.11940299],0
s1,1,0.043752,4.066101,[  3 106] ; [ 3 22],[  4.88059701 104.11940299] ; [ 1.11940299 23.88059701],0
s3,1,0.047912,3.913068,[86 23] ; [15 10],[82.15671642 26.84328358] ; [18.84328358  6.15671642],0
p7,1,0.053682,3.722553,[77 30] ; [13 12],[72.95454545 34.04545455] ; [17.04545455  7.95454545],0
v3,1,0.058671,3.574564,[54 53] ; [ 7 17],[49.82442748 57.17557252] ; [11.17557252 12.82442748],0
a3,1,0.060101,3.534603,[95 14] ; [18  7],[91.91791045 17.08208955] ; [21.08208955  3.91791045],0
v4,1,0.077056,3.125935,[101   6] ; [21  4],[98.89393939  8.10606061] ; [23.10606061  1.89393939],0
r2,1,0.077056,3.125935,[101   6] ; [21  4],[98.89393939  8.10606061] ; [23.10606061  1.89393939],0
n6,1,0.078745,3.09061,[96 13] ; [17  6],[93.31060606 15.68939394] ; [19.68939394  3.31060606],0
r4,1,0.111132,2.538053,[93 16] ; [18  7],[90.29104478 18.70895522] ; [20.70895522  4.29104478],0
p6,1,0.133458,2.251813,[52 55] ; [ 8 17],[48.63636364 58.36363636] ; [11.36363636 13.63636364],0
