Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.294691,[20 98] ; [42 45],[35.68780488 82.31219512] ; [26.31219512 60.68780488],1
v1,1,7.3e-05,15.727025,[30 88] ; [47 43],[43.68269231 74.31730769] ; [33.31730769 56.68269231],1
r3,1,0.000237,13.508695,[89 29] ; [85  5],[98.71153846 19.28846154] ; [75.28846154 14.71153846],1
d4,1,0.000329,12.897514,[77 42] ; [78 12],[88.25358852 30.74641148] ; [66.74641148 23.25358852],1
v4,1,0.00093,10.96108,[93 26] ; [86  5],[101.43333333  17.56666667] ; [77.56666667 13.43333333],1
r1,1,0.0016,9.96022,[66 52] ; [70 21],[76.784689 41.215311] ; [59.215311 31.784689],0
r4,1,0.005146,7.827524,[79 40] ; [76 15],[87.83333333 31.16666667] ; [67.16666667 23.83333333],0
r2,1,0.011724,6.352074,[94 24] ; [83  7],[100.41346154  17.58653846] ; [76.58653846 13.41346154],0
p10,1,0.012446,6.246206,[61 57] ; [62 28],[69.77884615 48.22115385] ; [53.22115385 36.77884615],0
d1,1,0.013457,6.107976,[45 74] ; [50 41],[53.83333333 65.16666667] ; [41.16666667 49.83333333],0
p2,1,0.013664,6.080981,[66 52] ; [66 25],[74.52631579 43.47368421] ; [57.47368421 33.52631579],0
d3,1,0.016184,5.78278,[59 58] ; [61 30],[67.5 49.5] ; [52.5 38.5],0
d5,1,0.020345,5.382023,[76 42] ; [72 19],[83.55980861 34.44019139] ; [64.44019139 26.55980861],0
p7,1,0.023245,5.150095,[40 78] ; [45 46],[47.99043062 70.00956938] ; [37.00956938 53.99043062],0
p9,1,0.034495,4.469984,[67 47] ; [65 24],[74.12807882 39.87192118] ; [57.87192118 31.12807882],0
a3,1,0.035179,4.436453,[69 49] ; [66 25],[76.22009569 41.77990431] ; [58.77990431 32.22009569],0
a4,1,0.061164,3.505531,[37 81] ; [40 51],[43.47368421 74.52631579] ; [33.52631579 57.47368421],0
p11,1,0.065794,3.384943,[69 50] ; [64 27],[75.36666667 43.63333333] ; [57.63333333 33.36666667],0
p3,1,0.06855,3.317396,[19 99] ; [24 67],[24.27751196 93.72248804] ; [18.72248804 72.27751196],0
p6,1,0.109196,2.565815,[ 12 105] ; [16 73],[ 15.90291262 101.09708738] ; [12.09708738 76.90291262],0
s8,1,0.113536,2.5043,[ 17 100] ; [21 70],[21.375 95.625] ; [16.625 74.375],0
a7,1,0.14231,2.152798,[71 47] ; [63 27],[76.01923077 41.98076923] ; [57.98076923 32.01923077],0
n6,1,0.150433,2.067858,[83 35] ; [72 19],[87.51196172 30.48803828] ; [67.48803828 23.51196172],0
p1,1,0.182118,1.780251,[  9 109] ; [ 3 88],[  6.77511962 111.22488038] ; [ 5.22488038 85.77511962],0
a6,1,0.223628,1.480935,[70 49] ; [61 30],[74.23333333 44.76666667] ; [56.76666667 34.23333333],0
s5,1,0.231217,1.433361,[ 15 102] ; [17 73],[18.08695652 98.91304348] ; [13.91304348 76.08695652],0
n4,1,0.240814,1.375823,[69 50] ; [60 31],[73.1 45.9] ; [55.9 35.1],0
a5,1,0.273439,1.199411,[71 48] ; [61 30],[74.8 44.2] ; [57.2 33.8],0
a8,1,0.305849,1.048517,[  9 106] ; [10 72],[ 11.09137056 103.90862944] ; [ 7.90862944 74.09137056],0
n5,1,0.334,0.933325,[74 45] ; [50 40],[70.60287081 48.39712919] ; [53.39712919 36.60287081],0
n3,1,0.351592,0.867702,[28 19] ; [17  7],[29.78873239 17.21126761] ; [15.21126761  8.78873239],0
n1,1,0.352236,0.865385,[15 33] ; [ 5 19],[13.33333333 34.66666667] ; [ 6.66666667 17.33333333],0
u1,1,0.391101,0.735515,[  9 110] ; [10 81],[ 10.76666667 108.23333333] ; [ 8.23333333 82.76666667],0
u4,1,0.411384,0.674798,[  1 118] ; [ 2 89],[  1.7 117.3] ; [ 1.3 89.7],0
p12,1,0.424622,0.637488,[  5 113] ; [ 2 88],[  3.97115385 114.02884615] ; [ 3.02884615 86.97115385],0
n2,1,0.434697,0.61024,[28 21] ; [16  8],[29.53424658 19.46575342] ; [14.46575342  9.53424658],0
s2,1,0.479187,0.500712,[ 12 106] ; [12 78],[ 13.61538462 104.38461538] ; [10.38461538 79.61538462],0
b1,1,0.520943,0.412026,[51 68] ; [35 56],[48.73333333 70.26666667] ; [37.26666667 53.73333333],0
s4,1,0.52582,0.402462,[ 15 103] ; [ 9 82],[ 13.55023923 104.44976077] ; [10.44976077 80.55023923],0
p5,1,0.527806,0.398614,[  6 112] ; [ 3 88],[  5.08133971 112.91866029] ; [ 3.91866029 87.08133971],0
p8,1,0.559419,0.340711,[34 84] ; [29 60],[35.91304348 82.08695652] ; [27.08695652 61.91304348],0
s7,1,0.565654,0.330009,[20 93] ; [18 68],[21.57788945 91.42211055] ; [16.42211055 69.57788945],0
u3,1,0.617075,0.25,[21 29] ; [ 9 16],[20. 30.] ; [10. 15.],0
s1,1,0.618152,0.248473,[  4 114] ; [ 2 88],[  3.40384615 114.59615385] ; [ 2.59615385 87.40384615],0
b4,1,0.654682,0.200048,[63 56] ; [51 40],[64.6 54.4] ; [49.4 41.6],0
a1,1,0.786884,0.073094,[  9 110] ; [ 6 85],[  8.5 110.5] ; [ 6.5 84.5],0
b2,1,0.805951,0.060345,[23 43] ; [17 35],[22.37288136 43.62711864] ; [17.62711864 34.37288136],0
b3,1,0.805951,0.060345,[23 43] ; [17 35],[22.37288136 43.62711864] ; [17.62711864 34.37288136],0
b5,1,0.854783,0.033496,[76 43] ; [57 34],[75.36666667 43.63333333] ; [57.63333333 33.36666667],0
d2,1,0.950202,0.0039,[46 71] ; [35 55],[45.7826087 71.2173913] ; [35.2173913 54.7826087],0
u2,1,0.989255,0.000181,[23 27] ; [11 13],[22.97297297 27.02702703] ; [11.02702703 12.97297297],0
s6,1,0.989382,0.000177,[35 82] ; [27 63],[35.04347826 81.95652174] ; [26.95652174 63.04347826],0
a2,1,0.990279,0.000148,[21 98] ; [16 75],[20.96666667 98.03333333] ; [16.03333333 74.96666667],0
