Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000889,11.045753,[27 53] ; [19  8],[34.39252336 45.60747664] ; [11.60747664 15.39252336],1
s6,1,0.001579,9.983515,[39 40] ; [22  4],[45.8952381 33.1047619] ; [15.1047619 10.8952381],0
a1,1,0.002788,8.941435,[ 3 77] ; [ 6 21],[ 6.72897196 73.27102804] ; [ 2.27102804 24.72897196],0
p6,1,0.006314,7.458493,[25 51] ; [17 10],[30.99029126 45.00970874] ; [11.00970874 15.99029126],0
s7,1,0.010047,6.626533,[23 51] ; [16 11],[28.57425743 45.42574257] ; [10.42574257 16.57425743],0
d4,1,0.016626,5.735443,[48 32] ; [23  4],[53.08411215 26.91588785] ; [17.91588785  9.08411215],0
b5,1,0.019402,5.464932,[53 27] ; [11 16],[47.85046729 32.14953271] ; [16.14953271 10.85046729],0
p5,1,0.023759,5.11213,[ 7 72] ; [ 7 20],[10.43396226 68.56603774] ; [ 3.56603774 23.43396226],0
b4,1,0.029299,4.749934,[40 40] ; [20  7],[44.85981308 35.14018692] ; [15.14018692 11.85981308],0
r4,1,0.032828,4.554706,[47 33] ; [22  5],[51.58878505 28.41121495] ; [17.41121495  9.58878505],0
a5,1,0.039443,4.241691,[38 42] ; [19  8],[42.61682243 37.38317757] ; [14.38317757 12.61682243],0
d1,1,0.072319,3.229593,[26 54] ; [14 13],[29.90654206 50.09345794] ; [10.09345794 16.90654206],0
b2,1,0.077497,3.116629,[11 41] ; [ 8 11],[13.91549296 38.08450704] ; [ 5.08450704 13.91549296],0
b3,1,0.077497,3.116629,[11 41] ; [ 8 11],[13.91549296 38.08450704] ; [ 5.08450704 13.91549296],0
s3,1,0.082568,3.013612,[34 44] ; [17 10],[37.88571429 40.11428571] ; [13.11428571 13.88571429],0
n3,1,0.10065,2.695221,[21  5] ; [6 5],[18.97297297  7.02702703] ; [8.02702703 2.97297297],0
v2,1,0.11466,2.48879,[32 48] ; [15 11],[35.47169811 44.52830189] ; [11.52830189 14.47169811],0
v4,1,0.116238,2.467294,[67 12] ; [26  1],[69.31132075  9.68867925] ; [23.68867925  3.31132075],0
u3,1,0.126373,2.336508,[12 24] ; [6 4],[14.08695652 21.91304348] ; [3.91304348 6.08695652],0
p1,1,0.165611,1.922228,[ 5 75] ; [ 4 23],[ 6.72897196 73.27102804] ; [ 2.27102804 24.72897196],0
s4,1,0.177503,1.818407,[14 66] ; [ 8 19],[16.44859813 63.55140187] ; [ 5.55140187 21.44859813],0
d3,1,0.20303,1.620444,[41 37] ; [18  9],[43.82857143 34.17142857] ; [15.17142857 11.82857143],0
d5,1,0.203879,1.614365,[51 28] ; [21  6],[53.66037736 25.33962264] ; [18.33962264  8.66037736],0
p12,1,0.274659,1.193332,[ 4 75] ; [ 3 24],[ 5.21698113 73.78301887] ; [ 1.78301887 25.21698113],0
v1,1,0.289918,1.12,[32 48] ; [13 12],[34.28571429 45.71428571] ; [10.71428571 14.28571429],0
n1,1,0.298488,1.080935,[ 9 16] ; [6 5],[10.41666667 14.58333333] ; [4.58333333 6.41666667],0
n2,1,0.317497,0.99923,[17  9] ; [9 2],[18.27027027  7.72972973] ; [7.72972973 3.27027027],0
a4,1,0.32729,0.95959,[19 61] ; [ 9 18],[20.93457944 59.06542056] ; [ 7.06542056 19.93457944],0
p4,1,0.348535,0.878783,[47 31] ; [19  8],[49.02857143 28.97142857] ; [16.97142857 10.02857143],0
a3,1,0.352015,0.866179,[44 36] ; [17  9],[46.03773585 33.96226415] ; [14.96226415 11.03773585],0
a7,1,0.362735,0.828404,[46 33] ; [13 14],[43.97169811 35.02830189] ; [15.02830189 11.97169811],0
a6,1,0.390808,0.736426,[49 31] ; [14 13],[47.10280374 32.89719626] ; [15.89719626 11.10280374],0
s1,1,0.436223,0.606197,[ 3 77] ; [ 2 25],[ 3.73831776 76.26168224] ; [ 1.26168224 25.73831776],0
s8,1,0.436299,0.605997,[26 54] ; [11 16],[27.6635514 52.3364486] ; [ 9.3364486 17.6635514],0
n6,1,0.472565,0.515972,[59 20] ; [22  5],[60.36792453 18.63207547] ; [20.63207547  6.36792453],0
r2,1,0.480721,0.497227,[61 17] ; [22  4],[62.25 15.75] ; [20.75  5.25],0
p10,1,0.488012,0.480907,[56 23] ; [21  6],[57.38679245 21.61320755] ; [19.61320755  7.38679245],0
p9,1,0.491325,0.473622,[60 20] ; [22  5],[61.30841121 18.69158879] ; [20.69158879  6.30841121],0
r3,1,0.51734,0.419194,[67 13] ; [24  3],[68.03738318 11.96261682] ; [22.96261682  4.03738318],0
p3,1,0.582837,0.30167,[42 37] ; [16 11],[43.22641509 35.77358491] ; [14.77358491 12.22641509],0
p8,1,0.597211,0.279223,[44 33] ; [17 10],[45.16346154 31.83653846] ; [15.83653846 11.16346154],0
u2,1,0.748428,0.102857,[19 16] ; [6 4],[19.44444444 15.55555556] ; [5.55555556 4.44444444],0
d2,1,0.781792,0.076721,[26 54] ; [ 8 19],[25.42056075 54.57943925] ; [ 8.57943925 18.42056075],0
n4,1,0.84833,0.036577,[52 28] ; [17 10],[51.58878505 28.41121495] ; [17.41121495  9.58878505],0
a2,1,0.869433,0.02702,[ 8 72] ; [ 3 24],[ 8.22429907 71.77570093] ; [ 2.77570093 24.22429907],0
a8,1,0.870453,0.026596,[ 5 72] ; [ 2 25],[ 5.18269231 71.81730769] ; [ 1.81730769 25.18269231],0
p11,1,0.873582,0.025316,[58 22] ; [20  7],[58.31775701 21.68224299] ; [19.68224299  7.31775701],0
p2,1,0.935257,0.006599,[63 15] ; [22  5],[63.14285714 14.85714286] ; [21.85714286  5.14285714],0
b1,1,0.959973,0.002519,[36 44] ; [12 15],[35.88785047 44.11214953] ; [12.11214953 14.88785047],0
v3,1,0.963315,0.002115,[25 55] ; [ 8 18],[24.90566038 55.09433962] ; [ 8.09433962 17.90566038],0
n5,1,0.968395,0.00157,[53 27] ; [18  9],[53.08411215 26.91588785] ; [17.91588785  9.08411215],0
