Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.032122,4.591976,[10 14] ; [11 47],[ 6.14634146 17.85365854] ; [14.85365854 43.14634146],0
s1,1,0.036498,4.373664,[ 4 20] ; [ 2 56],[ 1.75609756 22.24390244] ; [ 4.24390244 53.75609756],0
s2,1,0.054868,3.686095,[ 8 15] ; [ 9 49],[ 4.82716049 18.17283951] ; [12.17283951 45.82716049],0
p2,1,0.059088,3.562809,[15  9] ; [23 35],[11.12195122 12.87804878] ; [26.87804878 31.12195122],0
p9,1,0.059394,3.554217,[15  8] ; [23 32],[11.20512821 11.79487179] ; [26.79487179 28.20512821],0
d3,1,0.061802,3.488347,[17  7] ; [28 30],[13.17073171 10.82926829] ; [31.82926829 26.17073171],0
s3,1,0.064473,3.418402,[10 13] ; [13 44],[ 6.6125 16.3875] ; [16.3875 40.6125],0
n3,1,0.086692,2.934744,[8 4] ; [10 17],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
v3,1,0.109199,2.565773,[ 8 16] ; [10 48],[ 5.26829268 18.73170732] ; [12.73170732 45.26829268],0
s4,1,0.11396,2.498425,[ 1 23] ; [10 48],[ 3.2195122 20.7804878] ; [ 7.7804878 50.2195122],0
u3,1,0.12663,2.333333,[4 4] ; [ 6 21],[2.28571429 5.71428571] ; [ 7.71428571 19.28571429],0
n5,1,0.142926,2.146175,[12 12] ; [39 19],[14.92682927  9.07317073] ; [36.07317073 21.92682927],0
a6,1,0.161269,1.962286,[14 10] ; [24 34],[11.12195122 12.87804878] ; [26.87804878 31.12195122],0
b1,1,0.188652,1.72811,[15  9] ; [27 31],[12.29268293 11.70731707] ; [29.70731707 28.29268293],0
u2,1,0.19765,1.659652,[4 4] ; [ 7 20],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
v2,1,0.200211,1.640833,[10 13] ; [16 40],[ 7.56962025 15.43037975] ; [18.43037975 37.56962025],0
r3,1,0.216781,1.525553,[14  9] ; [26 31],[11.5 11.5] ; [28.5 28.5],0
a5,1,0.240592,1.37712,[15  9] ; [28 30],[12.58536585 11.41463415] ; [30.41463415 27.58536585],0
b4,1,0.263397,1.250814,[13 11] ; [39 19],[15.2195122  8.7804878] ; [36.7804878 21.2195122],0
p3,1,0.269486,1.219361,[ 6 17] ; [ 9 49],[ 4.25925926 18.74074074] ; [10.74074074 47.25925926],0
a3,1,0.306481,1.045781,[16  8] ; [31 26],[13.92592593 10.07407407] ; [33.07407407 23.92592593],0
a2,1,0.306941,1.043794,[ 5 19] ; [ 7 51],[ 3.51219512 20.48780488] ; [ 8.48780488 49.51219512],0
n6,1,0.334772,0.93035,[12 11] ; [37 21],[13.91358025  9.08641975] ; [35.08641975 22.91358025],0
v4,1,0.372276,0.796055,[15  9] ; [30 28],[13.17073171 10.82926829] ; [31.82926829 26.17073171],0
d1,1,0.441012,0.593647,[13 11] ; [26 32],[11.41463415 12.58536585] ; [27.58536585 30.41463415],0
r2,1,0.46069,0.544218,[15  9] ; [30 26],[13.5 10.5] ; [31.5 24.5],0
a7,1,0.48178,0.494831,[13 11] ; [26 31],[11.55555556 12.44444444] ; [27.44444444 29.55555556],0
n2,1,0.490153,0.47619,[7 5] ; [13 15],[6. 6.] ; [14. 14.],0
a1,1,0.491806,0.472573,[ 2 22] ; [ 8 50],[ 2.92682927 21.07317073] ; [ 7.07317073 50.92682927],0
p11,1,0.506732,0.440809,[11 13] ; [22 36],[ 9.65853659 14.34146341] ; [23.34146341 34.65853659],0
s7,1,0.535757,0.38346,[ 6 15] ; [12 43],[ 4.97368421 16.02631579] ; [13.02631579 41.97368421],0
