Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003577,8.486869,[ 6 70] ; [ 7 15],[10.08163265 65.91836735] ; [ 2.91836735 19.08163265],0
u3,1,0.009673,6.694177,[10 21] ; [6 1],[13.05263158 17.94736842] ; [2.94736842 4.05263158],0
s3,1,0.016384,5.761212,[15 60] ; [10 12],[19.32989691 55.67010309] ; [ 5.67010309 16.32989691],0
s7,1,0.030573,4.676793,[ 7 64] ; [ 6 15],[10.0326087 60.9673913] ; [ 2.9673913 18.0326087],0
d5,1,0.035767,4.408185,[50 26] ; [ 9 13],[45.75510204 30.24489796] ; [13.24489796  8.75510204],0
b3,1,0.04582,3.988184,[16 31] ; [10  6],[19.3968254 27.6031746] ; [6.6031746 9.3968254],0
b2,1,0.04582,3.988184,[16 31] ; [10  6],[19.3968254 27.6031746] ; [6.6031746 9.3968254],0
p3,1,0.056688,3.631735,[14 62] ; [ 8 13],[17.2371134 58.7628866] ; [ 4.7628866 16.2371134],0
p4,1,0.073666,3.199395,[11 63] ; [ 7 15],[13.875 60.125] ; [ 4.125 17.875],0
r3,1,0.124742,2.356743,[48 28] ; [17  4],[50.92783505 25.07216495] ; [14.07216495  6.92783505],0
s1,1,0.136817,2.213398,[ 6 70] ; [ 4 17],[ 7.83505155 68.16494845] ; [ 2.16494845 18.83505155],0
n1,1,0.152992,2.042159,[16 22] ; [5 2],[17.73333333 20.26666667] ; [3.26666667 3.73333333],0
s8,1,0.160401,1.970444,[ 6 70] ; [ 4 18],[ 7.75510204 68.24489796] ; [ 2.24489796 19.75510204],0
v3,1,0.177841,1.815574,[15 58] ; [ 7 13],[17.2688172 55.7311828] ; [ 4.7311828 15.2688172],0
u1,1,0.179295,1.80346,[ 4 72] ; [ 3 19],[ 5.42857143 70.57142857] ; [ 1.57142857 20.42857143],0
s4,1,0.179295,1.80346,[ 4 72] ; [ 3 19],[ 5.42857143 70.57142857] ; [ 1.57142857 20.42857143],0
d4,1,0.234062,1.416008,[55 21] ; [13  9],[52.73469388 23.26530612] ; [15.26530612  6.73469388],0
b5,1,0.235312,1.408459,[34 42] ; [13  9],[36.44897959 39.55102041] ; [10.55102041 11.44897959],0
p11,1,0.252207,1.311035,[31 45] ; [12 10],[33.34693878 42.65306122] ; [ 9.65306122 12.34693878],0
b4,1,0.281336,1.160624,[41 35] ; [ 9 13],[38.7755102 37.2244898] ; [11.2244898 10.7755102],0
n3,1,0.331796,0.941876,[18 17] ; [5 2],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
a4,1,0.342341,0.901646,[29 46] ; [11 11],[30.92783505 44.07216495] ; [ 9.07216495 12.92783505],0
p9,1,0.343763,0.896348,[31 41] ; [12 10],[32.93617021 39.06382979] ; [10.06382979 11.93617021],0
d1,1,0.36078,0.835178,[36 40] ; [ 8 14],[34.12244898 41.87755102] ; [ 9.87755102 12.12244898],0
n6,1,0.361678,0.83206,[38 37] ; [13  8],[39.84375 35.15625] ; [11.15625  9.84375],0
v4,1,0.365602,0.818558,[50 26] ; [16  5],[51.71134021 24.28865979] ; [14.28865979  6.71134021],0
p7,1,0.407978,0.684685,[18 56] ; [ 7 14],[19.47368421 54.52631579] ; [ 5.52631579 15.47368421],0
n5,1,0.458051,0.550653,[47 28] ; [15  6],[48.4375 26.5625] ; [13.5625  7.4375],0
v2,1,0.46048,0.544727,[21 50] ; [ 8 13],[22.38043478 48.61956522] ; [ 6.61956522 14.38043478],0
a3,1,0.487239,0.482617,[45 30] ; [15  7],[46.39175258 28.60824742] ; [13.60824742  8.39175258],0
b1,1,0.519891,0.41411,[37 39] ; [ 9 13],[35.67346939 40.32653061] ; [10.32653061 11.67346939],0
