Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,79.521894,[340  69] ; [68 82],[298.51878354 110.48121646] ; [109.48121646  40.51878354],1
d3,1,0.0,69.562644,[333  77] ; [68 82],[293.58928571 116.41071429] ; [107.41071429  42.58928571],1
a2,1,0.0,41.125004,[168 244] ; [ 18 132],[136.35587189 275.64412811] ; [ 49.64412811 100.35587189],1
b5,1,0.0,28.979841,[274 138] ; [62 88],[246.3202847 165.6797153] ; [89.6797153 60.3202847],1
u1,1,0.0,26.911878,[123 289] ; [ 13 137],[ 99.70106762 312.29893238] ; [ 36.29893238 113.70106762],1
p4,1,0.000985,10.855669,[277 131] ; [78 70],[260.50359712 147.49640288] ; [94.49640288 53.50359712],1
b2,1,0.006871,7.306282,[ 97 162] ; [56 50],[108.56712329 150.43287671] ; [44.43287671 61.56712329],0
b3,1,0.006871,7.306282,[ 97 162] ; [56 50],[108.56712329 150.43287671] ; [44.43287671 61.56712329],0
r4,1,0.007578,7.130602,[380  32] ; [127  23],[371.6797153  40.3202847] ; [135.3202847  14.6797153],0
r1,1,0.01455,5.97019,[356  53] ; [118  32],[346.80858676  62.19141324] ; [127.19141324  22.80858676],0
b1,1,0.024316,5.071963,[157 255] ; [73 77],[168.61209964 243.38790036] ; [61.38790036 88.61209964],0
d1,1,0.0272,4.878094,[293 119] ; [92 58],[282.24199288 129.75800712] ; [102.75800712  47.24199288],0
v2,1,0.035966,4.398724,[246 153] ; [76 71],[235.30769231 163.69230769] ; [86.69230769 60.30769231],0
b4,1,0.038016,4.304298,[249 163] ; [76 74],[238.25622776 173.74377224] ; [86.74377224 63.25622776],0
u3,1,0.046711,3.955763,[54 30] ; [10 14],[49.77777778 34.22222222] ; [14.22222222  9.77777778],0
s8,1,0.069706,3.289941,[189 216] ; [83 67],[198.48648649 206.51351351] ; [73.51351351 76.48648649],0
a8,1,0.078291,3.100025,[ 64 299] ; [ 16 126],[ 57.5049505 305.4950495] ; [ 22.4950495 119.5049505],0
r2,1,0.08742,2.921255,[392  12] ; [138   9],[388.60254083  15.39745917] ; [141.39745917   5.60254083],0
