Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,254.053444,[488  62] ; [ 37 111],[413.68194842 136.31805158] ; [111.31805158  36.68194842],1
p2,1,0.0,86.052844,[478  72] ; [78 71],[437.48211731 112.51788269] ; [118.51788269  30.48211731],1
p11,1,0.0,62.79483,[453 100] ; [75 74],[415.93162393 137.06837607] ; [112.06837607  36.93162393],1
r4,1,0.0,37.405734,[496  57] ; [104  45],[472.64957265  80.35042735] ; [127.35042735  21.64957265],1
s6,1,0.0,36.186838,[346 200] ; [53 95],[313.91066282 232.08933718] ; [85.08933718 62.91066282],1
v4,1,0.0,35.809462,[523  26] ; [118  29],[505.61637931  43.38362069] ; [135.38362069  11.61637931],1
r3,1,0.0,32.462147,[528  23] ; [121  26],[512.31948424  38.68051576] ; [136.68051576  10.31948424],1
n6,1,0.0,32.236734,[458  90] ; [92 56],[433.04597701 114.95402299] ; [116.95402299  31.04597701],1
s8,1,0.0,30.35737,[241 310] ; [ 28 120],[212.04434907 338.95565093] ; [56.95565093 91.04434907],1
n5,1,0.0,29.066022,[415 131] ; [79 69],[388.65129683 157.34870317] ; [105.34870317  42.65129683],1
p4,1,0.0,26.83936,[317 232] ; [50 98],[289.07173601 259.92826399] ; [77.92826399 70.07173601],1
p3,1,1e-06,24.672947,[265 287] ; [ 37 110],[238.48927039 313.51072961] ; [63.51072961 83.48927039],1
p8,1,1e-06,24.524474,[278 267] ; [ 42 107],[251.29682997 293.70317003] ; [68.70317003 80.29682997],1
v1,1,5e-06,20.930378,[297 239] ; [51 98],[272.30364964 263.69635036] ; [75.69635036 73.30364964],1
b1,1,7e-06,20.121205,[196 357] ; [83 66],[219.78205128 333.21794872] ; [59.21794872 89.78205128],1
s7,1,8e-06,20.007359,[239 290] ; [ 34 106],[215.86995516 313.13004484] ; [57.13004484 82.86995516],1
s2,1,3.9e-05,16.938216,[256 294] ; [ 41 107],[234.02578797 315.97421203] ; [62.97421203 85.02578797],1
p7,1,9.2e-05,15.2869,[338 203] ; [65 81],[317.35516739 223.64483261] ; [85.64483261 60.35516739],1
r2,1,0.000201,13.825509,[515  29] ; [126  21],[504.63675832  39.36324168] ; [136.36324168  10.63675832],1
p6,1,0.000229,13.573267,[183 362] ; [ 26 120],[164.84081042 380.15918958] ; [ 44.15918958 101.84081042],1
a3,1,0.000337,12.851733,[396 153] ; [84 64],[378.07747489 170.92252511] ; [101.92252511  46.07747489],1
a5,1,0.000385,12.603756,[409 144] ; [88 61],[391.51139601 161.48860399] ; [105.48860399  43.51139601],1
s3,1,0.000574,11.859032,[289 255] ; [55 93],[270.42774566 273.57225434] ; [73.57225434 74.42774566],1
d5,1,0.000851,11.126564,[447 104] ; [102  47],[432.14142857 118.85857143] ; [116.85857143  32.14142857],1
n4,1,0.001402,10.203775,[428 123] ; [96 52],[413.05293276 137.94706724] ; [110.94706724  37.05293276],0
v2,1,0.001506,10.071343,[314 216] ; [64 80],[297.24035608 232.75964392] ; [80.75964392 63.24035608],0
d1,1,0.002097,9.462731,[323 230] ; [66 83],[306.43447293 246.56552707] ; [82.56552707 66.43447293],0
s5,1,0.003404,8.577278,[143 394] ; [ 22 125],[129.53947368 407.46052632] ; [ 35.46052632 111.53947368],0
d3,1,0.006429,7.425893,[373 178] ; [83 66],[358.93714286 192.06285714] ; [97.06285714 51.93714286],0
a7,1,0.009852,6.661471,[402 150] ; [91 56],[389.32188841 162.67811159] ; [103.67811159  43.32188841],0
a8,1,0.009903,6.652241,[ 84 416] ; [ 11 127],[ 74.45141066 425.54858934] ; [ 20.54858934 117.45141066],0
p12,1,0.011483,6.38904,[ 37 513] ; [  2 146],[ 30.73065903 519.26934097] ; [  8.26934097 139.73065903],0
d4,1,0.012653,6.216924,[452  99] ; [107  40],[441.27363897 109.72636103] ; [117.72636103  29.27363897],0
a4,1,0.013259,6.134173,[254 297] ; [51 96],[240.76647564 310.23352436] ; [64.23352436 82.76647564],0
v3,1,0.020962,5.329958,[211 321] ; [ 42 102],[199.10650888 332.89349112] ; [53.89349112 90.10650888],0
s1,1,0.021164,5.313265,[ 13 531] ; [  9 137],[ 17.34492754 526.65507246] ; [  4.65507246 141.34492754],0
b5,1,0.022455,5.210201,[350 203] ; [79 70],[337.94444444 215.05555556] ; [91.05555556 57.94444444],0
n3,1,0.03026,4.694444,[87 30] ; [30 22],[81. 36.] ; [36. 16.],0
a2,1,0.066229,3.374096,[136 417] ; [ 26 123],[127.61538462 425.38461538] ; [ 34.38461538 114.61538462],0
r1,1,0.080123,3.06241,[434 115] ; [107  41],[426.12482066 122.87517934] ; [114.87517934  33.12482066],0
a6,1,0.108956,2.569306,[382 169] ; [93 56],[373.89285714 177.10714286] ; [101.10714286  47.89285714],0
u1,1,0.145684,2.116872,[ 94 459] ; [ 18 131],[ 88.22792023 464.77207977] ; [ 23.77207977 125.22792023],0
n2,1,0.151362,2.058474,[87 31] ; [34 20],[83.01162791 34.98837209] ; [37.98837209 16.01162791],0
u2,1,0.171663,1.868356,[89 65] ; [30 33],[84.4516129 69.5483871] ; [34.5483871 28.4516129],0
u4,1,0.228405,1.450765,[ 12 541] ; [  1 148],[ 10.24074074 542.75925926] ; [  2.75925926 146.24074074],0
u3,1,0.256111,1.289658,[84 70] ; [30 35],[80.16438356 73.83561644] ; [33.83561644 31.16438356],0
b4,1,0.31221,1.021304,[316 237] ; [92 57],[321.4017094 231.5982906] ; [86.5982906 62.4017094],0
b2,1,0.410734,0.676676,[128 202] ; [31 60],[124.63182898 205.36817102] ; [34.36817102 56.63182898],0
b3,1,0.410734,0.676676,[128 202] ; [31 60],[124.63182898 205.36817102] ; [34.36817102 56.63182898],0
a1,1,0.443193,0.588002,[ 25 528] ; [  9 140],[ 26.78347578 526.21652422] ; [  7.21652422 141.78347578],0
p1,1,0.582373,0.302413,[ 34 516] ; [ 11 137],[ 35.45845272 514.54154728] ; [  9.54154728 138.45845272],0
n1,1,0.744681,0.106055,[45 72] ; [19 34],[44.04705882 72.95294118] ; [19.95294118 33.04705882],0
d2,1,0.780521,0.07764,[262 289] ; [68 79],[260.50143266 290.49856734] ; [69.49856734 77.50143266],0
