Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.761582,[36 54] ; [109  29],[57.23684211 32.76315789] ; [87.76315789 50.23684211],1
n6,1,1e-06,24.318832,[45 45] ; [111  26],[61.85022026 28.14977974] ; [94.14977974 42.85022026],1
p10,1,0.014129,6.021898,[44 44] ; [91 46],[52.8 35.2] ; [82.2 54.8],0
u2,1,0.023113,5.159999,[20 12] ; [18 31],[15.01234568 16.98765432] ; [22.98765432 26.01234568],0
d4,1,0.029531,4.736408,[74 16] ; [95 42],[67.00440529 22.99559471] ; [101.99559471  35.00440529],0
a1,1,0.032118,4.592164,[ 2 88] ; [ 13 125],[ 5.92105263 84.07894737] ; [  9.07894737 128.92105263],0
a5,1,0.032687,4.562085,[48 42] ; [93 45],[55.65789474 34.34210526] ; [85.34210526 52.65789474],0
r3,1,0.034775,4.45619,[80 10] ; [106  30],[74.07079646 15.92920354] ; [111.92920354  24.07079646],0
a2,1,0.03917,4.253469,[10 80] ; [ 30 108],[15.78947368 74.21052632] ; [ 24.21052632 113.78947368],0
p11,1,0.090652,2.862758,[50 40] ; [92 46],[56.05263158 33.94736842] ; [85.94736842 52.05263158],0
v2,1,0.096032,2.770236,[40 45] ; [46 83],[34.1588785 50.8411215] ; [51.8411215 77.1588785],0
d5,1,0.098082,2.736454,[68 22] ; [90 48],[62.36842105 27.63157895] ; [95.63157895 42.36842105],0
p9,1,0.142488,2.150879,[53 33] ; [96 39],[57.98190045 28.01809955] ; [91.01809955 43.98190045],0
d3,1,0.165027,1.927549,[56 34] ; [73 65],[50.92105263 39.07894737] ; [78.07894737 59.92105263],0
p12,1,0.205195,1.60501,[ 2 86] ; [  8 129],[ 3.91111111 84.08888889] ; [  6.08888889 130.91111111],0
s4,1,0.212229,1.556155,[19 71] ; [ 20 116],[15.53097345 74.46902655] ; [ 23.46902655 112.53097345],0
a6,1,0.232848,1.423382,[53 37] ; [92 46],[57.23684211 32.76315789] ; [87.76315789 50.23684211],0
d2,1,0.245779,1.347141,[33 57] ; [60 75],[37.2 52.8] ; [55.8 79.2],0
n2,1,0.25759,1.281662,[18 12] ; [41 16],[20.34482759  9.65517241] ; [38.65517241 18.34482759],0
u1,1,0.274786,1.192697,[ 7 83] ; [ 17 121],[ 9.47368421 80.52631579] ; [ 14.52631579 123.47368421],0
a8,1,0.312502,1.020071,[ 5 79] ; [ 13 119],[ 7. 77.] ; [ 11. 121.],0
a7,1,0.321323,0.983553,[61 29] ; [84 53],[57.48898678 32.51101322] ; [87.51101322 49.48898678],0
s8,1,0.328361,0.955352,[19 71] ; [ 37 101],[22.10526316 67.89473684] ; [ 33.89473684 104.10526316],0
v1,1,0.416144,0.66118,[36 53] ; [47 87],[33.12556054 55.87443946] ; [49.87443946 84.12556054],0
p1,1,0.476784,0.506211,[ 6 83] ; [ 13 125],[ 7.44933921 81.55066079] ; [ 11.55066079 126.44933921],0
s6,1,0.48318,0.491676,[37 52] ; [63 73],[39.55555556 49.44444444] ; [60.44444444 75.55555556],0
b4,1,0.492873,0.470248,[54 36] ; [89 49],[56.44736842 33.55263158] ; [86.55263158 51.44736842],0
u3,1,0.499311,0.456401,[18 15] ; [23 26],[16.5 16.5] ; [24.5 24.5],0
b2,1,0.502403,0.449856,[20 26] ; [28 47],[18.24793388 27.75206612] ; [29.75206612 45.24793388],0
b3,1,0.502403,0.449856,[20 26] ; [28 47],[18.24793388 27.75206612] ; [29.75206612 45.24793388],0
v3,1,0.518774,0.416331,[22 61] ; [41 93],[24.09677419 58.90322581] ; [38.90322581 95.09677419],0
p8,1,0.537878,0.379488,[17 72] ; [ 22 116],[15.2907489 73.7092511] ; [ 23.7092511 114.2907489],0
r4,1,0.539725,0.37605,[66 24] ; [96 42],[63.94736842 26.05263158] ; [98.05263158 39.94736842],0
p5,1,0.558232,0.342775,[ 2 87] ; [  5 133],[ 2.74449339 86.25550661] ; [  4.25550661 133.74449339],0
s2,1,0.563703,0.333333,[28 62] ; [47 88],[30. 60.] ; [45. 90.],0
s5,1,0.686543,0.162853,[18 67] ; [ 25 107],[16.84331797 68.15668203] ; [ 26.15668203 105.84331797],0
r2,1,0.708583,0.139696,[78 10] ; [120  18],[77.09734513 10.90265487] ; [120.90265487  17.09734513],0
d1,1,0.714822,0.133508,[42 48] ; [61 77],[40.65789474 49.34210526] ; [62.34210526 75.65789474],0
a3,1,0.745646,0.105226,[57 33] ; [89 47],[58.14159292 31.85840708] ; [87.85840708 48.14159292],0
s3,1,0.752513,0.099431,[37 52] ; [59 76],[38.14285714 50.85714286] ; [57.85714286 77.14285714],0
s1,1,0.781183,0.07716,[ 4 86] ; [  5 130],[ 3.6 86.4] ; [  5.4 129.6],0
r1,1,0.821615,0.050836,[60 30] ; [90 48],[59.21052632 30.78947368] ; [90.78947368 47.21052632],0
u4,1,0.826627,0.047974,[ 1 89] ; [  2 136],[ 1.18421053 88.81578947] ; [  1.81578947 136.18421053],0
p2,1,0.85785,0.032081,[50 40] ; [75 63],[49.34210526 40.65789474] ; [75.65789474 62.34210526],0
a4,1,0.860113,0.031057,[36 54] ; [56 80],[36.63716814 53.36283186] ; [55.36283186 80.63716814],0
b1,1,0.876943,0.023977,[33 57] ; [52 86],[33.55263158 56.44736842] ; [51.44736842 86.55263158],0
b5,1,0.884008,0.021284,[55 35] ; [83 55],[54.47368421 35.52631579] ; [83.52631579 54.47368421],0
n1,1,0.923208,0.009292,[12 18] ; [23 33],[12.20930233 17.79069767] ; [22.79069767 33.20930233],0
p3,1,0.931396,0.007411,[10 79] ; [ 15 123],[ 9.80176211 79.19823789] ; [ 15.19823789 122.80176211],0
n3,1,0.949872,0.003952,[17 11] ; [33 22],[16.86746988 11.13253012] ; [33.13253012 21.86746988],0
p6,1,0.964506,0.00198,[ 7 82] ; [ 11 126],[ 7.08849558 81.91150442] ; [ 10.91150442 126.08849558],0
s7,1,0.968896,0.00152,[25 58] ; [41 94],[25.12844037 57.87155963] ; [40.87155963 94.12844037],0
v4,1,0.978886,0.0007,[73 16] ; [113  25],[72.92511013 16.07488987] ; [113.07488987  24.92511013],0
