Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000125,14.716016,[ 2 22] ; [27 22],[ 9.53424658 14.46575342] ; [19.46575342 29.53424658],1
d5,1,0.009953,6.643222,[14 11] ; [41  8],[18.58108108  6.41891892] ; [36.41891892 12.58108108],0
v2,1,0.012117,6.293706,[ 6 18] ; [27 21],[11. 13.] ; [22. 26.],0
s6,1,0.016866,5.710267,[11 13] ; [35 12],[15.54929577  8.45070423] ; [30.45070423 16.54929577],0
r1,1,0.018369,5.560586,[16  9] ; [42  6],[19.8630137  5.1369863] ; [38.1369863  9.8630137],0
a3,1,0.022362,5.217391,[10 13] ; [35 14],[14.375  8.625] ; [30.625 18.375],0
a6,1,0.03982,4.225518,[ 9 16] ; [30 19],[13.17567568 11.82432432] ; [25.82432432 23.17567568],0
d2,1,0.040687,4.189006,[ 8 17] ; [28 21],[12.16216216 12.83783784] ; [23.83783784 25.16216216],0
u1,1,0.041707,4.147053,[ 1 24] ; [11 38],[ 4.05405405 20.94594595] ; [ 7.94594595 41.05405405],0
r4,1,0.05946,3.552378,[19  6] ; [45  4],[21.62162162  3.37837838] ; [42.37837838  6.62162162],0
r2,1,0.065092,3.402645,[21  3] ; [48  1],[22.68493151  1.31506849] ; [46.31506849  2.68493151],0
b1,1,0.083616,2.993172,[ 7 18] ; [24 25],[10.47297297 14.52702703] ; [20.52702703 28.47297297],0
s5,1,0.088503,2.901385,[ 4 20] ; [17 30],[ 7.09859155 16.90140845] ; [13.90140845 33.09859155],0
p3,1,0.117976,2.443986,[10 15] ; [29 20],[13.17567568 11.82432432] ; [25.82432432 23.17567568],0
n1,1,0.119467,2.424298,[3 5] ; [10  4],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
v1,1,0.119954,2.417916,[ 9 16] ; [27 22],[12.16216216 12.83783784] ; [23.83783784 25.16216216],0
d4,1,0.121361,2.399662,[17  8] ; [41  8],[19.59459459  5.40540541] ; [38.40540541 10.59459459],0
r3,1,0.121913,2.392575,[19  5] ; [45  4],[21.04109589  2.95890411] ; [42.95890411  6.04109589],0
s7,1,0.142177,2.154238,[ 8 14] ; [26 21],[10.84057971 11.15942029] ; [23.15942029 23.84057971],0
d1,1,0.151527,2.056806,[12 13] ; [32 17],[14.86486486 10.13513514] ; [29.13513514 19.86486486],0
p4,1,0.152182,2.050243,[12 12] ; [33 16],[14.79452055  9.20547945] ; [30.20547945 18.79452055],0
s1,1,0.218935,1.511339,[ 2 23] ; [ 1 48],[ 1.01351351 23.98648649] ; [ 1.98648649 47.01351351],0
s8,1,0.251065,1.31737,[ 7 18] ; [20 28],[ 9.24657534 15.75342466] ; [17.75342466 30.24657534],0
p7,1,0.273169,1.200763,[13 11] ; [33 16],[15.12328767  8.87671233] ; [30.87671233 18.12328767],0
v3,1,0.310494,1.028571,[ 8 16] ; [22 26],[10. 14.] ; [20. 28.],0
a7,1,0.320558,0.986667,[15 10] ; [35 14],[16.89189189  8.10810811] ; [33.10810811 15.89189189],0
n3,1,0.435366,0.608466,[4 4] ; [10  5],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
d3,1,0.491418,0.473421,[17  8] ; [37 12],[18.24324324  6.75675676] ; [35.75675676 13.24324324],0
a8,1,0.494289,0.467176,[ 1 20] ; [ 4 37],[ 1.69354839 19.30645161] ; [ 3.30645161 37.69354839],0
n5,1,0.566876,0.327937,[17  8] ; [30 19],[15.87837838  9.12162162] ; [31.12162162 17.87837838],0
s4,1,0.618662,0.247752,[ 4 21] ; [10 38],[ 4.79452055 20.20547945] ; [ 9.20547945 38.79452055],0
a1,1,0.623029,0.241633,[ 1 24] ; [ 1 48],[ 0.67567568 24.32432432] ; [ 1.32432432 47.67567568],0
n6,1,0.632529,0.228647,[18  7] ; [37 11],[18.83561644  6.16438356] ; [36.16438356 11.83561644],0
n2,1,0.651291,0.204276,[7 1] ; [12  3],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
p5,1,0.654943,0.199724,[ 4 21] ; [ 6 43],[ 3.37837838 21.62162162] ; [ 6.62162162 42.37837838],0
p10,1,0.688114,0.161135,[16  9] ; [29 20],[15.2027027  9.7972973] ; [29.7972973 19.2027027],0
b3,1,0.693012,0.155844,[ 3 11] ; [ 6 16],[ 3.5 10.5] ; [ 5.5 16.5],0
b2,1,0.693012,0.155844,[ 3 11] ; [ 6 16],[ 3.5 10.5] ; [ 5.5 16.5],0
u3,1,0.742787,0.107692,[6 9] ; [6 7],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
p6,1,0.758391,0.094614,[10 15] ; [21 27],[10.61643836 14.38356164] ; [20.38356164 27.61643836],0
v4,1,0.760865,0.092626,[23  2] ; [46  3],[23.31081081  1.68918919] ; [45.68918919  3.31081081],0
b4,1,0.813732,0.055514,[15 10] ; [28 21],[14.52702703 10.47297297] ; [28.47297297 20.52702703],0
n4,1,0.816743,0.053702,[17  8] ; [32 17],[16.55405405  8.44594595] ; [32.44594595 16.55405405],0
u2,1,0.836687,0.042491,[7 8] ; [6 8],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
p1,1,0.837177,0.042232,[ 3 22] ; [ 5 43],[ 2.73972603 22.26027397] ; [ 5.26027397 42.73972603],0
s2,1,0.871155,0.026306,[12 13] ; [24 24],[12.32876712 12.67123288] ; [23.67123288 24.32876712],0
p2,1,0.880751,0.022505,[19  6] ; [38 11],[19.25675676  5.74324324] ; [37.74324324 11.25675676],0
s3,1,0.93987,0.00569,[13 11] ; [27 22],[13.15068493 10.84931507] ; [26.84931507 22.15068493],0
b5,1,0.950487,0.003856,[16  9] ; [31 18],[15.87837838  9.12162162] ; [31.12162162 17.87837838],0
p9,1,0.960609,0.002439,[16  9] ; [31 17],[16.09589041  8.90410959] ; [30.90410959 17.09589041],0
