Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.017636,5.631918,[7 4] ; [ 3 13],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
p10,1,0.018728,5.526764,[6 5] ; [ 2 14],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p11,1,0.044685,4.030475,[7 4] ; [ 4 12],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
p2,1,0.044685,4.030475,[7 4] ; [ 4 12],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
r3,1,0.16612,1.917614,[9 2] ; [9 7],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
b4,1,0.16612,1.917614,[9 2] ; [9 7],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
s2,1,0.173566,1.851867,[ 1 10] ; [ 5 11],[2.44444444 8.55555556] ; [ 3.55555556 12.44444444],0
r2,1,0.183902,1.765803,[8 3] ; [7 8],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
p8,1,0.192373,1.699346,[5 5] ; [ 4 12],[3.46153846 6.53846154] ; [ 5.53846154 10.46153846],0
n1,1,0.200751,1.636905,[2 1] ; [2 6],[1.09090909 1.90909091] ; [2.90909091 5.09090909],0
s5,1,0.270673,1.213333,[3 7] ; [ 2 14],[1.92307692 8.07692308] ; [ 3.07692308 12.92307692],0
a3,1,0.280077,1.166717,[9 2] ; [10  6],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
a6,1,0.280077,1.166717,[2 9] ; [ 6 10],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
a7,1,0.309558,1.032561,[7 4] ; [7 9],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
s7,1,0.323727,0.97383,[4 6] ; [ 3 11],[2.91666667 7.08333333] ; [4.08333333 9.91666667],0
s4,1,0.331567,0.942769,[3 8] ; [ 2 14],[2.03703704 8.96296296] ; [ 2.96296296 13.03703704],0
v3,1,0.34509,0.891429,[1 9] ; [ 4 12],[1.92307692 8.07692308] ; [ 3.07692308 12.92307692],0
a5,1,0.381133,0.767045,[5 6] ; [10  6],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
n2,1,0.386916,0.748611,[2 1] ; [3 5],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
p3,1,0.446443,0.579667,[2 9] ; [ 5 11],[2.85185185 8.14814815] ; [ 4.14814815 11.85185185],0
s6,1,0.452651,0.564004,[5 6] ; [ 5 11],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
d1,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
p6,1,0.487561,0.481905,[ 1 10] ; [ 3 13],[1.62962963 9.37037037] ; [ 2.37037037 13.62962963],0
n6,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
s3,1,0.530236,0.393939,[5 6] ; [ 5 10],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
n4,1,0.579639,0.306818,[3 8] ; [ 6 10],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
d5,1,0.579639,0.306818,[8 3] ; [10  6],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
d2,1,0.581206,0.304289,[5 6] ; [9 7],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
b3,1,0.637352,0.222222,[5 4] ; [4 5],[4.5 4.5] ; [4.5 4.5],0
b2,1,0.637352,0.222222,[5 4] ; [4 5],[4.5 4.5] ; [4.5 4.5],0
v2,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
d4,1,0.683017,0.166749,[9 2] ; [14  2],[9.37037037 1.62962963] ; [13.62962963  2.37037037],0
s1,1,0.781814,0.076705,[ 1 10] ; [ 2 14],[1.22222222 9.77777778] ; [ 1.77777778 14.22222222],0
p7,1,0.781814,0.076705,[4 7] ; [ 5 11],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.816334,0.053946,[5 6] ; [8 8],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
b5,1,0.816334,0.053946,[5 6] ; [8 8],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
v1,1,0.824016,0.049454,[3 8] ; [ 5 11],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p4,1,0.824016,0.049454,[3 8] ; [ 5 11],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
r1,1,0.93021,0.00767,[6 5] ; [9 7],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
d3,1,0.93021,0.00767,[6 5] ; [9 7],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
b1,1,0.93021,0.00767,[6 5] ; [9 7],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
