Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,5.9e-05,16.125,[ 7 36] ; [25 18],[16. 27.] ; [16. 27.],1
p8,1,0.001145,10.577112,[ 9 33] ; [24 19],[16.30588235 25.69411765] ; [16.69411765 26.30588235],0
a5,1,0.002527,9.121212,[14 29] ; [28 15],[21. 22.] ; [21. 22.],0
p6,1,0.005907,7.578593,[ 7 35] ; [19 24],[12.84705882 29.15294118] ; [13.15294118 29.84705882],0
s7,1,0.019247,5.478957,[12 29] ; [21 17],[17.12658228 23.87341772] ; [15.87341772 22.12658228],0
d5,1,0.025689,4.976852,[22 21] ; [32 11],[27. 16.] ; [27. 16.],0
s8,1,0.026926,4.89558,[ 8 35] ; [17 25],[12.64705882 30.35294118] ; [12.35294118 29.64705882],0
n1,1,0.040147,4.211667,[ 3 17] ; [7 8],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
p11,1,0.060333,3.528205,[26 17] ; [34  9],[30. 13.] ; [30. 13.],0
p5,1,0.078174,3.102453,[ 2 41] ; [ 7 36],[ 4.5 38.5] ; [ 4.5 38.5],0
p7,1,0.080512,3.054545,[18 24] ; [26 16],[22. 20.] ; [22. 20.],0
n6,1,0.080646,3.051843,[25 16] ; [33  9],[28.65060241 12.34939759] ; [29.34939759 12.65060241],0
b1,1,0.084385,2.978355,[18 25] ; [26 17],[22. 21.] ; [22. 21.],0
a4,1,0.103855,2.645323,[10 33] ; [17 26],[13.5 29.5] ; [13.5 29.5],0
s2,1,0.106402,2.606857,[14 29] ; [20 20],[17.61445783 25.38554217] ; [16.38554217 23.61445783],0
n2,1,0.123077,2.377717,[11  9] ; [12  3],[13.14285714  6.85714286] ; [9.85714286 5.14285714],0
p9,1,0.155065,2.021704,[29 14] ; [34  8],[31.87058824 11.12941176] ; [31.12941176 10.87058824],0
p1,1,0.16684,1.911111,[ 1 42] ; [ 4 39],[ 2.5 40.5] ; [ 2.5 40.5],0
r2,1,0.170675,1.877005,[25 14] ; [19 20],[22. 17.] ; [22. 17.],0
b4,1,0.192632,1.697368,[27 16] ; [21 22],[24. 19.] ; [24. 19.],0
u1,1,0.236784,1.399638,[ 2 41] ; [ 5 38],[ 3.5 39.5] ; [ 3.5 39.5],0
d1,1,0.254092,1.300665,[12 31] ; [17 26],[14.5 28.5] ; [14.5 28.5],0
p10,1,0.273368,1.199766,[26 16] ; [30 11],[28.3373494 13.6626506] ; [27.6626506 13.3373494],0
a6,1,0.280367,1.165312,[18 25] ; [23 20],[20.5 22.5] ; [20.5 22.5],0
n5,1,0.301923,1.065682,[23 19] ; [27 14],[25.30120482 16.69879518] ; [24.69879518 16.30120482],0
n3,1,0.312563,1.019814,[14  6] ; [8 7],[12.57142857  7.42857143] ; [9.42857143 5.57142857],0
a8,1,0.329887,0.949342,[ 3 37] ; [ 1 37],[ 2.05128205 37.94871795] ; [ 1.94871795 36.05128205],0
d2,1,0.370331,0.802554,[10 32] ; [14 29],[11.85882353 30.14117647] ; [12.14117647 30.85882353],0
a7,1,0.443071,0.588317,[24 18] ; [21 22],[22.23529412 19.76470588] ; [22.76470588 20.23529412],0
d3,1,0.45149,0.566909,[21 21] ; [25 18],[22.72941176 19.27058824] ; [23.27058824 19.72941176],0
a2,1,0.457794,0.551282,[ 3 40] ; [ 5 38],[ 4. 39.] ; [ 4. 39.],0
b5,1,0.510221,0.433613,[27 16] ; [24 19],[25.5 17.5] ; [25.5 17.5],0
v4,1,0.511716,0.430556,[33  8] ; [29 10],[31.775  9.225] ; [30.225  8.775],0
s4,1,0.557052,0.344834,[ 8 35] ; [10 32],[ 9.10588235 33.89411765] ; [ 8.89411765 33.10588235],0
u3,1,0.567144,0.327485,[ 7 14] ; [ 8 11],[ 7.875 13.125] ; [ 7.125 11.875],0
d4,1,0.590845,0.289027,[27 15] ; [30 13],[28.16470588 13.83529412] ; [28.83529412 14.16470588],0
n4,1,0.661993,0.191111,[24 19] ; [26 17],[25. 18.] ; [25. 18.],0
s3,1,0.685458,0.164046,[18 24] ; [18 20],[18.9 23.1] ; [17.1 20.9],0
r3,1,0.689427,0.159707,[28 12] ; [27 14],[27.16049383 12.83950617] ; [27.83950617 13.16049383],0
s6,1,0.738755,0.111224,[21 22] ; [21 19],[21.75903614 21.24096386] ; [20.24096386 19.75903614],0
v2,1,0.751984,0.099871,[18 23] ; [17 25],[17.28915663 23.71084337] ; [17.71084337 24.28915663],0
b2,1,0.752732,0.09925,[ 5 15] ; [ 9 22],[ 5.49019608 14.50980392] ; [ 8.50980392 22.49019608],0
b3,1,0.752732,0.09925,[ 5 15] ; [ 9 22],[ 5.49019608 14.50980392] ; [ 8.50980392 22.49019608],0
v3,1,0.828251,0.047065,[ 9 34] ; [ 8 34],[ 8.6 34.4] ; [ 8.4 33.6],0
u2,1,0.869462,0.027008,[10  9] ; [10 10],[9.74358974 9.25641026] ; [10.25641026  9.74358974],0
a3,1,0.918543,0.010459,[22 20] ; [23 20],[22.23529412 19.76470588] ; [22.76470588 20.23529412],0
r1,1,0.923028,0.009335,[13 30] ; [12 29],[12.79761905 30.20238095] ; [12.20238095 28.79761905],0
s5,1,0.938028,0.006045,[10 32] ; [ 9 30],[ 9.85185185 32.14814815] ; [ 9.14814815 29.85185185],0
v1,1,0.959894,0.002529,[16 23] ; [17 25],[15.88888889 23.11111111] ; [17.11111111 24.88888889],0
a1,1,1.0,0.0,[ 2 41] ; [ 2 41],[ 2. 41.] ; [ 2. 41.],0
