Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,46.367283,[90 12] ; [105 112],[62.35109718 39.64890282] ; [132.64890282  84.35109718],1
p4,1,0.0,29.974235,[76 27] ; [ 90 129],[53.09937888 49.90062112] ; [112.90062112 106.09937888],1
p5,1,0.0,26.287708,[26 77] ; [ 12 207],[12.1552795 90.8447205] ; [ 25.8447205 193.1552795],1
p3,1,2.5e-05,17.760542,[63 40] ; [ 80 141],[45.45987654 57.54012346] ; [ 97.54012346 123.45987654],1
p8,1,3.1e-05,17.349911,[67 36] ; [ 88 131],[49.58074534 53.41925466] ; [105.41925466 113.58074534],1
s7,1,5e-05,16.442212,[57 39] ; [ 74 139],[40.69902913 55.30097087] ; [ 90.30097087 122.69902913],1
s8,1,0.000692,11.511388,[50 52] ; [ 65 155],[36.42857143 65.57142857] ; [ 78.57142857 141.42857143],1
p12,1,0.001082,10.682284,[13 90] ; [  7 212],[ 6.39751553 96.60248447] ; [ 13.60248447 205.39751553],0
b2,1,0.002069,9.487179,[32 33] ; [32 88],[22.48648649 42.51351351] ; [41.51351351 78.48648649],0
b3,1,0.002069,9.487179,[32 33] ; [32 88],[22.48648649 42.51351351] ; [41.51351351 78.48648649],0
v2,1,0.002657,9.029143,[61 41] ; [ 88 123],[48.55591054 53.44408946] ; [100.44408946 110.55591054],0
p1,1,0.00338,8.590017,[15 88] ; [ 11 208],[ 8.31677019 94.68322981] ; [ 17.68322981 201.31677019],0
s4,1,0.006332,7.453245,[ 9 92] ; [ 47 173],[17.61993769 83.38006231] ; [ 38.38006231 181.61993769],0
s5,1,0.007891,7.058087,[40 59] ; [ 55 160],[29.9522293 69.0477707] ; [ 65.0477707 149.9522293],0
n4,1,0.01023,6.594387,[85 18] ; [151  68],[75.49068323 27.50931677] ; [160.50931677  58.49068323],0
v3,1,0.037119,4.344944,[43 60] ; [ 65 152],[34.7625 68.2375] ; [ 73.2375 143.7625],0
s2,1,0.043398,4.079829,[52 50] ; [ 85 133],[43.66875 58.33125] ; [ 93.33125 124.66875],0
p2,1,0.045136,4.013553,[89 14] ; [169  51],[82.27244582 20.72755418] ; [175.72755418  44.27244582],0
r4,1,0.054577,3.694959,[94  9] ; [184  37],[88.37654321 14.62345679] ; [189.62345679  31.37654321],0
u3,1,0.055375,3.670751,[24 16] ; [43 59],[18.87323944 21.12676056] ; [48.12676056 53.87323944],0
s6,1,0.061259,3.50298,[71 27] ; [133  83],[63.66878981 34.33121019] ; [140.33121019  75.66878981],0
r2,1,0.063481,3.444014,[97  5] ; [195  25],[92.49689441  9.50310559] ; [199.50310559  20.49689441],0
p11,1,0.076322,3.141543,[86 17] ; [165  56],[79.79320988 23.20679012] ; [171.20679012  49.79320988],0
a4,1,0.078545,3.094764,[31 71] ; [ 47 173],[24.70807453 77.29192547] ; [ 53.29192547 166.70807453],0
p10,1,0.080452,3.055751,[85 16] ; [163  53],[79.01577287 21.98422713] ; [168.98422713  47.01577287],0
r3,1,0.096297,2.765822,[99  4] ; [200  20],[95.34674923  7.65325077] ; [203.65325077  16.34674923],0
v1,1,0.1135,2.504804,[55 48] ; [ 94 120],[48.41324921 54.58675079] ; [100.58675079 113.41324921],0
r1,1,0.116469,2.464174,[78 25] ; [147  72],[71.97204969 31.02795031] ; [153.02795031  65.97204969],0
n2,1,0.124162,2.364021,[14  7] ; [48 10],[16.48101266  4.51898734] ; [45.51898734 12.48101266],0
a2,1,0.132847,2.258912,[ 9 94] ; [ 10 211],[ 6.04012346 96.95987654] ; [ 12.95987654 208.04012346],0
a7,1,0.17789,1.815161,[70 31] ; [136  85],[64.61490683 36.38509317] ; [141.38509317  79.61490683],0
n5,1,0.188054,1.732794,[82 20] ; [162  58],[77.29192547 24.70807453] ; [166.70807453  53.29192547],0
a8,1,0.209291,1.576327,[17 83] ; [ 24 180],[13.48684211 86.51315789] ; [ 27.51315789 176.48684211],0
u2,1,0.22958,1.443459,[22 19] ; [43 58],[18.76760563 22.23239437] ; [46.23239437 54.76760563],0
a6,1,0.251329,1.315899,[62 41] ; [118 103],[57.22222222 45.77777778] ; [122.77777778  98.22222222],0
b1,1,0.26346,1.250483,[43 60] ; [ 78 143],[38.46604938 64.53395062] ; [ 82.53395062 138.46604938],0
a3,1,0.287245,1.132488,[62 41] ; [118 101],[57.57763975 45.42236025] ; [122.42236025  96.57763975],0
a1,1,0.322082,0.980475,[ 5 98] ; [  6 215],[ 3.49691358 99.50308642] ; [  7.50308642 213.49691358],0
v4,1,0.334665,0.930761,[98  5] ; [202  17],[95.96273292  7.03726708] ; [204.03726708  14.96273292],0
n1,1,0.388302,0.744253,[10 11] ; [21 36],[ 8.34615385 12.65384615] ; [22.65384615 34.34615385],0
p9,1,0.401272,0.704511,[86 17] ; [171  44],[83.24213836 19.75786164] ; [173.75786164  41.24213836],0
d4,1,0.442168,0.590649,[62 41] ; [123  98],[58.8117284 44.1882716] ; [126.1882716  94.8117284],0
u1,1,0.454024,0.560586,[ 5 98] ; [  7 214],[ 3.81481481 99.18518519] ; [  8.18518519 212.81481481],0
s1,1,0.477857,0.503751,[ 3 99] ; [ 10 206],[ 4.16981132 97.83018868] ; [  8.83018868 207.16981132],0
d3,1,0.478081,0.503238,[43 59] ; [ 84 137],[40.10526316 61.89473684] ; [ 86.89473684 134.10526316],0
d2,1,0.588542,0.292627,[14 89] ; [ 35 185],[15.625387 87.374613] ; [ 33.374613 186.625387],0
d5,1,0.594728,0.283021,[54 48] ; [124  97],[56.21052632 45.78947368] ; [121.78947368  99.21052632],0
b4,1,0.614153,0.254172,[58 45] ; [131  90],[60.08333333 42.91666667] ; [128.91666667  92.08333333],0
a5,1,0.669498,0.18219,[59 44] ; [121 100],[57.22222222 45.77777778] ; [122.77777778  98.22222222],0
n3,1,0.719027,0.129427,[15  6] ; [43 14],[15.61538462  5.38461538] ; [42.38461538 14.61538462],0
s3,1,0.840094,0.040713,[52 50] ; [107 108],[51.16088328 50.83911672] ; [107.83911672 107.16088328],0
b5,1,0.884668,0.021041,[61 42] ; [129  92],[60.40123457 42.59876543] ; [129.59876543  91.40123457],0
