Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.001058,10.722376,[13  1] ; [ 6 11],[8.58064516 5.41935484] ; [10.41935484  6.58064516],0
b1,1,0.005377,7.748047,[ 4 10] ; [14  4],[7.875 6.125] ; [10.125  7.875],0
a6,1,0.0141,6.025521,[ 4 10] ; [13  5],[7.4375 6.5625] ; [9.5625 8.4375],0
s6,1,0.044136,4.051339,[9 5] ; [15  1],[11.2  2.8] ; [12.8  3.2],0
d2,1,0.051181,3.802326,[11  3] ; [ 8 10],[8.3125 5.6875] ; [10.6875  7.3125],0
b5,1,0.126897,2.330058,[ 4 10] ; [10  8],[6.125 7.875] ; [ 7.875 10.125],0
v3,1,0.126897,2.330058,[10  4] ; [ 8 10],[7.875 6.125] ; [10.125  7.875],0
p1,1,0.137916,2.201058,[ 1 13] ; [ 5 13],[ 2.625 11.375] ; [ 3.375 14.625],0
p10,1,0.137916,2.201058,[13  1] ; [13  5],[11.375  2.625] ; [14.625  3.375],0
p7,1,0.137916,2.201058,[13  1] ; [13  5],[11.375  2.625] ; [14.625  3.375],0
a8,1,0.151011,2.062005,[ 3 10] ; [ 1 17],[ 1.67741935 11.32258065] ; [ 2.32258065 15.67741935],0
s5,1,0.171188,1.872513,[10  4] ; [8 9],[8.12903226 5.87096774] ; [9.87096774 7.12903226],0
s3,1,0.197703,1.659259,[7 7] ; [13  5],[8.75 5.25] ; [11.25  6.75],0
a4,1,0.220805,1.499132,[ 4 10] ; [9 9],[5.6875 8.3125] ; [ 7.3125 10.6875],0
u2,1,0.342782,0.9,[2 1] ; [2 4],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
u4,1,0.400628,0.70644,[ 2 12] ; [ 1 17],[ 1.3125 12.6875] ; [ 1.6875 16.3125],0
b3,1,0.414216,0.666667,[7 5] ; [5 7],[6. 6.] ; [6. 6.],0
n3,1,0.414216,0.666667,[2 1] ; [1 2],[1.5 1.5] ; [1.5 1.5],0
n2,1,0.414216,0.666667,[2 1] ; [1 2],[1.5 1.5] ; [1.5 1.5],0
b2,1,0.414216,0.666667,[7 5] ; [5 7],[6. 6.] ; [6. 6.],0
p4,1,0.41902,0.653061,[13  1] ; [15  3],[12.25  1.75] ; [15.75  2.25],0
a3,1,0.457459,0.552105,[11  3] ; [12  6],[10.0625  3.9375] ; [12.9375  5.0625],0
d3,1,0.476033,0.507937,[6 8] ; [10  8],[7. 7.] ; [9. 9.],0
b4,1,0.580912,0.304762,[8 6] ; [12  6],[8.75 5.25] ; [11.25  6.75],0
s7,1,0.580912,0.304762,[8 6] ; [12  6],[8.75 5.25] ; [11.25  6.75],0
a5,1,0.630872,0.23088,[9 5] ; [13  5],[9.625 4.375] ; [12.375  5.625],0
u3,1,0.635256,0.225,[2 1] ; [3 3],[1.66666667 1.33333333] ; [3.33333333 2.66666667],0
r1,1,0.680724,0.169312,[11  3] ; [13  5],[10.5  3.5] ; [13.5  4.5],0
d4,1,0.680724,0.169312,[11  3] ; [13  5],[10.5  3.5] ; [13.5  4.5],0
p3,1,0.680724,0.169312,[10  4] ; [14  4],[10.5  3.5] ; [13.5  4.5],0
s8,1,0.687922,0.161345,[8 6] ; [9 9],[7.4375 6.5625] ; [9.5625 8.4375],0
n6,1,0.702428,0.145959,[13  1] ; [16  2],[12.6875  1.3125] ; [16.3125  1.6875],0
p9,1,0.702428,0.145959,[13  1] ; [16  2],[12.6875  1.3125] ; [16.3125  1.6875],0
r2,1,0.732074,0.117216,[11  3] ; [15  3],[11.375  2.625] ; [14.625  3.375],0
p8,1,0.773117,0.083117,[10  4] ; [12  6],[9.625 4.375] ; [12.375  5.625],0
r4,1,0.787642,0.072562,[12  2] ; [16  2],[12.25  1.75] ; [15.75  2.25],0
v4,1,0.787642,0.072562,[12  2] ; [16  2],[12.25  1.75] ; [15.75  2.25],0
a1,1,0.787642,0.072562,[ 2 12] ; [ 2 16],[ 1.75 12.25] ; [ 2.25 15.75],0
d1,1,0.820627,0.051411,[8 6] ; [11  7],[8.3125 5.6875] ; [10.6875  7.3125],0
n4,1,0.854,0.033862,[13  1] ; [17  1],[13.125  0.875] ; [16.875  1.125],0
r3,1,0.854,0.033862,[13  1] ; [17  1],[13.125  0.875] ; [16.875  1.125],0
p11,1,0.854,0.033862,[12  2] ; [15  3],[11.8125  2.1875] ; [15.1875  2.8125],0
p12,1,0.854,0.033862,[ 2 12] ; [ 3 15],[ 2.1875 11.8125] ; [ 2.8125 15.1875],0
p6,1,0.87046,0.026593,[7 7] ; [9 8],[7.22580645 6.77419355] ; [8.77419355 8.22580645],0
d5,1,0.957035,0.002902,[11  3] ; [14  4],[10.9375  3.0625] ; [14.0625  3.9375],0
s2,1,1.0,0.0,[7 7] ; [9 9],[7. 7.] ; [9. 9.],0
n1,1,1.0,0.0,[2 1] ; [2 1],[2. 1.] ; [2. 1.],0
